"year","bildungsniveau","sex","mean","median","n","lower_confidence","upper_confidence"
"2005","(Fach-)Abitur","maennlich","6.39","6.5","1025","6.34","6.44"
"2005","(Fach-)Abitur","weiblich","6.49","6.5","1264","6.44","6.54"
"2005","(noch) kein Abschluss","maennlich","6.31","6.5","417","6.22","6.4"
"2005","(noch) kein Abschluss","weiblich","6.32","6.5","478","6.23","6.41"
"2005","AkademikerIn","maennlich","6.4","6.5","2303","6.37","6.43"
"2005","AkademikerIn","weiblich","6.51","6.5","1850","6.47","6.55"
"2005","Hauptschule","maennlich","6.43","6.5","3643","6.4","6.46"
"2005","Hauptschule","weiblich","6.45","6.5","3889","6.42","6.48"
"2005","Realschule","maennlich","6.49","6.5","2285","6.46","6.52"
"2005","Realschule","weiblich","6.56","6.5","3087","6.53","6.59"
"2006","(Fach-)Abitur","maennlich","","","","",""
"2006","(Fach-)Abitur","weiblich","","","","",""
"2006","(noch) kein Abschluss","maennlich","","","","",""
"2006","(noch) kein Abschluss","weiblich","","","","",""
"2006","AkademikerIn","maennlich","","","","",""
"2006","AkademikerIn","weiblich","","","","",""
"2006","Hauptschule","maennlich","","","","",""
"2006","Hauptschule","weiblich","","","","",""
"2006","Realschule","maennlich","","","","",""
"2006","Realschule","weiblich","","","","",""
"2007","(Fach-)Abitur","maennlich","","","","",""
"2007","(Fach-)Abitur","weiblich","","","","",""
"2007","(noch) kein Abschluss","maennlich","","","","",""
"2007","(noch) kein Abschluss","weiblich","","","","",""
"2007","AkademikerIn","maennlich","","","","",""
"2007","AkademikerIn","weiblich","","","","",""
"2007","Hauptschule","maennlich","","","","",""
"2007","Hauptschule","weiblich","","","","",""
"2007","Realschule","maennlich","","","","",""
"2007","Realschule","weiblich","","","","",""
"2008","(Fach-)Abitur","maennlich","","","","",""
"2008","(Fach-)Abitur","weiblich","","","","",""
"2008","(noch) kein Abschluss","maennlich","","","","",""
"2008","(noch) kein Abschluss","weiblich","","","","",""
"2008","AkademikerIn","maennlich","","","","",""
"2008","AkademikerIn","weiblich","","","","",""
"2008","Hauptschule","maennlich","","","","",""
"2008","Hauptschule","weiblich","","","","",""
"2008","Realschule","maennlich","","","","",""
"2008","Realschule","weiblich","","","","",""
"2009","(Fach-)Abitur","maennlich","","","","",""
"2009","(Fach-)Abitur","weiblich","","","","",""
"2009","(noch) kein Abschluss","maennlich","","","","",""
"2009","(noch) kein Abschluss","weiblich","","","","",""
"2009","AkademikerIn","maennlich","","","","",""
"2009","AkademikerIn","weiblich","","","","",""
"2009","Hauptschule","maennlich","","","","",""
"2009","Hauptschule","weiblich","","","","",""
"2009","Realschule","maennlich","","","","",""
"2009","Realschule","weiblich","","","","",""
"2010","(Fach-)Abitur","maennlich","6.37","6.5","848","6.32","6.42"
"2010","(Fach-)Abitur","weiblich","6.46","6.5","1049","6.41","6.51"
"2010","(noch) kein Abschluss","maennlich","6.38","6.5","215","6.24","6.52"
"2010","(noch) kein Abschluss","weiblich","6.37","6.5","197","6.23","6.51"
"2010","AkademikerIn","maennlich","6.41","6.5","2057","6.38","6.44"
"2010","AkademikerIn","weiblich","6.5","6.5","1763","6.46","6.54"
"2010","Hauptschule","maennlich","6.36","6.5","2686","6.32","6.4"
"2010","Hauptschule","weiblich","6.37","6.5","2894","6.34","6.4"
"2010","Realschule","maennlich","6.39","6.5","1879","6.35","6.43"
"2010","Realschule","weiblich","6.46","6.5","2581","6.43","6.49"
"2011","(Fach-)Abitur","maennlich","","","","",""
"2011","(Fach-)Abitur","weiblich","","","","",""
"2011","(noch) kein Abschluss","maennlich","","","","",""
"2011","(noch) kein Abschluss","weiblich","","","","",""
"2011","AkademikerIn","maennlich","","","","",""
"2011","AkademikerIn","weiblich","","","","",""
