"year","regtyp","sex","mean","median","n","lower_confidence","upper_confidence"
"2005","Laendlicher Raum","maennlich","6.44","6.5","3337","6.41","6.47"
"2005","Laendlicher Raum","weiblich","6.5","6.5","3604","6.47","6.53"
"2005","Staedtischer Raum","maennlich","6.42","6.5","6523","6.4","6.44"
"2005","Staedtischer Raum","weiblich","6.48","6.5","7145","6.46","6.5"
"2006","Laendlicher Raum","maennlich","","","","",""
"2006","Laendlicher Raum","weiblich","","","","",""
"2006","Staedtischer Raum","maennlich","","","","",""
"2006","Staedtischer Raum","weiblich","","","","",""
"2007","Laendlicher Raum","maennlich","","","","",""
"2007","Laendlicher Raum","weiblich","","","","",""
"2007","Staedtischer Raum","maennlich","","","","",""
"2007","Staedtischer Raum","weiblich","","","","",""
"2008","Laendlicher Raum","maennlich","","","","",""
"2008","Laendlicher Raum","weiblich","","","","",""
"2008","Staedtischer Raum","maennlich","","","","",""
"2008","Staedtischer Raum","weiblich","","","","",""
"2009","Laendlicher Raum","maennlich","","","","",""
"2009","Laendlicher Raum","weiblich","","","","",""
"2009","Staedtischer Raum","maennlich","","","","",""
"2009","Staedtischer Raum","weiblich","","","","",""
"2010","Laendlicher Raum","maennlich","6.34","6.5","2777","6.3","6.38"
"2010","Laendlicher Raum","weiblich","6.4","6.5","2982","6.37","6.43"
"2010","Staedtischer Raum","maennlich","6.38","6.5","5125","6.36","6.4"
"2010","Staedtischer Raum","weiblich","6.44","6.5","5704","6.42","6.46"
"2011","Laendlicher Raum","maennlich","","","","",""
"2011","Laendlicher Raum","weiblich","","","","",""
"2011","Staedtischer Raum","maennlich","","","","",""
"2011","Staedtischer Raum","weiblich","","","","",""
"2012","Laendlicher Raum","maennlich","","","","",""
"2012","Laendlicher Raum","weiblich","","","","",""
"2012","Staedtischer Raum","maennlich","","","","",""
"2012","Staedtischer Raum","weiblich","","","","",""
"2013","Laendlicher Raum","maennlich","","","","",""
"2013","Laendlicher Raum","weiblich","","","","",""
"2013","Staedtischer Raum","maennlich","","","","",""
"2013","Staedtischer Raum","weiblich","","","","",""
"2014","Laendlicher Raum","maennlich","","","","",""
"2014","Laendlicher Raum","weiblich","","","","",""
"2014","Staedtischer Raum","maennlich","","","","",""
"2014","Staedtischer Raum","weiblich","","","","",""
"2015","Laendlicher Raum","maennlich","6.36","6.5","4312","6.33","6.39"
"2015","Laendlicher Raum","weiblich","6.39","6.5","4976","6.36","6.42"
"2015","Staedtischer Raum","maennlich","6.37","6.5","7915","6.35","6.39"
"2015","Staedtischer Raum","weiblich","6.43","6.5","9395","6.41","6.45"
"2016","Laendlicher Raum","maennlich","6.73","6.5","518","6.68","6.78"
"2016","Laendlicher Raum","weiblich","6.71","6.5","344","6.65","6.77"
"2016","Staedtischer Raum","maennlich","6.64","6.5","1233","6.6","6.68"
"2016","Staedtischer Raum","weiblich","6.13","6.5","895","6.08","6.18"
"2017","Laendlicher Raum","maennlich","6.83","6.5","320","6.74","6.92"
"2017","Laendlicher Raum","weiblich","6.84","6.5","286","6.77","6.91"
"2017","Staedtischer Raum","maennlich","6.81","6.5","647","6.76","6.86"
"2017","Staedtischer Raum","weiblich","6.84","6.5","588","6.8","6.88"
"2018","Laendlicher Raum","maennlich","6.92","6.5","70","6.83","7.01"
"2018","Laendlicher Raum","weiblich","6.86","6.5","81","6.75","6.97"
"2018","Staedtischer Raum","maennlich","6.73","6.5","105","6.57","6.89"
"2018","Staedtischer Raum","weiblich","6.88","6.5","120","6.8","6.96"
"2019","Laendlicher Raum","maennlich","6.73","6.5","43","6.5","6.96"
"2019","Laendlicher Raum","weiblich","6.85","6.5","53","6.73","6.97"
"2019","Staedtischer Raum","maennlich","6.81","6.5","84","6.68","6.94"
"2019","Staedtischer Raum","weiblich","6.7","6.5","79","6.46","6.94"
"2020","Laendlicher Raum","maennlich","6.39","6.5","4703","6.36","6.42"
"2020","Laendlicher Raum","weiblich","6.39","6.5","4841","6.36","6.42"
"2020","Staedtischer Raum","maennlich","6.35","6.5","9899","6.33","6.37"
"2020","Staedtischer Raum","weiblich","6.39","6.5","9966","6.37","6.41"
