syear,migback,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,No migration background,,,,,,,,,,,,
1984,Direct migration background,,,,,,,,,,,,
1984,Indirect migration background,,,,,,,,,,,,
1985,No migration background,,,,,,,,,,,,
1985,Direct migration background,,,,,,,,,,,,
1985,Indirect migration background,,,,,,,,,,,,
1986,No migration background,,,,,,,,,,,,
1986,Direct migration background,,,,,,,,,,,,
1986,Indirect migration background,,,,,,,,,,,,
1987,No migration background,,,,,,,,,,,,
1987,Direct migration background,,,,,,,,,,,,
1987,Indirect migration background,,,,,,,,,,,,
1988,No migration background,,,,,,,,,,,,
1988,Direct migration background,,,,,,,,,,,,
1988,Indirect migration background,,,,,,,,,,,,
1989,No migration background,,,,,,,,,,,,
1989,Direct migration background,,,,,,,,,,,,
1989,Indirect migration background,,,,,,,,,,,,
1990,No migration background,,,,,,,,,,,,
1990,Direct migration background,,,,,,,,,,,,
1990,Indirect migration background,,,,,,,,,,,,
1991,No migration background,,,,,,,,,,,,
1991,Direct migration background,,,,,,,,,,,,
1991,Indirect migration background,,,,,,,,,,,,
1992,No migration background,,,,,,,,,,,,
1992,Direct migration background,,,,,,,,,,,,
1992,Indirect migration background,,,,,,,,,,,,
1993,No migration background,,,,,,,,,,,,
1993,Direct migration background,,,,,,,,,,,,
1993,Indirect migration background,,,,,,,,,,,,
1994,No migration background,,,,,,,,,,,,
1994,Direct migration background,,,,,,,,,,,,
1994,Indirect migration background,,,,,,,,,,,,
1995,No migration background,,,,,,,,,,,,
1995,Direct migration background,,,,,,,,,,,,
1995,Indirect migration background,,,,,,,,,,,,
1996,No migration background,,,,,,,,,,,,
1996,Direct migration background,,,,,,,,,,,,
1996,Indirect migration background,,,,,,,,,,,,
1997,No migration background,,,,,,,,,,,,
1997,Direct migration background,,,,,,,,,,,,
1997,Indirect migration background,,,,,,,,,,,,
1998,No migration background,,,,,,,,,,,,
1998,Direct migration background,,,,,,,,,,,,
1998,Indirect migration background,,,,,,,,,,,,
1999,No migration background,,,,,,,,,,,,
1999,Direct migration background,,,,,,,,,,,,
1999,Indirect migration background,,,,,,,,,,,,
2000,No migration background,,,,,,,,,,,,
2000,Direct migration background,,,,,,,,,,,,
2000,Indirect migration background,,,,,,,,,,,,
2001,No migration background,,,,,,,,,,,,
2001,Direct migration background,,,,,,,,,,,,
2001,Indirect migration background,,,,,,,,,,,,
2002,No migration background,,,,,,,,,,,,
2002,Direct migration background,,,,,,,,,,,,
2002,Indirect migration background,,,,,,,,,,,,
2003,No migration background,,,,,,,,,,,,
2003,Direct migration background,,,,,,,,,,,,
2003,Indirect migration background,,,,,,,,,,,,
2004,No migration background,,,,,,,,,,,,
2004,Direct migration background,,,,,,,,,,,,
2004,Indirect migration background,,,,,,,,,,,,
2005,No migration background,6.465659039032411,6.459388091759613,6.471929986305208,6.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,17439.0
2005,Direct migration background,6.4162429521195445,6.396849229597351,6.435636674641738,6.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,2353.0
2005,Indirect migration background,6.400978765122866,6.370741240958003,6.431216289287729,6.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,817.0
2006,No migration background,,,,,,,,,,,,
2006,Direct migration background,,,,,,,,,,,,
2006,Indirect migration background,,,,,,,,,,,,
2007,No migration background,,,,,,,,,,,,
2007,Direct migration background,,,,,,,,,,,,
2007,Indirect migration background,,,,,,,,,,,,
2008,No migration background,,,,,,,,,,,,
2008,Direct migration background,,,,,,,,,,,,
2008,Indirect migration background,,,,,,,,,,,,
2009,No migration background,,,,,,,,,,,,
2009,Direct migration background,,,,,,,,,,,,
2009,Indirect migration background,,,,,,,,,,,,
2010,No migration background,6.401443482612249,6.394208591361936,6.408678373862562,6.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,14478.0
2010,Direct migration background,6.387049638155256,6.36342472593576,6.410674550374752,6.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,1458.0
2010,Indirect migration background,6.388695010652822,6.3534678315347435,6.4239221897709005,6.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,652.0
2011,No migration background,,,,,,,,,,,,
2011,Direct migration background,,,,,,,,,,,,
2011,Indirect migration background,,,,,,,,,,,,
2012,No migration background,,,,,,,,,,,,
2012,Direct migration background,,,,,,,,,,,,
2012,Indirect migration background,,,,,,,,,,,,
2013,No migration background,,,,,,,,,,,,
2013,Direct migration background,,,,,,,,,,,,
2013,Indirect migration background,,,,,,,,,,,,
2014,No migration background,,,,,,,,,,,,
2014,Direct migration background,,,,,,,,,,,,
2014,Indirect migration background,,,,,,,,,,,,
2015,No migration background,6.399010447940322,6.392841746295367,6.405179149585277,6.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,19126.0
2015,Direct migration background,6.350446199902596,6.336872407989367,6.364019991815824,6.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,5858.0
2015,Indirect migration background,6.424747141249985,6.401583278053103,6.447911004446867,6.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,1614.0
2016,No migration background,,,,,,,,,,,,
2016,Direct migration background,6.573737009358246,6.558148566472905,6.589325452243587,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2960.0
2016,Indirect migration background,,,,,,,,,,,,
2017,No migration background,,,,,,,,,,,,
2017,Direct migration background,6.828065166208536,6.81478899195082,6.841341340466252,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1835.0
2017,Indirect migration background,,,,,,,,,,,,
2018,No migration background,,,,,,,,,,,,
2018,Direct migration background,6.850059012185262,6.823036509057064,6.877081515313459,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,376.0
2018,Indirect migration background,,,,,,,,,,,,
2019,No migration background,,,,,,,,,,,,
2019,Direct migration background,6.766151564152247,6.726360771098895,6.8059423572056,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,259.0
2019,Indirect migration background,,,,,,,,,,,,
2020,No migration background,6.408413458713291,6.402266589278166,6.414560328148416,6.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,18544.0
2020,Direct migration background,6.236663863145291,6.2253571118791555,6.247970614411427,6.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,9223.0
2020,Indirect migration background,6.372524079674341,6.348480503724777,6.3965676556239055,6.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,1536.0
2021,No migration background,,,,,,,,,,,,
2021,Direct migration background,6.370961436478984,6.298502233382958,6.4434206395750095,6.0,7.0,7.0,4.5,7.0,7.0,7.0,7.0,247.0
2021,Indirect migration background,,,,,,,,,,,,
