"year","age_gr","mean","median","n","lower_confidence","upper_confidence"
"2005","17-34","6.42","6.5","5287","6.4","6.44"
"2005","35-65","6.48","6.5","11582","6.46","6.5"
"2005","66 +","6.44","6.5","3740","6.41","6.47"
"2006","17-34","","","","",""
"2006","35-65","","","","",""
"2006","66 +","","","","",""
"2007","17-34","","","","",""
"2007","35-65","","","","",""
"2007","66 +","","","","",""
"2008","17-34","","","","",""
"2008","35-65","","","","",""
"2008","66 +","","","","",""
"2009","17-34","","","","",""
"2009","35-65","","","","",""
"2009","66 +","","","","",""
"2010","17-34","6.37","6.5","3546","6.34","6.4"
"2010","35-65","6.41","6.5","9052","6.39","6.43"
"2010","66 +","6.4","6.5","3990","6.37","6.43"
"2011","17-34","","","","",""
"2011","35-65","","","","",""
"2011","66 +","","","","",""
"2012","17-34","","","","",""
"2012","35-65","","","","",""
"2012","66 +","","","","",""
"2013","17-34","","","","",""
"2013","35-65","","","","",""
"2013","66 +","","","","",""
"2014","17-34","","","","",""
"2014","35-65","","","","",""
"2014","66 +","","","","",""
"2015","17-34","6.41","6.5","6589","6.39","6.43"
"2015","35-65","6.39","6.5","15127","6.37","6.41"
"2015","66 +","6.37","6.5","4882","6.34","6.4"
"2016","17-34","6.46","6.5","1584","6.42","6.5"
"2016","35-65","6.66","6.5","1382","6.63","6.69"
"2016","66 +","","","","",""
"2017","17-34","6.83","6.5","1123","6.79","6.87"
"2017","35-65","6.82","6.5","698","6.78","6.86"
"2017","66 +","","","","",""
"2018","17-34","6.85","6.5","223","6.76","6.94"
"2018","35-65","6.84","6.5","150","6.77","6.91"
"2018","66 +","","","","",""
"2019","17-34","6.8","6.5","132","6.65","6.95"
"2019","35-65","6.71","6.5","121","6.58","6.84"
"2019","66 +","","","","",""
"2020","17-34","6.39","6.5","8043","6.37","6.41"
"2020","35-65","6.37","6.5","16408","6.36","6.38"
"2020","66 +","6.38","6.5","4964","6.35","6.41"
