"year","age_gr","migback","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2005","17-29","direkter Migrationshintergrund","6.33","6.5","313","5","6","7","7","7","6.22","6.44","1","7","7","7"
"2005","17-29","indirekter Migrationshintergrund","6.36","6.5","524","5","6","7","7","7","6.28","6.44","3","7","7","7"
"2005","17-29","kein Migrationshintergrund","6.41","6.5","2980","5","6","7","7","7","6.38","6.44","1","7","7","7"
"2005","17-29","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2005","30-45","direkter Migrationshintergrund","6.46","6.5","794","5","6","7","7","7","6.39","6.53","1","7","7","7"
"2005","30-45","indirekter Migrationshintergrund","6.47","6.5","239","5","6","7","7","7","6.36","6.58","3","7","7","7"
"2005","30-45","kein Migrationshintergrund","6.48","6.5","5030","5","6","7","7","7","6.46","6.5","1","7","7","7"
"2005","30-45","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2005","46-65","direkter Migrationshintergrund","6.43","6.5","883","5","6","7","7","7","6.37","6.49","1","7","7","7"
"2005","46-65","indirekter Migrationshintergrund","6.5","6.5","48","5","6","7","7","7","6.18","6.82","1","7","6","7"
"2005","46-65","kein Migrationshintergrund","6.49","6.5","6058","5","6","7","7","7","6.47","6.51","1","7","7","7"
"2005","46-65","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2005","66","direkter Migrationshintergrund","6.38","6.5","363","5","6","7","7","7","6.28","6.48","2","7","7","7"
"2005","66","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2005","66","kein Migrationshintergrund","6.45","6.5","3365","5","6","7","7","7","6.42","6.48","1","7","7","7"
"2005","66","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2006","17-29","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2006","17-29","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
