"year","quintil_oecd","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2005","1 Einkommensschwächstes Quintil","Ländlicher Raum","6.42","6.5","1686","5","6","7","7","7","6.38","6.46","1","7","7","7"
"2005","1 Einkommensschwächstes Quintil","Städtischer Raum","6.42","6.5","2456","5","6","7","7","7","6.38","6.46","1","7","7","7"
"2005","2","Ländlicher Raum","6.47","6.5","1751","5","6","7","7","7","6.43","6.51","1","7","7","7"
"2005","2","Städtischer Raum","6.45","6.5","2807","5","6","7","7","7","6.42","6.48","1","7","7","7"
"2005","3","Ländlicher Raum","6.54","6.5","1411","6","6","7","7","7","6.5","6.58","1","7","7","7"
"2005","3","Städtischer Raum","6.44","6.5","2440","5","6","7","7","7","6.4","6.48","1","7","7","7"
"2005","4","Ländlicher Raum","6.46","6.5","1188","5","6","7","7","7","6.41","6.51","1","7","7","7"
"2005","4","Städtischer Raum","6.48","6.5","2872","5","6","7","7","7","6.45","6.51","1","7","7","7"
"2005","5 Einkommensstärkstes Quintil","Ländlicher Raum","6.47","6.5","905","5","6","7","7","7","6.42","6.52","2","7","7","7"
"2005","5 Einkommensstärkstes Quintil","Städtischer Raum","6.47","6.5","3093","5","6","7","7","7","6.44","6.5","1","7","7","7"
"2006","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2006","1 Einkommensschwächstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2006","2","Ländlicher Raum","","","","","","","","","","","","","",""
"2006","2","Städtischer Raum","","","","","","","","","","","","","",""
"2006","3","Ländlicher Raum","","","","","","","","","","","","","",""
"2006","3","Städtischer Raum","","","","","","","","","","","","","",""
"2006","4","Ländlicher Raum","","","","","","","","","","","","","",""
"2006","4","Städtischer Raum","","","","","","","","","","","","","",""
"2006","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2006","5 Einkommensstärkstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2007","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2007","1 Einkommensschwächstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2007","2","Ländlicher Raum","","","","","","","","","","","","","",""
"2007","2","Städtischer Raum","","","","","","","","","","","","","",""
"2007","3","Ländlicher Raum","","","","","","","","","","","","","",""
"2007","3","Städtischer Raum","","","","","","","","","","","","","",""
"2007","4","Ländlicher Raum","","","","","","","","","","","","","",""
"2007","4","Städtischer Raum","","","","","","","","","","","","","",""
"2007","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2007","5 Einkommensstärkstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2008","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
