"year","bildungsniveau","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","(Fach-)Abitur","Laendlicher Raum","6.49","6.5","551","5","6","7","7","7","6.43","6.55","3","7","7","7"
"2005","(Fach-)Abitur","Staedtischer Raum","6.43","6.5","1738","5","6","7","7","7","6.39","6.47","1","7","7","7"
"2005","(noch) kein Abschluss","Laendlicher Raum","6.34","6.5","258","5","6","7","7","7","6.22","6.46","3","7","6","7"
"2005","(noch) kein Abschluss","Staedtischer Raum","6.31","6.5","637","5","6","7","7","7","6.23","6.39","1","7","7","7"
"2005","AkademikerIn","Laendlicher Raum","6.51","6.5","1221","5","6","7","7","7","6.46","6.56","1","7","7","7"
"2005","AkademikerIn","Staedtischer Raum","6.43","6.5","2932","5","6","7","7","7","6.4","6.46","1","7","7","7"
"2005","Hauptschule","Laendlicher Raum","6.43","6.5","2613","5","6","7","7","7","6.39","6.47","1","7","7","7"
"2005","Hauptschule","Staedtischer Raum","6.45","6.5","4919","5","6","7","7","7","6.42","6.48","1","7","7","7"
"2005","Realschule","Laendlicher Raum","6.54","6.5","2181","6","6","7","7","7","6.51","6.57","1","7","7","7"
"2005","Realschule","Staedtischer Raum","6.52","6.5","3191","6","6","7","7","7","6.49","6.55","1","7","7","7"
"2006","(Fach-)Abitur","Laendlicher Raum","","","","","","","","","","","","","",""
"2006","(Fach-)Abitur","Staedtischer Raum","","","","","","","","","","","","","",""
"2006","(noch) kein Abschluss","Laendlicher Raum","","","","","","","","","","","","","",""
"2006","(noch) kein Abschluss","Staedtischer Raum","","","","","","","","","","","","","",""
"2006","AkademikerIn","Laendlicher Raum","","","","","","","","","","","","","",""
"2006","AkademikerIn","Staedtischer Raum","","","","","","","","","","","","","",""
"2006","Hauptschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2006","Hauptschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2006","Realschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2006","Realschule","Staedtischer Raum","","","","","","","","","","","","","",""
"2007","(Fach-)Abitur","Laendlicher Raum","","","","","","","","","","","","","",""
"2007","(Fach-)Abitur","Staedtischer Raum","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","Laendlicher Raum","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","Staedtischer Raum","","","","","","","","","","","","","",""
"2007","AkademikerIn","Laendlicher Raum","","","","","","","","","","","","","",""
"2007","AkademikerIn","Staedtischer Raum","","","","","","","","","","","","","",""
"2007","Hauptschule","Laendlicher Raum","","","","","","","","","","","","","",""
"2007","Hauptschule","Staedtischer Raum","","","","","","","","","","","","","",""
