"year","bildungsniveau","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","(Fach-)Abitur","direkter Migrationshintergrund","6.5","6.5","370","5","6","7","7","7","6.41","6.59","2","7","7","7"
"2005","(Fach-)Abitur","indirekter Migrationshintergrund","6.37","6.5","141","5","6","7","7","7","6.23","6.51","4","7","7","7"
"2005","(Fach-)Abitur","kein Migrationshintergrund","6.43","6.5","1778","5","6","7","7","7","6.39","6.47","1","7","7","7"
"2005","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2005","(noch) kein Abschluss","direkter Migrationshintergrund","6.47","6.5","217","5","6","7","7","7","6.33","6.61","1","7","7","7"
"2005","(noch) kein Abschluss","indirekter Migrationshintergrund","6.15","6.5","97","4","5","7","7","7","5.95","6.35","4","7","6","7"
"2005","(noch) kein Abschluss","kein Migrationshintergrund","6.27","6.5","581","5","6","7","7","7","6.19","6.35","1","7","6","7"
"2005","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2005","AkademikerIn","direkter Migrationshintergrund","6.43","6.5","339","5","6","7","7","7","6.33","6.53","1","7","7","7"
"2005","AkademikerIn","indirekter Migrationshintergrund","6.42","6.5","69","5","6","7","7","7","6.26","6.58","5","7","6","7"
"2005","AkademikerIn","kein Migrationshintergrund","6.45","6.5","3745","5","6","7","7","7","6.42","6.48","1","7","7","7"
"2005","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2005","Hauptschule","direkter Migrationshintergrund","6.36","6.5","1183","5","6","7","7","7","6.3","6.42","1","7","7","7"
"2005","Hauptschule","indirekter Migrationshintergrund","6.5","6.5","259","5","6","7","7","7","6.39","6.61","3","7","7","7"
"2005","Hauptschule","kein Migrationshintergrund","6.46","6.5","6090","5","6","7","7","7","6.44","6.48","1","7","7","7"
"2005","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2005","Realschule","direkter Migrationshintergrund","6.55","6.5","196","5","6","7","7","7","6.44","6.66","3","7","7","7"
"2005","Realschule","indirekter Migrationshintergrund","6.38","6.5","196","5","6","7","7","7","6.25","6.51","1","7","7","7"
"2005","Realschule","kein Migrationshintergrund","6.53","6.5","4980","6","6","7","7","7","6.51","6.55","1","7","7","7"
"2005","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2006","(Fach-)Abitur","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2006","(Fach-)Abitur","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2006","(Fach-)Abitur","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2006","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2006","(noch) kein Abschluss","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2006","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2006","(noch) kein Abschluss","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2006","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2006","AkademikerIn","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2006","AkademikerIn","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2006","AkademikerIn","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2006","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2006","Hauptschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2006","Hauptschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2006","Hauptschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2006","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2006","Realschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2006","Realschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2006","Realschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2006","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2007","(Fach-)Abitur","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","(Fach-)Abitur","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","(Fach-)Abitur","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2007","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2007","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2007","AkademikerIn","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","AkademikerIn","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","AkademikerIn","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2007","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2007","Hauptschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","Hauptschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","Hauptschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2007","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2007","Realschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","Realschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2007","Realschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2007","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2008","(Fach-)Abitur","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2008","(Fach-)Abitur","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2008","(Fach-)Abitur","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2008","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2008","(noch) kein Abschluss","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2008","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2008","(noch) kein Abschluss","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2008","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2008","AkademikerIn","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2008","AkademikerIn","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2008","AkademikerIn","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2008","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2008","Hauptschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2008","Hauptschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2008","Hauptschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2008","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2008","Realschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2008","Realschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2008","Realschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2008","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2009","(Fach-)Abitur","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2009","(Fach-)Abitur","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2009","(Fach-)Abitur","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2009","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2009","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2009","AkademikerIn","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2009","AkademikerIn","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2009","AkademikerIn","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2009","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2009","Hauptschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2009","Hauptschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2009","Hauptschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2009","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2009","Realschule","direkter Migrationshintergrund","","","","","","","","","","","","","",""
"2009","Realschule","indirekter Migrationshintergrund","","","","","","","","","","","","","",""
"2009","Realschule","kein Migrationshintergrund","","","","","","","","","","","","","",""
"2009","Realschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2010","(Fach-)Abitur","direkter Migrationshintergrund","6.42","6.5","248","5","6","7","7","7","6.29","6.55","1","7","7","7"
"2010","(Fach-)Abitur","indirekter Migrationshintergrund","6.44","6.5","108","6","6","7","7","7","6.28","6.6","2","7","7","7"
"2010","(Fach-)Abitur","kein Migrationshintergrund","6.41","6.5","1541","5","6","7","7","7","6.37","6.45","1","7","7","7"
"2010","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2010","(noch) kein Abschluss","direkter Migrationshintergrund","6.29","6.5","86","5","6","7","7","7","6","6.58","1","7","6","7"
"2010","(noch) kein Abschluss","indirekter Migrationshintergrund","6.66","6.5","49","6","6","7","7","7","6.47","6.85","4","7","7","7"
"2010","(noch) kein Abschluss","kein Migrationshintergrund","6.36","6.5","277","5","6","7","7","7","6.25","6.47","1","7","6","7"
"2010","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2010","AkademikerIn","direkter Migrationshintergrund","6.35","6.5","271","5","6","7","7","7","6.24","6.46","2","7","7","7"
"2010","AkademikerIn","indirekter Migrationshintergrund","6.18","5.5","84","5","6","7","7","7","5.97","6.39","2","7","6","7"
"2010","AkademikerIn","kein Migrationshintergrund","6.47","6.5","3465","6","6","7","7","7","6.44","6.5","1","7","7","7"
"2010","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
"2010","Hauptschule","direkter Migrationshintergrund","6.38","6.5","693","5","6","7","7","7","6.31","6.45","1","7","7","7"
"2010","Hauptschule","indirekter Migrationshintergrund","6.42","6.5","184","5","6","7","7","7","6.26","6.58","1","7","7","7"
"2010","Hauptschule","kein Migrationshintergrund","6.36","6.5","4703","5","6","7","7","7","6.33","6.39","1","7","7","7"
"2010","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","","","","","","","","","","","",""
