"year","sampreg","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"2005","Ostdeutschland","6.49","6.5","5024","6.47","6.51"
"2005","Westdeutschland","6.45","6.5","15585","6.44","6.46"
"2006","Ostdeutschland","","","","",""
"2006","Westdeutschland","","","","",""
"2007","Ostdeutschland","","","","",""
"2007","Westdeutschland","","","","",""
"2008","Ostdeutschland","","","","",""
"2008","Westdeutschland","","","","",""
"2009","Ostdeutschland","","","","",""
"2009","Westdeutschland","","","","",""
"2010","Ostdeutschland","6.39","6.5","4117","6.36","6.42"
"2010","Westdeutschland","6.4","6.5","12471","6.38","6.42"
"2011","Ostdeutschland","","","","",""
"2011","Westdeutschland","","","","",""
"2012","Ostdeutschland","","","","",""
"2012","Westdeutschland","","","","",""
"2013","Ostdeutschland","","","","",""
"2013","Westdeutschland","","","","",""
"2014","Ostdeutschland","","","","",""
"2014","Westdeutschland","","","","",""
"2015","Ostdeutschland","6.37","6.5","5393","6.34","6.4"
"2015","Westdeutschland","6.4","6.5","21205","6.39","6.41"
"2016","Ostdeutschland","6.76","6.5","480","6.7","6.82"
"2016","Westdeutschland","6.46","6.5","2510","6.43","6.49"
"2017","Ostdeutschland","6.9","6.5","203","6.84","6.96"
"2017","Westdeutschland","6.82","6.5","1638","6.79","6.85"
"2018","Ostdeutschland","6.89","6.5","45","6.76","7.02"
"2018","Westdeutschland","6.84","6.5","331","6.78","6.9"
"2019","Ostdeutschland","","","","",""
"2019","Westdeutschland","6.74","6.5","236","6.64","6.84"
"2020","Ostdeutschland","6.41","6.5","5845","6.39","6.43"
"2020","Westdeutschland","6.37","6.5","23571","6.36","6.38"
