,Unnamed: 0,year,sampreg,sex,m11124,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,West,male,Not Disabled (<= 30%),0.86266,5303,12132,0.84881,0.8755
1,1,1984,West,male,Disabled (> 30%),0.13734,640,12132,0.1338,0.14121
2,2,1984,West,female,Not Disabled (<= 30%),0.90988,5765,12132,0.89629,0.92405
3,3,1984,West,female,Disabled (> 30%),0.09012,424,12132,0.08646,0.0929
4,4,1985,West,male,Not Disabled (<= 30%),0.86446,4829,10984,0.85001,0.87938
5,5,1985,West,male,Disabled (> 30%),0.13554,566,10984,0.13187,0.13989
6,6,1985,West,female,Not Disabled (<= 30%),0.91361,5226,10984,0.90107,0.92721
7,7,1985,West,female,Disabled (> 30%),0.08639,363,10984,0.08327,0.0898
8,8,1987,West,male,Not Disabled (<= 30%),0.86769,4620,10404,0.85251,0.88191
9,9,1987,West,male,Disabled (> 30%),0.13231,534,10404,0.12795,0.13649
10,10,1987,West,female,Not Disabled (<= 30%),0.91039,4897,10404,0.89357,0.92694
11,11,1987,West,female,Disabled (> 30%),0.08961,353,10404,0.08468,0.09393
12,12,1988,West,male,Not Disabled (<= 30%),0.85584,4346,9929,0.83898,0.8706
13,13,1988,West,male,Disabled (> 30%),0.14416,565,9929,0.13964,0.14886
14,14,1988,West,female,Not Disabled (<= 30%),0.89909,4637,9929,0.88327,0.91719
15,15,1988,West,female,Disabled (> 30%),0.10091,381,9929,0.09626,0.10519
16,16,1989,West,male,Not Disabled (<= 30%),0.85273,4193,9620,0.83481,0.87047
17,17,1989,West,male,Disabled (> 30%),0.14727,549,9620,0.14053,0.1528
18,18,1989,West,female,Not Disabled (<= 30%),0.8939,4493,9620,0.87639,0.91084
19,19,1989,West,female,Disabled (> 30%),0.1061,385,9620,0.10141,0.11167
20,20,1991,West,male,Not Disabled (<= 30%),0.84694,4066,13544,0.83,0.86314
21,21,1991,West,male,Disabled (> 30%),0.15306,566,13544,0.14636,0.15848
22,22,1991,West,female,Not Disabled (<= 30%),0.89306,4390,13544,0.87777,0.91123
23,23,1991,West,female,Disabled (> 30%),0.10694,383,13544,0.10162,0.11221
24,24,1991,East,male,Not Disabled (<= 30%),1.0,1978,13544,0.9758,1.01937
25,25,1991,East,female,Not Disabled (<= 30%),1.0,2161,13544,0.97831,1.02523
26,26,1992,West,male,Not Disabled (<= 30%),0.84715,3987,13216,0.8259,0.86461
27,27,1992,West,male,Disabled (> 30%),0.15285,560,13216,0.14659,0.16
28,28,1992,West,female,Not Disabled (<= 30%),0.88646,4345,13216,0.86803,0.90427
29,29,1992,West,female,Disabled (> 30%),0.11354,409,13216,0.10733,0.11994
30,30,1992,East,male,Not Disabled (<= 30%),0.921,1743,13216,0.89882,0.94519
31,31,1992,East,male,Disabled (> 30%),0.079,124,13216,0.07362,0.08584
32,32,1992,East,female,Not Disabled (<= 30%),0.94746,1958,13216,0.92687,0.9699
33,33,1992,East,female,Disabled (> 30%),0.05254,90,13216,0.04748,0.05801
34,34,1994,West,male,Not Disabled (<= 30%),0.85459,3873,12812,0.8337,0.87298
35,35,1994,West,male,Disabled (> 30%),0.14541,532,12812,0.13886,0.15155
36,36,1994,West,female,Not Disabled (<= 30%),0.88982,4265,12812,0.87082,0.90784
37,37,1994,West,female,Disabled (> 30%),0.11018,397,12812,0.10267,0.11725
38,38,1994,East,male,Not Disabled (<= 30%),0.92465,1675,12812,0.90046,0.95448
39,39,1994,East,male,Disabled (> 30%),0.07535,112,12812,0.06908,0.08178
40,40,1994,East,female,Not Disabled (<= 30%),0.93384,1853,12812,0.9121,0.95806
41,41,1994,East,female,Disabled (> 30%),0.06616,105,12812,0.05991,0.07293
42,42,1995,West,male,Not Disabled (<= 30%),0.84993,4055,13165,0.83187,0.86975
43,43,1995,West,male,Disabled (> 30%),0.15007,550,13165,0.14258,0.15767
44,44,1995,West,female,Not Disabled (<= 30%),0.87901,4459,13165,0.85563,0.90199
45,45,1995,West,female,Disabled (> 30%),0.12099,434,13165,0.11386,0.12754
46,46,1995,East,male,Not Disabled (<= 30%),0.91364,1615,13165,0.88755,0.94097
47,47,1995,East,male,Disabled (> 30%),0.08636,122,13165,0.08069,0.09501
48,48,1995,East,female,Not Disabled (<= 30%),0.92365,1809,13165,0.89849,0.94801
49,49,1995,East,female,Disabled (> 30%),0.07635,121,13165,0.06886,0.08415
50,50,1996,West,male,Not Disabled (<= 30%),0.84624,3981,12999,0.82491,0.86733
51,51,1996,West,male,Disabled (> 30%),0.15376,545,12999,0.14564,0.16259
52,52,1996,West,female,Not Disabled (<= 30%),0.88114,4380,12999,0.85973,0.89995
53,53,1996,West,female,Disabled (> 30%),0.11886,432,12999,0.11316,0.12697
54,54,1996,East,male,Not Disabled (<= 30%),0.90609,1621,12999,0.87961,0.92937
55,55,1996,East,male,Disabled (> 30%),0.09391,127,12999,0.08452,0.10261
56,56,1996,East,female,Not Disabled (<= 30%),0.92155,1785,12999,0.89667,0.95234
57,57,1996,East,female,Disabled (> 30%),0.07845,128,12999,0.07136,0.08629
58,58,1997,West,male,Not Disabled (<= 30%),0.84784,3915,12767,0.82291,0.86797
59,59,1997,West,male,Disabled (> 30%),0.15216,532,12767,0.14307,0.15956
60,60,1997,West,female,Not Disabled (<= 30%),0.88265,4292,12767,0.8592,0.90153
61,61,1997,West,female,Disabled (> 30%),0.11735,424,12767,0.10973,0.12475
62,62,1997,East,male,Not Disabled (<= 30%),0.91232,1609,12767,0.88248,0.94035
63,63,1997,East,male,Disabled (> 30%),0.08768,123,12767,0.07919,0.09647
64,64,1997,East,female,Not Disabled (<= 30%),0.91816,1740,12767,0.89161,0.94613
65,65,1997,East,female,Disabled (> 30%),0.08184,132,12767,0.07321,0.08921
66,66,1998,West,male,Not Disabled (<= 30%),0.84933,4381,14191,0.8345,0.86694
67,67,1998,West,male,Disabled (> 30%),0.15067,629,14191,0.14375,0.15756
68,68,1998,West,female,Not Disabled (<= 30%),0.87974,4845,14191,0.86004,0.896
69,69,1998,West,female,Disabled (> 30%),0.12026,504,14191,0.11389,0.12642
70,70,1998,East,male,Not Disabled (<= 30%),0.91913,1721,14191,0.89078,0.94531
71,71,1998,East,male,Disabled (> 30%),0.08087,135,14191,0.07375,0.08679
72,72,1998,East,female,Not Disabled (<= 30%),0.91984,1832,14191,0.89551,0.94295
73,73,1998,East,female,Disabled (> 30%),0.08016,144,14191,0.07383,0.08703
74,74,1999,West,male,Not Disabled (<= 30%),0.84792,4188,13650,0.82877,0.86668
75,75,1999,West,male,Disabled (> 30%),0.15208,600,13650,0.14556,0.16013
76,76,1999,West,female,Not Disabled (<= 30%),0.8752,4600,13650,0.85757,0.89245
77,77,1999,West,female,Disabled (> 30%),0.1248,492,13650,0.11794,0.13102
78,78,1999,East,male,Not Disabled (<= 30%),0.91702,1678,13650,0.89223,0.94759
79,79,1999,East,male,Disabled (> 30%),0.08298,132,13650,0.07592,0.09194
80,80,1999,East,female,Not Disabled (<= 30%),0.90975,1799,13650,0.88144,0.93916
81,81,1999,East,female,Disabled (> 30%),0.09025,161,13650,0.08343,0.0977
82,82,2000,West,male,Not Disabled (<= 30%),0.86209,7668,24054,0.85356,0.87249
