year,pgisced97,sex,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,male,Not Disabled (<= 30%),0.96057,94,94,0.92102,1.00013
1984,Pre-primary Level,female,Not Disabled (<= 30%),0.94851,91,91,0.90285,0.99417
1984,Primary Level,male,Not Disabled (<= 30%),0.87001,381,381,0.83620,0.90382
1984,Primary Level,female,Not Disabled (<= 30%),0.91978,557,557,0.89720,0.94236
1984,Lower Secondary Level,male,Not Disabled (<= 30%),0.85479,1034,1142,0.83434,0.87523
1984,Lower Secondary Level,male,Disabled (> 30%),0.14224,108,1142,0.12197,0.16251
1984,Lower Secondary Level,female,Not Disabled (<= 30%),0.89656,2127,2296,0.88410,0.90902
1984,Lower Secondary Level,female,Disabled (> 30%),0.09791,169,2296,0.08575,0.11007
1984,Upper Secondary Level,male,Not Disabled (<= 30%),0.85658,2784,3152,0.84434,0.86882
1984,Upper Secondary Level,male,Disabled (> 30%),0.14134,368,3152,0.12918,0.15351
1984,Upper Secondary Level,female,Not Disabled (<= 30%),0.90647,2353,2535,0.89513,0.91780
1984,Upper Secondary Level,female,Disabled (> 30%),0.08837,182,2535,0.07732,0.09942
1984,Post-secondary Non-tertiary Level,male,Not Disabled (<= 30%),0.89175,176,176,0.84572,0.93778
1984,Post-secondary Non-tertiary Level,female,Not Disabled (<= 30%),0.96227,111,111,0.92666,0.99788
1984,First Stage of Tertiary Education,male,Not Disabled (<= 30%),0.83340,324,384,0.79608,0.87072
1984,First Stage of Tertiary Education,male,Disabled (> 30%),0.16660,60,384,0.12928,0.20392
1984,First Stage of Tertiary Education,female,Not Disabled (<= 30%),0.90077,253,253,0.86386,0.93768
1984,Second Stage of Tertiary Education,male,Not Disabled (<= 30%),0.88543,482,534,0.85840,0.91247
1984,Second Stage of Tertiary Education,male,Disabled (> 30%),0.11262,52,534,0.08578,0.13946
1984,Second Stage of Tertiary Education,female,Not Disabled (<= 30%),0.94309,243,243,0.91390,0.97228
1985,Pre-primary Level,male,Not Disabled (<= 30%),0.99199,111,111,0.97533,1.00865
1985,Primary Level,male,Not Disabled (<= 30%),0.80189,312,344,0.75971,0.84407
1985,Primary Level,male,Disabled (> 30%),0.19560,32,344,0.15362,0.23758
1985,Primary Level,female,Not Disabled (<= 30%),0.92146,465,465,0.89698,0.94594
1985,Lower Secondary Level,male,Not Disabled (<= 30%),0.86013,931,1023,0.83887,0.88140
1985,Lower Secondary Level,male,Disabled (> 30%),0.13664,92,1023,0.11558,0.15770
1985,Lower Secondary Level,female,Not Disabled (<= 30%),0.90654,1889,2025,0.89386,0.91922
1985,Lower Secondary Level,female,Disabled (> 30%),0.08710,136,2025,0.07481,0.09938
1985,Upper Secondary Level,male,Not Disabled (<= 30%),0.85432,2506,2830,0.84132,0.86732
1985,Upper Secondary Level,male,Disabled (> 30%),0.14133,324,2830,0.12850,0.15417
1985,Upper Secondary Level,female,Not Disabled (<= 30%),0.91126,2174,2332,0.89971,0.92280
1985,Upper Secondary Level,female,Disabled (> 30%),0.08452,158,2332,0.07322,0.09581
1985,Post-secondary Non-tertiary Level,male,Not Disabled (<= 30%),0.89167,155,155,0.84258,0.94076
1985,Post-secondary Non-tertiary Level,female,Not Disabled (<= 30%),0.92968,99,99,0.87906,0.98030
1985,First Stage of Tertiary Education,male,Not Disabled (<= 30%),0.83129,302,360,0.79255,0.87003
1985,First Stage of Tertiary Education,male,Disabled (> 30%),0.16871,58,360,0.12997,0.20745
1985,First Stage of Tertiary Education,female,Not Disabled (<= 30%),0.87384,234,234,0.83120,0.91647
1985,Second Stage of Tertiary Education,male,Not Disabled (<= 30%),0.89620,464,507,0.86963,0.92278
1985,Second Stage of Tertiary Education,male,Disabled (> 30%),0.09942,43,507,0.07335,0.12550
1985,Second Stage of Tertiary Education,female,Not Disabled (<= 30%),0.91956,230,230,0.88433,0.95478
1987,Pre-primary Level,male,Not Disabled (<= 30%),0.98527,99,99,0.96141,1.00912
1987,Pre-primary Level,female,Not Disabled (<= 30%),0.98349,88,88,0.95671,1.01027
1987,Primary Level,male,Not Disabled (<= 30%),0.82180,275,309,0.77906,0.86453
