year,bula_h,pgisced97,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,Lower Secondary Level,Not Disabled (<= 30%),0.94392,82,82,0.89381,0.99402
1984,Schleswig-Holstein,Upper Secondary Level,Not Disabled (<= 30%),0.92102,205,205,0.88401,0.95803
1984,Hamburg,Lower Secondary Level,Not Disabled (<= 30%),0.90270,61,61,0.82771,0.97769
1984,Hamburg,Upper Secondary Level,Not Disabled (<= 30%),0.88028,141,141,0.82651,0.93406
1984,Lower Saxony,Primary Level,Not Disabled (<= 30%),0.87778,61,61,0.79490,0.96066
1984,Lower Saxony,Lower Secondary Level,Not Disabled (<= 30%),0.88593,329,365,0.85327,0.91859
1984,Lower Saxony,Lower Secondary Level,Disabled (> 30%),0.11074,36,365,0.07850,0.14298
1984,Lower Saxony,Upper Secondary Level,Not Disabled (<= 30%),0.88796,532,590,0.86249,0.91344
1984,Lower Saxony,Upper Secondary Level,Disabled (> 30%),0.11201,58,590,0.08654,0.13748
1984,Lower Saxony,First Stage of Tertiary Education,Not Disabled (<= 30%),0.92266,74,74,0.86138,0.98394
1984,Lower Saxony,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.89146,71,71,0.81859,0.96433
1984,Bremen,Lower Secondary Level,Not Disabled (<= 30%),0.82770,36,36,0.70259,0.95281
1984,Bremen,Upper Secondary Level,Not Disabled (<= 30%),0.80134,62,62,0.70122,0.90147
1984,North Rhine-Westphalia,Pre-primary Level,Not Disabled (<= 30%),0.94085,60,60,0.88066,1.00105
1984,North Rhine-Westphalia,Primary Level,Not Disabled (<= 30%),0.90605,288,288,0.87230,0.93981
1984,North Rhine-Westphalia,Lower Secondary Level,Not Disabled (<= 30%),0.84108,771,859,0.81661,0.86554
1984,North Rhine-Westphalia,Lower Secondary Level,Disabled (> 30%),0.14703,88,859,0.12333,0.17073
1984,North Rhine-Westphalia,Upper Secondary Level,Not Disabled (<= 30%),0.85127,1348,1521,0.83338,0.86916
1984,North Rhine-Westphalia,Upper Secondary Level,Disabled (> 30%),0.14404,173,1521,0.12639,0.16169
1984,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.93999,85,85,0.88920,0.99078
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Not Disabled (<= 30%),0.78128,125,157,0.71641,0.84615
1984,North Rhine-Westphalia,First Stage of Tertiary Education,Disabled (> 30%),0.21872,32,157,0.15385,0.28359
1984,North Rhine-Westphalia,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.91028,207,207,0.87126,0.94931
1984,Hesse,Primary Level,Not Disabled (<= 30%),0.85194,95,95,0.78014,0.92374
1984,Hesse,Lower Secondary Level,Not Disabled (<= 30%),0.87753,326,326,0.84189,0.91317
1984,Hesse,Upper Secondary Level,Not Disabled (<= 30%),0.89643,537,582,0.87166,0.92121
1984,Hesse,Upper Secondary Level,Disabled (> 30%),0.09729,45,582,0.07319,0.12139
1984,Hesse,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.85428,34,34,0.73390,0.97466
1984,Hesse,First Stage of Tertiary Education,Not Disabled (<= 30%),0.83306,44,44,0.72160,0.94453
1984,Hesse,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.91511,85,85,0.85550,0.97471
1984,"Rhineland-Palatinate, Saarland",Primary Level,Not Disabled (<= 30%),0.86254,56,56,0.77153,0.95354
1984,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Not Disabled (<= 30%),0.91078,274,274,0.87697,0.94460
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Not Disabled (<= 30%),0.87266,347,391,0.83958,0.90575
1984,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Disabled (> 30%),0.12488,44,391,0.09207,0.15769
1984,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Not Disabled (<= 30%),0.97354,38,38,0.92182,1.02526
1984,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Not Disabled (<= 30%),0.90991,34,34,0.81222,1.00760
1984,Baden-Wuerttemberg,Pre-primary Level,Not Disabled (<= 30%),0.95287,34,34,0.88056,1.02517
1984,Baden-Wuerttemberg,Primary Level,Not Disabled (<= 30%),0.91803,266,266,0.88500,0.95106
1984,Baden-Wuerttemberg,Lower Secondary Level,Not Disabled (<= 30%),0.93629,660,691,0.91807,0.95451
1984,Baden-Wuerttemberg,Lower Secondary Level,Disabled (> 30%),0.06367,31,691,0.04545,0.08189
1984,Baden-Wuerttemberg,Upper Secondary Level,Not Disabled (<= 30%),0.89841,861,939,0.87908,0.91774
1984,Baden-Wuerttemberg,Upper Secondary Level,Disabled (> 30%),0.10159,78,939,0.08226,0.12092
1984,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.95296,48,48,0.89243,1.01349
1984,Baden-Wuerttemberg,First Stage of Tertiary Education,Not Disabled (<= 30%),0.90117,107,107,0.84436,0.95798
1984,Baden-Wuerttemberg,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.92456,117,117,0.87650,0.97262
1984,Bavaria,Primary Level,Not Disabled (<= 30%),0.90238,99,99,0.84362,0.96115
1984,Bavaria,Lower Secondary Level,Not Disabled (<= 30%),0.89711,539,584,0.87245,0.92177
1984,Bavaria,Lower Secondary Level,Disabled (> 30%),0.10289,45,584,0.07823,0.12755
1984,Bavaria,Upper Secondary Level,Not Disabled (<= 30%),0.89689,942,1029,0.87830,0.91548
1984,Bavaria,Upper Secondary Level,Disabled (> 30%),0.09839,87,1029,0.08018,0.11659
1984,Bavaria,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.84517,46,46,0.73947,0.95086
1984,Bavaria,First Stage of Tertiary Education,Not Disabled (<= 30%),0.85803,113,113,0.79340,0.92267
1984,Bavaria,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.89641,144,144,0.84646,0.94636
1984,Berlin,Primary Level,Not Disabled (<= 30%),0.99026,38,38,0.95861,1.02191
1984,Berlin,Lower Secondary Level,Not Disabled (<= 30%),0.79236,83,83,0.70457,0.88015
