,Unnamed: 0,year,sex,m11124,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,male,Not Disabled (<= 30%),0.86266,5303,12132,0.85026,0.87619
1,1,1984,male,Disabled (> 30%),0.13734,640,12132,0.13366,0.14186
2,2,1984,female,Not Disabled (<= 30%),0.90988,5765,12132,0.89892,0.92207
3,3,1984,female,Disabled (> 30%),0.09012,424,12132,0.08695,0.093
4,4,1985,male,Not Disabled (<= 30%),0.86446,4829,10984,0.84877,0.88038
5,5,1985,male,Disabled (> 30%),0.13554,566,10984,0.13104,0.13959
6,6,1985,female,Not Disabled (<= 30%),0.91361,5226,10984,0.90032,0.92785
7,7,1985,female,Disabled (> 30%),0.08639,363,10984,0.08358,0.08939
8,8,1987,male,Not Disabled (<= 30%),0.86769,4620,10404,0.85454,0.88471
9,9,1987,male,Disabled (> 30%),0.13231,534,10404,0.12773,0.13731
10,10,1987,female,Not Disabled (<= 30%),0.91039,4897,10404,0.8961,0.92579
11,11,1987,female,Disabled (> 30%),0.08961,353,10404,0.08594,0.09446
12,12,1988,male,Not Disabled (<= 30%),0.85584,4346,9929,0.84075,0.87154
13,13,1988,male,Disabled (> 30%),0.14416,565,9929,0.13911,0.1494
14,14,1988,female,Not Disabled (<= 30%),0.89909,4637,9929,0.88339,0.91552
15,15,1988,female,Disabled (> 30%),0.10091,381,9929,0.09608,0.10632
16,16,1989,male,Not Disabled (<= 30%),0.85273,4193,9620,0.83709,0.86992
17,17,1989,male,Disabled (> 30%),0.14727,549,9620,0.14093,0.1518
18,18,1989,female,Not Disabled (<= 30%),0.8939,4493,9620,0.87555,0.91117
19,19,1989,female,Disabled (> 30%),0.1061,385,9620,0.09959,0.11135
20,20,1991,male,Not Disabled (<= 30%),0.87827,6044,13544,0.86503,0.8929
21,21,1991,male,Disabled (> 30%),0.12173,566,13544,0.1165,0.12606
22,22,1991,female,Not Disabled (<= 30%),0.91493,6551,13544,0.89717,0.92952
23,23,1991,female,Disabled (> 30%),0.08507,383,13544,0.0809,0.08968
24,24,1992,male,Not Disabled (<= 30%),0.86188,5730,13216,0.84739,0.87619
25,25,1992,male,Disabled (> 30%),0.13812,684,13216,0.13298,0.14397
26,26,1992,female,Not Disabled (<= 30%),0.8986,6303,13216,0.8835,0.91209
27,27,1992,female,Disabled (> 30%),0.1014,499,13216,0.09473,0.10651
28,28,1994,male,Not Disabled (<= 30%),0.86853,5548,12812,0.85269,0.88378
29,29,1994,male,Disabled (> 30%),0.13147,644,12812,0.12599,0.13778
30,30,1994,female,Not Disabled (<= 30%),0.89843,6118,12812,0.88169,0.91436
31,31,1994,female,Disabled (> 30%),0.10157,502,12812,0.09572,0.10749
32,32,1995,male,Not Disabled (<= 30%),0.86226,5670,13165,0.84582,0.87971
33,33,1995,male,Disabled (> 30%),0.13774,672,13165,0.13016,0.14496
34,34,1995,female,Not Disabled (<= 30%),0.88771,6268,13165,0.86943,0.90363
