year,regtyp,sex,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,male,Not Disabled (<= 30%),0.71256,3801,4255,0.69896,0.72616
1985,Urban regions,male,Disabled (> 30%),0.11659,454,4255,0.10694,0.12623
1985,Urban regions,female,Not Disabled (<= 30%),0.76981,4101,4401,0.75737,0.78225
1985,Urban regions,female,Disabled (> 30%),0.07913,300,4401,0.07116,0.08711
1985,Rural regions,male,Not Disabled (<= 30%),0.71299,1028,1140,0.68672,0.73927
1985,Rural regions,male,Disabled (> 30%),0.09697,112,1140,0.07978,0.11415
1985,Rural regions,female,Not Disabled (<= 30%),0.77718,1125,1188,0.75351,0.80085
1985,Rural regions,female,Disabled (> 30%),0.05405,63,1188,0.04119,0.06692
1987,Urban regions,male,Not Disabled (<= 30%),0.71680,3660,4088,0.70299,0.73062
1987,Urban regions,male,Disabled (> 30%),0.11130,428,4088,0.10166,0.12094
1987,Urban regions,female,Not Disabled (<= 30%),0.76429,3829,4118,0.75132,0.77725
1987,Urban regions,female,Disabled (> 30%),0.08192,289,4118,0.07354,0.09030
1987,Rural regions,male,Not Disabled (<= 30%),0.69750,960,1066,0.66991,0.72509
1987,Rural regions,male,Disabled (> 30%),0.10004,106,1066,0.08202,0.11806
1987,Rural regions,female,Not Disabled (<= 30%),0.76990,1068,1132,0.74537,0.79443
1987,Rural regions,female,Disabled (> 30%),0.05507,64,1132,0.04178,0.06837
1988,Urban regions,male,Not Disabled (<= 30%),0.70955,3452,3904,0.69530,0.72379
1988,Urban regions,male,Disabled (> 30%),0.12135,452,3904,0.11111,0.13160
1988,Urban regions,female,Not Disabled (<= 30%),0.75032,3648,3966,0.73685,0.76380
1988,Urban regions,female,Disabled (> 30%),0.09287,318,3966,0.08383,0.10190
1988,Rural regions,male,Not Disabled (<= 30%),0.68744,894,1007,0.65880,0.71608
1988,Rural regions,male,Disabled (> 30%),0.11004,113,1007,0.09071,0.12938
1988,Rural regions,female,Not Disabled (<= 30%),0.76821,989,1052,0.74270,0.79372
1988,Rural regions,female,Disabled (> 30%),0.05853,63,1052,0.04434,0.07273
1989,Urban regions,male,Not Disabled (<= 30%),0.70635,3339,3774,0.69181,0.72088
1989,Urban regions,male,Disabled (> 30%),0.12162,435,3774,0.11119,0.13205
1989,Urban regions,female,Not Disabled (<= 30%),0.75428,3578,3894,0.74075,0.76780
1989,Urban regions,female,Disabled (> 30%),0.09434,316,3894,0.08515,0.10352
1989,Rural regions,male,Not Disabled (<= 30%),0.68757,854,968,0.65835,0.71678
1989,Rural regions,male,Disabled (> 30%),0.12001,114,968,0.09953,0.14050
1989,Rural regions,female,Not Disabled (<= 30%),0.74460,915,984,0.71734,0.77186
1989,Rural regions,female,Disabled (> 30%),0.07252,69,984,0.05631,0.08873
1991,Urban regions,male,Not Disabled (<= 30%),0.70199,3840,4284,0.68829,0.71569
1991,Urban regions,male,Disabled (> 30%),0.10981,444,4284,0.10044,0.11917
1991,Urban regions,female,Not Disabled (<= 30%),0.74965,4143,4463,0.73694,0.76236
1991,Urban regions,female,Disabled (> 30%),0.08646,320,4463,0.07821,0.09471
1991,Rural regions,male,Not Disabled (<= 30%),0.72432,2163,2285,0.70600,0.74265
1991,Rural regions,male,Disabled (> 30%),0.07595,122,2285,0.06508,0.08681
1991,Rural regions,female,Not Disabled (<= 30%),0.78452,2359,2422,0.76814,0.80089
1991,Rural regions,female,Disabled (> 30%),0.03848,63,2422,0.03082,0.04614
1992,Urban regions,male,Not Disabled (<= 30%),0.69277,3712,4193,0.67880,0.70674
1992,Urban regions,male,Disabled (> 30%),0.11801,481,4193,0.10825,0.12778
1992,Urban regions,female,Not Disabled (<= 30%),0.74136,4063,4436,0.72847,0.75425
1992,Urban regions,female,Disabled (> 30%),0.09514,373,4436,0.08651,0.10378
1992,Rural regions,male,Not Disabled (<= 30%),0.70338,1965,2166,0.68414,0.72262
1992,Rural regions,male,Disabled (> 30%),0.09920,201,2166,0.08661,0.11180
1992,Rural regions,female,Not Disabled (<= 30%),0.75040,2183,2303,0.73272,0.76808
1992,Rural regions,female,Disabled (> 30%),0.05974,120,2303,0.05006,0.06942
1994,Urban regions,male,Not Disabled (<= 30%),0.69665,3624,4080,0.68254,0.71076
1994,Urban regions,male,Disabled (> 30%),0.11323,456,4080,0.10351,0.12296
1994,Urban regions,female,Not Disabled (<= 30%),0.74368,4007,4375,0.73074,0.75662
1994,Urban regions,female,Disabled (> 30%),0.09262,368,4375,0.08403,0.10122
1994,Rural regions,male,Not Disabled (<= 30%),0.71420,1924,2112,0.69492,0.73347
1994,Rural regions,male,Disabled (> 30%),0.09095,188,2112,0.07868,0.10322
1994,Rural regions,female,Not Disabled (<= 30%),0.74220,2111,2245,0.72410,0.76030
1994,Rural regions,female,Disabled (> 30%),0.06513,134,2245,0.05492,0.07534
1995,Urban regions,male,Not Disabled (<= 30%),0.68615,3687,4156,0.67203,0.70026
1995,Urban regions,male,Disabled (> 30%),0.11478,469,4156,0.10509,0.12448
1995,Urban regions,female,Not Disabled (<= 30%),0.73066,4090,4496,0.71769,0.74363
1995,Urban regions,female,Disabled (> 30%),0.10223,406,4496,0.09337,0.11109
1995,Rural regions,male,Not Disabled (<= 30%),0.69862,1983,2186,0.67938,0.71786
1995,Rural regions,male,Disabled (> 30%),0.10046,203,2186,0.08786,0.11307
