year,age_gr,sampreg,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,West,Not Disabled (<= 30%),0.98233,3379,3432,0.97792,0.98674
1984,17-29 y.,West,Disabled (> 30%),0.01767,53,3432,0.01326,0.02208
1984,30-45 y.,West,Not Disabled (<= 30%),0.95772,3754,3899,0.95141,0.96404
1984,30-45 y.,West,Disabled (> 30%),0.04228,145,3899,0.03596,0.04859
1984,46-65 y.,West,Not Disabled (<= 30%),0.80171,2938,3539,0.78857,0.81484
1984,46-65 y.,West,Disabled (> 30%),0.19829,601,3539,0.18516,0.21143
1984,66 and older,West,Not Disabled (<= 30%),0.79701,997,1262,0.77481,0.81921
1984,66 and older,West,Disabled (> 30%),0.20299,265,1262,0.18079,0.22519
1985,17-29 y.,West,Not Disabled (<= 30%),0.98263,3087,3138,0.97806,0.98720
1985,17-29 y.,West,Disabled (> 30%),0.01737,51,3138,0.01280,0.02194
1985,30-45 y.,West,Not Disabled (<= 30%),0.96034,3352,3467,0.95384,0.96683
1985,30-45 y.,West,Disabled (> 30%),0.03966,115,3467,0.03317,0.04616
1985,46-65 y.,West,Not Disabled (<= 30%),0.80341,2736,3274,0.78979,0.81702
1985,46-65 y.,West,Disabled (> 30%),0.19659,538,3274,0.18298,0.21021
1985,66 and older,West,Not Disabled (<= 30%),0.80865,880,1105,0.78545,0.83185
1985,66 and older,West,Disabled (> 30%),0.19135,225,1105,0.16815,0.21455
1987,17-29 y.,West,Not Disabled (<= 30%),0.98377,2946,2997,0.97924,0.98829
1987,17-29 y.,West,Disabled (> 30%),0.01623,51,2997,0.01171,0.02076
1987,30-45 y.,West,Not Disabled (<= 30%),0.96015,3052,3160,0.95333,0.96697
1987,30-45 y.,West,Disabled (> 30%),0.03985,108,3160,0.03303,0.04667
1987,46-65 y.,West,Not Disabled (<= 30%),0.82005,2694,3186,0.80671,0.83339
1987,46-65 y.,West,Disabled (> 30%),0.17995,492,3186,0.16661,0.19329
1987,66 and older,West,Not Disabled (<= 30%),0.78818,825,1061,0.76358,0.81278
1987,66 and older,West,Disabled (> 30%),0.21182,236,1061,0.18722,0.23642
1988,17-29 y.,West,Not Disabled (<= 30%),0.98193,2809,2865,0.97706,0.98681
1988,17-29 y.,West,Disabled (> 30%),0.01807,56,2865,0.01319,0.02294
1988,30-45 y.,West,Not Disabled (<= 30%),0.95964,2841,2947,0.95253,0.96674
1988,30-45 y.,West,Disabled (> 30%),0.04036,106,2947,0.03326,0.04747
1988,46-65 y.,West,Not Disabled (<= 30%),0.81289,2579,3088,0.79913,0.82664
1988,46-65 y.,West,Disabled (> 30%),0.18711,509,3088,0.17336,0.20087
1988,66 and older,West,Not Disabled (<= 30%),0.74110,754,1029,0.71432,0.76787
1988,66 and older,West,Disabled (> 30%),0.25890,275,1029,0.23213,0.28568
1989,17-29 y.,West,Not Disabled (<= 30%),0.98330,2770,2819,0.97857,0.98803
1989,17-29 y.,West,Disabled (> 30%),0.01670,49,2819,0.01197,0.02143
1989,30-45 y.,West,Not Disabled (<= 30%),0.95657,2732,2833,0.94907,0.96408
1989,30-45 y.,West,Disabled (> 30%),0.04343,101,2833,0.03592,0.05093
1989,46-65 y.,West,Not Disabled (<= 30%),0.81116,2471,2965,0.79707,0.82525
1989,46-65 y.,West,Disabled (> 30%),0.18884,494,2965,0.17475,0.20293
1989,66 and older,West,Not Disabled (<= 30%),0.71937,713,1003,0.69155,0.74719
1989,66 and older,West,Disabled (> 30%),0.28063,290,1003,0.25281,0.30845
1991,17-29 y.,West,Not Disabled (<= 30%),0.98137,2654,2705,0.97628,0.98647
1991,17-29 y.,West,Disabled (> 30%),0.01863,51,2705,0.01353,0.02372
1991,30-45 y.,West,Not Disabled (<= 30%),0.95306,2696,2816,0.94525,0.96088
1991,30-45 y.,West,Disabled (> 30%),0.04694,120,2816,0.03912,0.05475
1991,46-65 y.,West,Not Disabled (<= 30%),0.81374,2374,2842,0.79943,0.82806
1991,46-65 y.,West,Disabled (> 30%),0.18626,468,2842,0.17194,0.20057
1991,66 and older,West,Not Disabled (<= 30%),0.70439,732,1042,0.67667,0.73211
