year,age_gr,sex,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,male,Not Disabled (<= 30%),0.97989,1701,1733,0.97328,0.98651
1984,17-29 y.,male,Disabled (> 30%),0.01948,32,1733,0.01297,0.02599
1984,17-29 y.,female,Not Disabled (<= 30%),0.98032,1678,1678,0.97367,0.98697
1984,30-45 y.,male,Not Disabled (<= 30%),0.95186,1851,1935,0.94232,0.96140
1984,30-45 y.,male,Disabled (> 30%),0.04803,84,1935,0.03850,0.05756
1984,30-45 y.,female,Not Disabled (<= 30%),0.96109,1903,1964,0.95253,0.96964
1984,30-45 y.,female,Disabled (> 30%),0.03631,61,1964,0.02803,0.04458
1984,46-65 y.,male,Not Disabled (<= 30%),0.74138,1396,1771,0.72098,0.76178
1984,46-65 y.,male,Disabled (> 30%),0.25419,375,1771,0.23391,0.27448
1984,46-65 y.,female,Not Disabled (<= 30%),0.84747,1542,1768,0.83071,0.86424
1984,46-65 y.,female,Disabled (> 30%),0.14621,226,1768,0.12974,0.16269
1984,66 and older,male,Not Disabled (<= 30%),0.70642,355,504,0.66663,0.74622
1984,66 and older,male,Disabled (> 30%),0.29136,149,504,0.25165,0.33107
1984,66 and older,female,Not Disabled (<= 30%),0.84297,642,758,0.81705,0.86889
1984,66 and older,female,Disabled (> 30%),0.15198,116,758,0.12641,0.17755
1985,17-29 y.,male,Not Disabled (<= 30%),0.97961,1580,1580,0.97264,0.98658
1985,17-29 y.,female,Not Disabled (<= 30%),0.98333,1507,1507,0.97687,0.98980
1985,30-45 y.,male,Not Disabled (<= 30%),0.95501,1637,1704,0.94516,0.96485
1985,30-45 y.,male,Disabled (> 30%),0.04442,67,1704,0.03463,0.05420
1985,30-45 y.,female,Not Disabled (<= 30%),0.96157,1715,1763,0.95259,0.97054
1985,30-45 y.,female,Disabled (> 30%),0.03469,48,1763,0.02615,0.04324
1985,46-65 y.,male,Not Disabled (<= 30%),0.74679,1306,1639,0.72574,0.76785
1985,46-65 y.,male,Disabled (> 30%),0.24452,333,1639,0.22371,0.26534
1985,46-65 y.,female,Not Disabled (<= 30%),0.83945,1430,1635,0.82165,0.85725
1985,46-65 y.,female,Disabled (> 30%),0.14923,205,1635,0.13195,0.16650
1985,66 and older,male,Not Disabled (<= 30%),0.69955,306,442,0.65676,0.74234
1985,66 and older,male,Disabled (> 30%),0.29846,136,442,0.25575,0.34117
1985,66 and older,female,Not Disabled (<= 30%),0.86739,574,663,0.84155,0.89323
1985,66 and older,female,Disabled (> 30%),0.13047,89,663,0.10482,0.15613
1987,17-29 y.,male,Not Disabled (<= 30%),0.97657,1530,1563,0.96907,0.98407
1987,17-29 y.,male,Disabled (> 30%),0.01904,33,1563,0.01227,0.02582
1987,17-29 y.,female,Not Disabled (<= 30%),0.98391,1416,1416,0.97735,0.99047
1987,30-45 y.,male,Not Disabled (<= 30%),0.96107,1493,1545,0.95143,0.97072
1987,30-45 y.,male,Disabled (> 30%),0.03650,52,1545,0.02715,0.04585
1987,30-45 y.,female,Not Disabled (<= 30%),0.95293,1559,1615,0.94260,0.96326
1987,30-45 y.,female,Disabled (> 30%),0.04310,56,1615,0.03319,0.05301
1987,46-65 y.,male,Not Disabled (<= 30%),0.76520,1308,1626,0.74459,0.78581
1987,46-65 y.,male,Disabled (> 30%),0.23194,318,1626,0.21142,0.25246
1987,46-65 y.,female,Not Disabled (<= 30%),0.86199,1386,1560,0.84487,0.87911
1987,46-65 y.,female,Disabled (> 30%),0.12906,174,1560,0.11242,0.14571
1987,66 and older,male,Not Disabled (<= 30%),0.69187,289,420,0.64766,0.73608
1987,66 and older,male,Disabled (> 30%),0.30071,131,420,0.25680,0.34462
1987,66 and older,female,Not Disabled (<= 30%),0.83373,536,641,0.80489,0.86258
1987,66 and older,female,Disabled (> 30%),0.16058,105,641,0.13213,0.18902
1988,17-29 y.,male,Not Disabled (<= 30%),0.97576,1456,1456,0.96785,0.98366
1988,17-29 y.,female,Not Disabled (<= 30%),0.98403,1353,1353,0.97735,0.99071
1988,30-45 y.,male,Not Disabled (<= 30%),0.96153,1390,1443,0.95160,0.97145
1988,30-45 y.,male,Disabled (> 30%),0.03775,53,1443,0.02791,0.04759
1988,30-45 y.,female,Not Disabled (<= 30%),0.95256,1451,1504,0.94182,0.96331
1988,30-45 y.,female,Disabled (> 30%),0.04285,53,1504,0.03261,0.05308
1988,46-65 y.,male,Not Disabled (<= 30%),0.75521,1238,1569,0.73393,0.77649
1988,46-65 y.,male,Disabled (> 30%),0.24109,331,1569,0.21991,0.26226
1988,46-65 y.,female,Not Disabled (<= 30%),0.85598,1341,1519,0.83832,0.87364
1988,46-65 y.,female,Disabled (> 30%),0.13367,178,1519,0.11655,0.15079
1988,66 and older,male,Not Disabled (<= 30%),0.63647,262,413,0.59002,0.68291
1988,66 and older,male,Disabled (> 30%),0.35871,151,413,0.31239,0.40502
1988,66 and older,female,Not Disabled (<= 30%),0.79180,492,616,0.75971,0.82389
1988,66 and older,female,Disabled (> 30%),0.19961,124,616,0.16802,0.23120
