year,pgisced97,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,Not Disabled (<= 30%),0.73648,58,58,0.62211,0.85085
1984,Pre-primary Level,Not Disabled (<= 30%),0.98993,185,185,0.97550,1.00436
1984,Primary Level,Not Disabled (<= 30%),0.89880,938,998,0.88008,0.91752
1984,Primary Level,Disabled (> 30%),0.10120,60,998,0.08248,0.11992
1984,Lower Secondary Level,Not Disabled (<= 30%),0.89002,3161,3438,0.87956,0.90048
1984,Lower Secondary Level,Disabled (> 30%),0.10998,277,3438,0.09952,0.12044
1984,Upper Secondary Level,Not Disabled (<= 30%),0.88273,5137,5687,0.87436,0.89109
1984,Upper Secondary Level,Disabled (> 30%),0.11727,550,5687,0.10891,0.12564
1984,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.92031,287,287,0.88893,0.95170
1984,First Stage of Tertiary Education,Not Disabled (<= 30%),0.86162,577,659,0.83523,0.88800
1984,First Stage of Tertiary Education,Disabled (> 30%),0.13838,82,659,0.11200,0.16477
1984,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.90554,725,789,0.88512,0.92596
1984,Second Stage of Tertiary Education,Disabled (> 30%),0.09446,64,789,0.07404,0.11488
1985,No answer / don't know,Not Disabled (<= 30%),0.87628,108,108,0.81389,0.93867
1985,Pre-primary Level,Not Disabled (<= 30%),0.99715,186,186,0.98947,1.00483
1985,Primary Level,Not Disabled (<= 30%),0.86772,777,831,0.84467,0.89077
1985,Primary Level,Disabled (> 30%),0.13228,54,831,0.10923,0.15533
1985,Lower Secondary Level,Not Disabled (<= 30%),0.89945,2820,3048,0.88877,0.91013
1985,Lower Secondary Level,Disabled (> 30%),0.10055,228,3048,0.08987,0.11123
1985,Upper Secondary Level,Not Disabled (<= 30%),0.88476,4680,5162,0.87604,0.89347
1985,Upper Secondary Level,Disabled (> 30%),0.11524,482,5162,0.10653,0.12396
1985,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.90794,254,254,0.87231,0.94356
1985,First Stage of Tertiary Education,Not Disabled (<= 30%),0.85051,536,618,0.82237,0.87864
1985,First Stage of Tertiary Education,Disabled (> 30%),0.14949,82,618,0.12136,0.17763
1985,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.91008,694,750,0.88959,0.93056
1985,Second Stage of Tertiary Education,Disabled (> 30%),0.08992,56,750,0.06944,0.11041
1987,No answer / don't know,Not Disabled (<= 30%),0.89891,115,115,0.84358,0.95425
1987,Pre-primary Level,Not Disabled (<= 30%),0.99041,187,187,0.97640,1.00442
1987,Primary Level,Not Disabled (<= 30%),0.86109,688,746,0.83625,0.88593
1987,Primary Level,Disabled (> 30%),0.13891,58,746,0.11407,0.16375
1987,Lower Secondary Level,Not Disabled (<= 30%),0.89889,2615,2825,0.88777,0.91001
1987,Lower Secondary Level,Disabled (> 30%),0.10111,210,2825,0.08999,0.11223
1987,Upper Secondary Level,Not Disabled (<= 30%),0.88447,4483,4944,0.87556,0.89338
1987,Upper Secondary Level,Disabled (> 30%),0.11553,461,4944,0.10662,0.12444
1987,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.91523,254,254,0.88091,0.94956
1987,First Stage of Tertiary Education,Not Disabled (<= 30%),0.85203,490,563,0.82267,0.88138
1987,First Stage of Tertiary Education,Disabled (> 30%),0.14797,73,563,0.11862,0.17733
1987,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.91355,685,739,0.89328,0.93383
1987,Second Stage of Tertiary Education,Disabled (> 30%),0.08645,54,739,0.06617,0.10672
1988,No answer / don't know,Not Disabled (<= 30%),0.90174,135,135,0.85134,0.95214
1988,Pre-primary Level,Not Disabled (<= 30%),0.98886,162,162,0.97265,1.00507
1988,Primary Level,Not Disabled (<= 30%),0.85237,624,687,0.82582,0.87891
1988,Primary Level,Disabled (> 30%),0.14763,63,687,0.12109,0.17418
1988,Lower Secondary Level,Not Disabled (<= 30%),0.88169,2479,2707,0.86952,0.89386
1988,Lower Secondary Level,Disabled (> 30%),0.11831,228,2707,0.10614,0.13048
1988,Upper Secondary Level,Not Disabled (<= 30%),0.87212,4224,4722,0.86259,0.88164
1988,Upper Secondary Level,Disabled (> 30%),0.12788,498,4722,0.11836,0.13741
1988,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.89533,244,244,0.85684,0.93382
1988,First Stage of Tertiary Education,Not Disabled (<= 30%),0.85419,468,537,0.82431,0.88407
1988,First Stage of Tertiary Education,Disabled (> 30%),0.14581,69,537,0.11593,0.17569
1988,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.90957,647,700,0.88831,0.93083
1988,Second Stage of Tertiary Education,Disabled (> 30%),0.09043,53,700,0.06917,0.11169
1989,No answer / don't know,Not Disabled (<= 30%),0.89346,133,133,0.84083,0.94609
1989,Pre-primary Level,Not Disabled (<= 30%),0.98429,172,172,0.96565,1.00293
