year,migback,sampreg,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,West,Not Disabled (<= 30%),0.88256,7730,8644,0.87577,0.88935
1984,No migration background,West,Disabled (> 30%),0.11744,914,8644,0.11065,0.12423
1984,Direct migration background,West,Not Disabled (<= 30%),0.93420,3217,3362,0.92582,0.94258
1984,Direct migration background,West,Disabled (> 30%),0.06580,145,3362,0.05742,0.07418
1984,Indirect migration background,West,Not Disabled (<= 30%),0.94620,121,121,0.90583,0.98657
1985,No migration background,West,Not Disabled (<= 30%),0.88625,7140,7948,0.87927,0.89323
1985,No migration background,West,Disabled (> 30%),0.11375,808,7948,0.10677,0.12073
1985,Direct migration background,West,Not Disabled (<= 30%),0.92755,2778,2895,0.91811,0.93700
1985,Direct migration background,West,Disabled (> 30%),0.07245,117,2895,0.06300,0.08189
1985,Indirect migration background,West,Not Disabled (<= 30%),0.95762,137,137,0.92377,0.99148
1987,No migration background,West,Not Disabled (<= 30%),0.88765,6696,7434,0.88047,0.89482
1987,No migration background,West,Disabled (> 30%),0.11235,738,7434,0.10518,0.11953
1987,Direct migration background,West,Not Disabled (<= 30%),0.91016,2655,2798,0.89957,0.92076
1987,Direct migration background,West,Disabled (> 30%),0.08984,143,2798,0.07924,0.10043
1987,Indirect migration background,West,Not Disabled (<= 30%),0.91957,166,166,0.87807,0.96107
1988,No migration background,West,Not Disabled (<= 30%),0.87647,6292,7051,0.86879,0.88415
1988,No migration background,West,Disabled (> 30%),0.12353,759,7051,0.11585,0.13121
1988,Direct migration background,West,Not Disabled (<= 30%),0.89346,2481,2659,0.88173,0.90519
1988,Direct migration background,West,Disabled (> 30%),0.10654,178,2659,0.09481,0.11827
1988,Indirect migration background,West,Not Disabled (<= 30%),0.91451,210,210,0.87660,0.95242
1989,No migration background,West,Not Disabled (<= 30%),0.87049,6030,6785,0.86250,0.87848
1989,No migration background,West,Disabled (> 30%),0.12951,755,6785,0.12152,0.13750
1989,Direct migration background,West,Not Disabled (<= 30%),0.90086,2408,2579,0.88932,0.91239
1989,Direct migration background,West,Disabled (> 30%),0.09914,171,2579,0.08761,0.11068
1989,Indirect migration background,West,Not Disabled (<= 30%),0.92475,248,248,0.89185,0.95765
1991,No migration background,West,Not Disabled (<= 30%),0.86722,5835,6587,0.85902,0.87542
1991,No migration background,West,Disabled (> 30%),0.13278,752,6587,0.12458,0.14098
1991,Direct migration background,West,Not Disabled (<= 30%),0.89022,2285,2475,0.87790,0.90254
1991,Direct migration background,West,Disabled (> 30%),0.10978,190,2475,0.09746,0.12210
1991,Indirect migration background,West,Not Disabled (<= 30%),0.95402,336,336,0.93159,0.97645
1992,No migration background,West,Not Disabled (<= 30%),0.86375,5753,6510,0.85541,0.87208
1992,No migration background,West,Disabled (> 30%),0.13625,757,6510,0.12792,0.14459
1992,No migration background,East,Not Disabled (<= 30%),0.93673,3564,3765,0.92895,0.94451
1992,No migration background,East,Disabled (> 30%),0.06327,201,3765,0.05549,0.07105
1992,Direct migration background,West,Not Disabled (<= 30%),0.88389,2195,2396,0.87106,0.89672
1992,Direct migration background,West,Disabled (> 30%),0.11611,201,2396,0.10328,0.12894
1992,Direct migration background,East,Not Disabled (<= 30%),0.88779,127,127,0.83268,0.94290
1992,Indirect migration background,West,Not Disabled (<= 30%),0.94899,384,384,0.92695,0.97102
1994,No migration background,West,Not Disabled (<= 30%),0.87046,5678,6386,0.86222,0.87870
1994,No migration background,West,Disabled (> 30%),0.12954,708,6386,0.12130,0.13778
1994,No migration background,East,Not Disabled (<= 30%),0.93127,3390,3593,0.92300,0.93954
1994,No migration background,East,Disabled (> 30%),0.06873,203,3593,0.06046,0.07700
1994,Direct migration background,West,Not Disabled (<= 30%),0.87305,1997,2208,0.85916,0.88694
1994,Direct migration background,West,Disabled (> 30%),0.12695,211,2208,0.11306,0.14084
1994,Direct migration background,East,Not Disabled (<= 30%),0.88689,123,123,0.83069,0.94309
1994,Indirect migration background,West,Not Disabled (<= 30%),0.96158,463,463,0.94405,0.97910
1995,No migration background,West,Not Disabled (<= 30%),0.85745,5648,6397,0.84889,0.86602
1995,No migration background,West,Disabled (> 30%),0.14255,749,6397,0.13398,0.15111
1995,No migration background,East,Not Disabled (<= 30%),0.92115,3287,3512,0.91224,0.93007
1995,No migration background,East,Disabled (> 30%),0.07885,225,3512,0.06993,0.08776
1995,Direct migration background,West,Not Disabled (<= 30%),0.88965,2391,2616,0.87764,0.90166
1995,Direct migration background,West,Disabled (> 30%),0.11035,225,2616,0.09834,0.12236
1995,Direct migration background,East,Not Disabled (<= 30%),0.86950,122,122,0.80948,0.92952
1995,Indirect migration background,West,Not Disabled (<= 30%),0.96628,475,475,0.95002,0.98253
1996,No migration background,West,Not Disabled (<= 30%),0.85732,5617,6364,0.84872,0.86591
1996,No migration background,West,Disabled (> 30%),0.14268,747,6364,0.13409,0.15128
1996,No migration background,East,Not Disabled (<= 30%),0.91879,3271,3505,0.90974,0.92783
1996,No migration background,East,Disabled (> 30%),0.08121,234,3505,0.07217,0.09026
1996,Direct migration background,West,Not Disabled (<= 30%),0.88480,2233,2452,0.87216,0.89744
1996,Direct migration background,West,Disabled (> 30%),0.11520,219,2452,0.10256,0.12784
1996,Direct migration background,East,Not Disabled (<= 30%),0.81998,116,116,0.74976,0.89020
1996,Indirect migration background,West,Not Disabled (<= 30%),0.96820,511,511,0.95297,0.98343
1997,No migration background,West,Not Disabled (<= 30%),0.85710,5547,6285,0.84845,0.86575
1997,No migration background,West,Disabled (> 30%),0.14290,738,6285,0.13425,0.15155
1997,No migration background,East,Not Disabled (<= 30%),0.91966,3219,3454,0.91059,0.92873
1997,No migration background,East,Disabled (> 30%),0.08034,235,3454,0.07127,0.08941
1997,Direct migration background,West,Not Disabled (<= 30%),0.89509,2129,2332,0.88265,0.90753
1997,Direct migration background,West,Disabled (> 30%),0.10491,203,2332,0.09247,0.11735
1997,Direct migration background,East,Not Disabled (<= 30%),0.83003,111,111,0.75984,0.90022
1997,Indirect migration background,West,Not Disabled (<= 30%),0.95847,531,531,0.94149,0.97546
1998,No migration background,West,Not Disabled (<= 30%),0.85494,6603,7512,0.84697,0.86290
1998,No migration background,West,Disabled (> 30%),0.14506,909,7512,0.13710,0.15303
1998,No migration background,East,Not Disabled (<= 30%),0.92301,3430,3692,0.91441,0.93161
1998,No migration background,East,Disabled (> 30%),0.07699,262,3692,0.06839,0.08559
1998,Direct migration background,West,Not Disabled (<= 30%),0.89498,2066,2276,0.88238,0.90758
1998,Direct migration background,West,Disabled (> 30%),0.10502,210,2276,0.09242,0.11762
1998,Direct migration background,East,Not Disabled (<= 30%),0.83437,100,100,0.76114,0.90760
1998,Indirect migration background,West,Not Disabled (<= 30%),0.98012,557,557,0.96852,0.99173
