year,quintil_oecd,regtyp,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,1st Quintile,Urban regions,Not Disabled (<= 30%),0.66868,1583,1723,0.64645,0.69091
1985,1st Quintile,Urban regions,Disabled (> 30%),0.09574,140,1723,0.08184,0.10964
1985,1st Quintile,Rural regions,Not Disabled (<= 30%),0.69422,474,516,0.65443,0.73401
1985,1st Quintile,Rural regions,Disabled (> 30%),0.07861,42,516,0.05536,0.10185
1985,2nd Quintile,Urban regions,Not Disabled (<= 30%),0.70218,1499,1657,0.68015,0.72420
1985,2nd Quintile,Urban regions,Disabled (> 30%),0.10562,158,1657,0.09082,0.12042
1985,2nd Quintile,Rural regions,Not Disabled (<= 30%),0.67985,454,495,0.63871,0.72099
1985,2nd Quintile,Rural regions,Disabled (> 30%),0.08002,41,495,0.05609,0.10395
1985,3rd Quintile,Urban regions,Not Disabled (<= 30%),0.73917,1572,1725,0.71844,0.75990
1985,3rd Quintile,Urban regions,Disabled (> 30%),0.10149,153,1725,0.08724,0.11575
1985,3rd Quintile,Rural regions,Not Disabled (<= 30%),0.75721,436,475,0.71861,0.79581
1985,3rd Quintile,Rural regions,Disabled (> 30%),0.07987,39,475,0.05547,0.10428
1985,4th Quintile,Urban regions,Not Disabled (<= 30%),0.79595,1673,1810,0.77738,0.81452
1985,4th Quintile,Urban regions,Disabled (> 30%),0.08069,137,1810,0.06814,0.09325
1985,4th Quintile,Rural regions,Not Disabled (<= 30%),0.78875,375,375,0.74738,0.83012
1985,5th Quintile,Urban regions,Not Disabled (<= 30%),0.79427,1568,1734,0.77524,0.81331
1985,5th Quintile,Urban regions,Disabled (> 30%),0.10264,166,1734,0.08835,0.11693
1985,5th Quintile,Rural regions,Not Disabled (<= 30%),0.85328,413,413,0.81911,0.88745
1987,1st Quintile,Urban regions,Not Disabled (<= 30%),0.67815,1403,1556,0.65493,0.70137
1987,1st Quintile,Urban regions,Disabled (> 30%),0.11083,153,1556,0.09523,0.12644
1987,1st Quintile,Rural regions,Not Disabled (<= 30%),0.66142,422,468,0.61850,0.70435
1987,1st Quintile,Rural regions,Disabled (> 30%),0.09251,46,468,0.06623,0.11879
1987,2nd Quintile,Urban regions,Not Disabled (<= 30%),0.69298,1461,1595,0.67033,0.71562
1987,2nd Quintile,Urban regions,Disabled (> 30%),0.09971,134,1595,0.08500,0.11442
1987,2nd Quintile,Rural regions,Not Disabled (<= 30%),0.70072,431,431,0.65744,0.74400
1987,3rd Quintile,Urban regions,Not Disabled (<= 30%),0.72736,1494,1626,0.70571,0.74901
1987,3rd Quintile,Urban regions,Disabled (> 30%),0.08987,132,1626,0.07596,0.10377
1987,3rd Quintile,Rural regions,Not Disabled (<= 30%),0.75809,428,470,0.71933,0.79684
1987,3rd Quintile,Rural regions,Disabled (> 30%),0.08231,42,470,0.05743,0.10718
1987,4th Quintile,Urban regions,Not Disabled (<= 30%),0.79064,1577,1722,0.77141,0.80986
1987,4th Quintile,Urban regions,Disabled (> 30%),0.08972,145,1722,0.07621,0.10322
1987,4th Quintile,Rural regions,Not Disabled (<= 30%),0.75580,391,391,0.71316,0.79844
1987,5th Quintile,Urban regions,Not Disabled (<= 30%),0.80617,1551,1704,0.78739,0.82494
1987,5th Quintile,Urban regions,Disabled (> 30%),0.09156,153,1704,0.07786,0.10525
1987,5th Quintile,Rural regions,Not Disabled (<= 30%),0.84109,356,356,0.80305,0.87912
1988,1st Quintile,Urban regions,Not Disabled (<= 30%),0.64661,1363,1526,0.62261,0.67060
1988,1st Quintile,Urban regions,Disabled (> 30%),0.12537,163,1526,0.10875,0.14199
1988,1st Quintile,Rural regions,Not Disabled (<= 30%),0.64694,377,435,0.60197,0.69190
1988,1st Quintile,Rural regions,Disabled (> 30%),0.11815,58,435,0.08778,0.14851
1988,2nd Quintile,Urban regions,Not Disabled (<= 30%),0.68172,1411,1557,0.65858,0.70487
1988,2nd Quintile,Urban regions,Disabled (> 30%),0.11331,146,1557,0.09756,0.12906
1988,2nd Quintile,Rural regions,Not Disabled (<= 30%),0.65721,380,416,0.61155,0.70288
1988,2nd Quintile,Rural regions,Disabled (> 30%),0.08641,36,416,0.05938,0.11345
1988,3rd Quintile,Urban regions,Not Disabled (<= 30%),0.71973,1413,1570,0.69751,0.74195
1988,3rd Quintile,Urban regions,Disabled (> 30%),0.10450,157,1570,0.08936,0.11964
1988,3rd Quintile,Rural regions,Not Disabled (<= 30%),0.76687,395,395,0.72512,0.80862
1988,4th Quintile,Urban regions,Not Disabled (<= 30%),0.77426,1446,1608,0.75382,0.79470
1988,4th Quintile,Urban regions,Disabled (> 30%),0.10497,162,1608,0.08998,0.11996
1988,4th Quintile,Rural regions,Not Disabled (<= 30%),0.77601,423,423,0.73623,0.81579
1988,5th Quintile,Urban regions,Not Disabled (<= 30%),0.81886,1465,1607,0.80003,0.83770
1988,5th Quintile,Urban regions,Disabled (> 30%),0.08752,142,1607,0.07370,0.10134
1988,5th Quintile,Rural regions,Not Disabled (<= 30%),0.84372,308,308,0.80310,0.88434
1989,1st Quintile,Urban regions,Not Disabled (<= 30%),0.65218,1378,1539,0.62837,0.67598
1989,1st Quintile,Urban regions,Disabled (> 30%),0.12541,161,1539,0.10885,0.14196
1989,1st Quintile,Rural regions,Not Disabled (<= 30%),0.64103,330,380,0.59273,0.68932
1989,1st Quintile,Rural regions,Disabled (> 30%),0.13453,50,380,0.10018,0.16889
1989,2nd Quintile,Urban regions,Not Disabled (<= 30%),0.67006,1391,1534,0.64652,0.69359
1989,2nd Quintile,Urban regions,Disabled (> 30%),0.11446,143,1534,0.09852,0.13039
1989,2nd Quintile,Rural regions,Not Disabled (<= 30%),0.66910,384,417,0.62388,0.71432
1989,2nd Quintile,Rural regions,Disabled (> 30%),0.06908,33,417,0.04471,0.09345
1989,3rd Quintile,Urban regions,Not Disabled (<= 30%),0.72654,1340,1488,0.70388,0.74919
1989,3rd Quintile,Urban regions,Disabled (> 30%),0.10289,148,1488,0.08745,0.11834
1989,3rd Quintile,Rural regions,Not Disabled (<= 30%),0.71350,362,401,0.66919,0.75781
1989,3rd Quintile,Rural regions,Disabled (> 30%),0.09344,39,401,0.06492,0.12196
1989,4th Quintile,Urban regions,Not Disabled (<= 30%),0.78931,1425,1579,0.76919,0.80943
1989,4th Quintile,Urban regions,Disabled (> 30%),0.10196,154,1579,0.08703,0.11689
1989,4th Quintile,Rural regions,Not Disabled (<= 30%),0.77032,384,425,0.73028,0.81036
1989,4th Quintile,Rural regions,Disabled (> 30%),0.10821,41,425,0.07864,0.13778
1989,5th Quintile,Urban regions,Not Disabled (<= 30%),0.80809,1382,1527,0.78833,0.82785
1989,5th Quintile,Urban regions,Disabled (> 30%),0.09420,145,1527,0.07954,0.10886
1989,5th Quintile,Rural regions,Not Disabled (<= 30%),0.82648,309,309,0.78418,0.86877
1991,1st Quintile,Urban regions,Not Disabled (<= 30%),0.61314,1218,1409,0.58770,0.63858
1991,1st Quintile,Urban regions,Disabled (> 30%),0.15467,191,1409,0.13578,0.17356
1991,1st Quintile,Rural regions,Not Disabled (<= 30%),0.64213,371,421,0.59628,0.68797
1991,1st Quintile,Rural regions,Disabled (> 30%),0.12047,50,421,0.08934,0.15160
1991,2nd Quintile,Urban regions,Not Disabled (<= 30%),0.67345,1336,1483,0.64957,0.69732
1991,2nd Quintile,Urban regions,Disabled (> 30%),0.10940,147,1483,0.09351,0.12529
1991,2nd Quintile,Rural regions,Not Disabled (<= 30%),0.65569,361,400,0.60907,0.70232
1991,2nd Quintile,Rural regions,Disabled (> 30%),0.09800,39,400,0.06883,0.12717
1991,3rd Quintile,Urban regions,Not Disabled (<= 30%),0.70263,1348,1493,0.67943,0.72582
1991,3rd Quintile,Urban regions,Disabled (> 30%),0.09976,145,1493,0.08455,0.11496
1991,3rd Quintile,Rural regions,Not Disabled (<= 30%),0.74345,349,385,0.69976,0.78713
1991,3rd Quintile,Rural regions,Disabled (> 30%),0.09132,36,385,0.06251,0.12013
1991,4th Quintile,Urban regions,Not Disabled (<= 30%),0.77228,1331,1469,0.75083,0.79373
1991,4th Quintile,Urban regions,Disabled (> 30%),0.09703,138,1469,0.08188,0.11217
1991,4th Quintile,Rural regions,Not Disabled (<= 30%),0.77429,429,467,0.73633,0.81225
1991,4th Quintile,Rural regions,Disabled (> 30%),0.08903,38,467,0.06317,0.11489
1991,5th Quintile,Urban regions,Not Disabled (<= 30%),0.81288,1396,1539,0.79339,0.83238
1991,5th Quintile,Urban regions,Disabled (> 30%),0.09037,143,1539,0.07604,0.10470
1991,5th Quintile,Rural regions,Not Disabled (<= 30%),0.78827,278,278,0.74015,0.83638
1992,1st Quintile,Urban regions,Not Disabled (<= 30%),0.63138,1223,1392,0.60602,0.65673
1992,1st Quintile,Urban regions,Disabled (> 30%),0.13281,169,1392,0.11498,0.15065
1992,1st Quintile,Rural regions,Not Disabled (<= 30%),0.69531,1174,1290,0.67018,0.72043
1992,1st Quintile,Rural regions,Disabled (> 30%),0.09860,116,1290,0.08232,0.11487
1992,2nd Quintile,Urban regions,Not Disabled (<= 30%),0.64952,1515,1662,0.62658,0.67247
1992,2nd Quintile,Urban regions,Disabled (> 30%),0.10158,147,1662,0.08705,0.11611
1992,2nd Quintile,Rural regions,Not Disabled (<= 30%),0.69692,1079,1147,0.67031,0.72353
1992,2nd Quintile,Rural regions,Disabled (> 30%),0.06202,68,1147,0.04806,0.07599
1992,3rd Quintile,Urban regions,Not Disabled (<= 30%),0.70505,1587,1745,0.68364,0.72645
1992,3rd Quintile,Urban regions,Disabled (> 30%),0.10277,158,1745,0.08851,0.11702
1992,3rd Quintile,Rural regions,Not Disabled (<= 30%),0.72247,835,899,0.69318,0.75176
1992,3rd Quintile,Rural regions,Disabled (> 30%),0.07420,64,899,0.05705,0.09134
1992,4th Quintile,Urban regions,Not Disabled (<= 30%),0.74898,1680,1878,0.72937,0.76860
1992,4th Quintile,Urban regions,Disabled (> 30%),0.10923,198,1878,0.09512,0.12334
1992,4th Quintile,Rural regions,Not Disabled (<= 30%),0.77232,653,700,0.74123,0.80341
1992,4th Quintile,Rural regions,Disabled (> 30%),0.08192,47,700,0.06159,0.10225
1992,5th Quintile,Urban regions,Not Disabled (<= 30%),0.81141,1767,1949,0.79403,0.82878
1992,5th Quintile,Urban regions,Disabled (> 30%),0.09215,182,1949,0.07931,0.10500
1992,5th Quintile,Rural regions,Not Disabled (<= 30%),0.80820,407,407,0.76991,0.84650
1994,1st Quintile,Urban regions,Not Disabled (<= 30%),0.63212,1349,1531,0.60796,0.65629
1994,1st Quintile,Urban regions,Disabled (> 30%),0.12853,182,1531,0.11176,0.14530
1994,1st Quintile,Rural regions,Not Disabled (<= 30%),0.68686,888,968,0.65763,0.71609
1994,1st Quintile,Rural regions,Disabled (> 30%),0.08125,80,968,0.06403,0.09847
1994,2nd Quintile,Urban regions,Not Disabled (<= 30%),0.68313,1479,1614,0.66042,0.70583
1994,2nd Quintile,Urban regions,Disabled (> 30%),0.09266,135,1614,0.07851,0.10681
1994,2nd Quintile,Rural regions,Not Disabled (<= 30%),0.68929,953,1037,0.66111,0.71747
1994,2nd Quintile,Rural regions,Disabled (> 30%),0.07477,84,1037,0.05875,0.09079
1994,3rd Quintile,Urban regions,Not Disabled (<= 30%),0.70537,1502,1668,0.68348,0.72725
1994,3rd Quintile,Urban regions,Disabled (> 30%),0.10202,166,1668,0.08749,0.11655
1994,3rd Quintile,Rural regions,Not Disabled (<= 30%),0.74788,972,1036,0.72142,0.77433
1994,3rd Quintile,Rural regions,Disabled (> 30%),0.07347,64,1036,0.05757,0.08936
1994,4th Quintile,Urban regions,Not Disabled (<= 30%),0.75182,1601,1770,0.73169,0.77195
1994,4th Quintile,Urban regions,Disabled (> 30%),0.10086,169,1770,0.08682,0.11489
1994,4th Quintile,Rural regions,Not Disabled (<= 30%),0.74716,704,765,0.71634,0.77798
1994,4th Quintile,Rural regions,Disabled (> 30%),0.08517,61,765,0.06538,0.10496
1994,5th Quintile,Urban regions,Not Disabled (<= 30%),0.80527,1693,1865,0.78729,0.82325
1994,5th Quintile,Urban regions,Disabled (> 30%),0.09225,172,1865,0.07912,0.10539
1994,5th Quintile,Rural regions,Not Disabled (<= 30%),0.81859,518,551,0.78638,0.85079
1994,5th Quintile,Rural regions,Disabled (> 30%),0.07329,33,551,0.05151,0.09507
1995,1st Quintile,Urban regions,Not Disabled (<= 30%),0.63049,1431,1600,0.60683,0.65415
1995,1st Quintile,Urban regions,Disabled (> 30%),0.10472,169,1600,0.08971,0.11973
1995,1st Quintile,Rural regions,Not Disabled (<= 30%),0.65341,851,913,0.62253,0.68430
1995,1st Quintile,Rural regions,Disabled (> 30%),0.07261,62,913,0.05577,0.08946
1995,2nd Quintile,Urban regions,Not Disabled (<= 30%),0.65773,1608,1796,0.63578,0.67968
1995,2nd Quintile,Urban regions,Disabled (> 30%),0.11821,188,1796,0.10327,0.13314
1995,2nd Quintile,Rural regions,Not Disabled (<= 30%),0.70361,968,1074,0.67628,0.73093
1995,2nd Quintile,Rural regions,Disabled (> 30%),0.09298,106,1074,0.07561,0.11036
1995,3rd Quintile,Urban regions,Not Disabled (<= 30%),0.70495,1501,1659,0.68300,0.72691
1995,3rd Quintile,Urban regions,Disabled (> 30%),0.10732,158,1659,0.09242,0.12222
1995,3rd Quintile,Rural regions,Not Disabled (<= 30%),0.70624,954,1030,0.67841,0.73407
1995,3rd Quintile,Rural regions,Disabled (> 30%),0.07757,76,1030,0.06122,0.09391
1995,4th Quintile,Urban regions,Not Disabled (<= 30%),0.73889,1575,1753,0.71832,0.75945
1995,4th Quintile,Urban regions,Disabled (> 30%),0.11076,178,1753,0.09606,0.12545
1995,4th Quintile,Rural regions,Not Disabled (<= 30%),0.77399,828,893,0.74654,0.80144
1995,4th Quintile,Rural regions,Disabled (> 30%),0.09911,65,893,0.07950,0.11872
1995,5th Quintile,Urban regions,Not Disabled (<= 30%),0.79292,1659,1840,0.77440,0.81144
1995,5th Quintile,Urban regions,Disabled (> 30%),0.10111,181,1840,0.08733,0.11489
1995,5th Quintile,Rural regions,Not Disabled (<= 30%),0.78009,560,603,0.74700,0.81317
1995,5th Quintile,Rural regions,Disabled (> 30%),0.09075,43,603,0.06781,0.11370
1996,1st Quintile,Urban regions,Not Disabled (<= 30%),0.63806,1489,1669,0.61500,0.66112
1996,1st Quintile,Urban regions,Disabled (> 30%),0.11266,180,1669,0.09749,0.12784
1996,1st Quintile,Rural regions,Not Disabled (<= 30%),0.65407,808,893,0.62285,0.68528
1996,1st Quintile,Rural regions,Disabled (> 30%),0.10435,85,893,0.08429,0.12442
1996,2nd Quintile,Urban regions,Not Disabled (<= 30%),0.66674,1513,1688,0.64424,0.68923
1996,2nd Quintile,Urban regions,Disabled (> 30%),0.11606,175,1688,0.10078,0.13135
1996,2nd Quintile,Rural regions,Not Disabled (<= 30%),0.66994,853,932,0.63974,0.70015
1996,2nd Quintile,Rural regions,Disabled (> 30%),0.07928,79,932,0.06193,0.09664
1996,3rd Quintile,Urban regions,Not Disabled (<= 30%),0.69335,1400,1565,0.67049,0.71620
1996,3rd Quintile,Urban regions,Disabled (> 30%),0.11475,165,1565,0.09896,0.13055
1996,3rd Quintile,Rural regions,Not Disabled (<= 30%),0.71459,1003,1103,0.68792,0.74125
1996,3rd Quintile,Rural regions,Disabled (> 30%),0.10895,100,1103,0.09055,0.12735
1996,4th Quintile,Urban regions,Not Disabled (<= 30%),0.75321,1622,1790,0.73323,0.77319
1996,4th Quintile,Urban regions,Disabled (> 30%),0.10211,168,1790,0.08808,0.11614
1996,4th Quintile,Rural regions,Not Disabled (<= 30%),0.76741,844,917,0.74005,0.79477
1996,4th Quintile,Rural regions,Disabled (> 30%),0.09048,73,917,0.07190,0.10905
1996,5th Quintile,Urban regions,Not Disabled (<= 30%),0.80431,1629,1798,0.78597,0.82266
1996,5th Quintile,Urban regions,Disabled (> 30%),0.09646,169,1798,0.08281,0.11011
1996,5th Quintile,Rural regions,Not Disabled (<= 30%),0.82630,600,638,0.79688,0.85572
1996,5th Quintile,Rural regions,Disabled (> 30%),0.07951,38,638,0.05850,0.10052
1997,1st Quintile,Urban regions,Not Disabled (<= 30%),0.64995,1404,1559,0.62626,0.67363
1997,1st Quintile,Urban regions,Disabled (> 30%),0.10324,155,1559,0.08813,0.11835
1997,1st Quintile,Rural regions,Not Disabled (<= 30%),0.63644,726,805,0.60319,0.66969
1997,1st Quintile,Rural regions,Disabled (> 30%),0.10222,79,805,0.08128,0.12316
1997,2nd Quintile,Urban regions,Not Disabled (<= 30%),0.66512,1489,1665,0.64245,0.68780
