year,age_gr,migback,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,No migration background,Not Disabled (<= 30%),0.98118,2302,2344,0.97568,0.98669
1984,17-29 y.,No migration background,Disabled (> 30%),0.01882,42,2344,0.01331,0.02432
1984,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.99725,988,988,0.99399,1.00052
1984,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.92901,89,89,0.87535,0.98267
1984,30-45 y.,No migration background,Not Disabled (<= 30%),0.95484,2385,2494,0.94669,0.96299
1984,30-45 y.,No migration background,Disabled (> 30%),0.04516,109,2494,0.03701,0.05331
1984,30-45 y.,Direct migration background,Not Disabled (<= 30%),0.97660,1351,1386,0.96863,0.98456
1984,30-45 y.,Direct migration background,Disabled (> 30%),0.02340,35,1386,0.01544,0.03137
1984,46-65 y.,No migration background,Not Disabled (<= 30%),0.79777,2080,2582,0.78227,0.81326
1984,46-65 y.,No migration background,Disabled (> 30%),0.20223,502,2582,0.18674,0.21773
1984,46-65 y.,Direct migration background,Not Disabled (<= 30%),0.83348,847,945,0.80971,0.85724
1984,46-65 y.,Direct migration background,Disabled (> 30%),0.16652,98,945,0.14276,0.19029
1984,66 and older,No migration background,Not Disabled (<= 30%),0.79349,963,1224,0.77080,0.81617
1984,66 and older,No migration background,Disabled (> 30%),0.20651,261,1224,0.18383,0.22920
1984,66 and older,Direct migration background,Not Disabled (<= 30%),0.93962,31,31,0.85439,1.02486
1985,17-29 y.,No migration background,Not Disabled (<= 30%),0.98122,2160,2202,0.97555,0.98689
1985,17-29 y.,No migration background,Disabled (> 30%),0.01878,42,2202,0.01311,0.02445
1985,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.99591,818,818,0.99153,1.00029
1985,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.99055,109,109,0.97230,1.00880
1985,30-45 y.,No migration background,Not Disabled (<= 30%),0.95766,2182,2273,0.94938,0.96594
1985,30-45 y.,No migration background,Disabled (> 30%),0.04234,91,2273,0.03406,0.05062
1985,30-45 y.,Direct migration background,Not Disabled (<= 30%),0.97661,1154,1154,0.96788,0.98533
1985,46-65 y.,No migration background,Not Disabled (<= 30%),0.80058,1954,2408,0.78462,0.81655
1985,46-65 y.,No migration background,Disabled (> 30%),0.19942,454,2408,0.18345,0.21538
1985,46-65 y.,Direct migration background,Not Disabled (<= 30%),0.82897,773,855,0.80372,0.85422
1985,46-65 y.,Direct migration background,Disabled (> 30%),0.17103,82,855,0.14578,0.19628
1985,66 and older,No migration background,Not Disabled (<= 30%),0.80568,844,1065,0.78191,0.82946
1985,66 and older,No migration background,Disabled (> 30%),0.19432,221,1065,0.17054,0.21809
1985,66 and older,Direct migration background,Not Disabled (<= 30%),0.89570,33,33,0.78980,1.00160
1987,17-29 y.,No migration background,Not Disabled (<= 30%),0.98402,2030,2065,0.97862,0.98943
1987,17-29 y.,No migration background,Disabled (> 30%),0.01598,35,2065,0.01057,0.02138
1987,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.98635,780,780,0.97821,0.99450
1987,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.95092,136,136,0.91448,0.98736
1987,30-45 y.,No migration background,Not Disabled (<= 30%),0.95585,2002,2091,0.94705,0.96466
1987,30-45 y.,No migration background,Disabled (> 30%),0.04415,89,2091,0.03534,0.05295
1987,30-45 y.,Direct migration background,Not Disabled (<= 30%),0.98477,1032,1032,0.97729,0.99224
1987,46-65 y.,No migration background,Not Disabled (<= 30%),0.82090,1885,2274,0.80514,0.83666
1987,46-65 y.,No migration background,Disabled (> 30%),0.17910,389,2274,0.16334,0.19486
1987,46-65 y.,Direct migration background,Not Disabled (<= 30%),0.81645,799,900,0.79114,0.84175
1987,46-65 y.,Direct migration background,Disabled (> 30%),0.18355,101,900,0.15825,0.20886
1987,66 and older,No migration background,Not Disabled (<= 30%),0.78803,779,1004,0.76274,0.81333
1987,66 and older,No migration background,Disabled (> 30%),0.21197,225,1004,0.18667,0.23726
1987,66 and older,Direct migration background,Not Disabled (<= 30%),0.78002,44,44,0.65621,0.90383
1988,17-29 y.,No migration background,Not Disabled (<= 30%),0.98267,1877,1911,0.97681,0.98852
1988,17-29 y.,No migration background,Disabled (> 30%),0.01733,34,1911,0.01148,0.02319
1988,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.98452,751,751,0.97568,0.99335
1988,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.93719,181,181,0.90175,0.97264
1988,30-45 y.,No migration background,Not Disabled (<= 30%),0.95623,1912,1996,0.94725,0.96521
1988,30-45 y.,No migration background,Disabled (> 30%),0.04377,84,1996,0.03479,0.05275
1988,30-45 y.,Direct migration background,Not Disabled (<= 30%),0.98101,911,911,0.97214,0.98988
1988,46-65 y.,No migration background,Not Disabled (<= 30%),0.81543,1799,2180,0.79914,0.83172
1988,46-65 y.,No migration background,Disabled (> 30%),0.18457,381,2180,0.16828,0.20086
1988,46-65 y.,Direct migration background,Not Disabled (<= 30%),0.79689,771,897,0.77055,0.82323
1988,46-65 y.,Direct migration background,Disabled (> 30%),0.20311,126,897,0.17677,0.22945
1988,66 and older,No migration background,Not Disabled (<= 30%),0.74090,704,964,0.71323,0.76858
1988,66 and older,No migration background,Disabled (> 30%),0.25910,260,964,0.23142,0.28677
1988,66 and older,Direct migration background,Not Disabled (<= 30%),0.73238,48,48,0.60581,0.85895
1989,17-29 y.,No migration background,Not Disabled (<= 30%),0.98372,1826,1858,0.97796,0.98947
1989,17-29 y.,No migration background,Disabled (> 30%),0.01628,32,1858,0.01053,0.02204
1989,17-29 y.,Direct migration background,Not Disabled (<= 30%),0.98816,727,727,0.98030,0.99603
1989,17-29 y.,Indirect migration background,Not Disabled (<= 30%),0.95016,217,217,0.92114,0.97918
1989,30-45 y.,No migration background,Not Disabled (<= 30%),0.95170,1855,1940,0.94216,0.96125
1989,30-45 y.,No migration background,Disabled (> 30%),0.04830,85,1940,0.03875,0.05784
1989,30-45 y.,Direct migration background,Not Disabled (<= 30%),0.98712,858,858,0.97957,0.99467
1989,46-65 y.,No migration background,Not Disabled (<= 30%),0.80897,1686,2055,0.79197,0.82597
1989,46-65 y.,No migration background,Disabled (> 30%),0.19103,369,2055,0.17403,0.20803
