year,pgisced97,regtyp,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Pre-primary Level,Urban regions,Not Disabled (<= 30%),0.99372,149,149,0.98099,1.00645
1985,Primary Level,Urban regions,Not Disabled (<= 30%),0.89161,682,725,0.86897,0.91426
1985,Primary Level,Urban regions,Disabled (> 30%),0.10660,43,725,0.08412,0.12908
1985,Primary Level,Rural regions,Not Disabled (<= 30%),0.77463,95,95,0.69016,0.85910
1985,Lower Secondary Level,Urban regions,Not Disabled (<= 30%),0.88962,2137,2313,0.87685,0.90239
1985,Lower Secondary Level,Urban regions,Disabled (> 30%),0.10609,176,2313,0.09353,0.11864
1985,Lower Secondary Level,Rural regions,Not Disabled (<= 30%),0.90664,683,735,0.88559,0.92769
1985,Lower Secondary Level,Rural regions,Disabled (> 30%),0.08466,52,735,0.06452,0.10479
1985,Upper Secondary Level,Urban regions,Not Disabled (<= 30%),0.87369,3633,4028,0.86343,0.88395
1985,Upper Secondary Level,Urban regions,Disabled (> 30%),0.12226,395,4028,0.11214,0.13238
1985,Upper Secondary Level,Rural regions,Not Disabled (<= 30%),0.90426,1047,1134,0.88713,0.92139
1985,Upper Secondary Level,Rural regions,Disabled (> 30%),0.09067,87,1134,0.07395,0.10739
1985,Post-secondary Non-tertiary Level,Urban regions,Not Disabled (<= 30%),0.91391,215,215,0.87632,0.95149
1985,Post-secondary Non-tertiary Level,Rural regions,Not Disabled (<= 30%),0.87342,39,39,0.76770,0.97914
1985,First Stage of Tertiary Education,Urban regions,Not Disabled (<= 30%),0.82785,410,483,0.79414,0.86155
1985,First Stage of Tertiary Education,Urban regions,Disabled (> 30%),0.17025,73,483,0.13670,0.20381
1985,First Stage of Tertiary Education,Rural regions,Not Disabled (<= 30%),0.92008,126,126,0.87254,0.96762
1985,Second Stage of Tertiary Education,Urban regions,Not Disabled (<= 30%),0.90607,583,629,0.88325,0.92889
1985,Second Stage of Tertiary Education,Urban regions,Disabled (> 30%),0.08750,46,629,0.06540,0.10960
1985,Second Stage of Tertiary Education,Rural regions,Not Disabled (<= 30%),0.89415,111,111,0.83666,0.95164
1987,Pre-primary Level,Urban regions,Not Disabled (<= 30%),0.98408,162,162,0.96474,1.00341
1987,Primary Level,Urban regions,Not Disabled (<= 30%),0.87517,596,645,0.84964,0.90070
1987,Primary Level,Urban regions,Disabled (> 30%),0.12011,49,645,0.09500,0.14522
1987,Primary Level,Rural regions,Not Disabled (<= 30%),0.79158,92,92,0.70812,0.87503
1987,Lower Secondary Level,Urban regions,Not Disabled (<= 30%),0.88711,1997,2156,0.87375,0.90047
1987,Lower Secondary Level,Urban regions,Disabled (> 30%),0.10624,159,2156,0.09323,0.11925
1987,Lower Secondary Level,Rural regions,Not Disabled (<= 30%),0.91299,618,669,0.89162,0.93436
