year,bula_h,sex,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,male,Not Disabled (<= 30%),0.91102,173,173,0.86847,0.95357
1984,Schleswig-Holstein,female,Not Disabled (<= 30%),0.95722,189,189,0.92829,0.98615
1984,Hamburg,male,Not Disabled (<= 30%),0.91369,140,140,0.86701,0.96038
1984,Hamburg,female,Not Disabled (<= 30%),0.90340,144,144,0.85497,0.95182
1984,Lower Saxony,male,Not Disabled (<= 30%),0.86763,533,599,0.84047,0.89480
1984,Lower Saxony,male,Disabled (> 30%),0.13237,66,599,0.10520,0.15953
1984,Lower Saxony,female,Not Disabled (<= 30%),0.91737,587,633,0.89591,0.93884
1984,Lower Saxony,female,Disabled (> 30%),0.08263,46,633,0.06116,0.10409
1984,Bremen,male,Not Disabled (<= 30%),0.84117,55,55,0.74368,0.93866
1984,Bremen,female,Not Disabled (<= 30%),0.81948,59,59,0.72049,0.91846
1984,North Rhine-Westphalia,male,Not Disabled (<= 30%),0.83452,1400,1602,0.81631,0.85272
1984,North Rhine-Westphalia,male,Disabled (> 30%),0.16548,202,1602,0.14728,0.18369
1984,North Rhine-Westphalia,female,Not Disabled (<= 30%),0.88236,1505,1639,0.86675,0.89796
1984,North Rhine-Westphalia,female,Disabled (> 30%),0.11764,134,1639,0.10204,0.13325
1984,Hesse,male,Not Disabled (<= 30%),0.85810,562,626,0.83074,0.88545
1984,Hesse,male,Disabled (> 30%),0.14190,64,626,0.11455,0.16926
1984,Hesse,female,Not Disabled (<= 30%),0.92753,580,616,0.90704,0.94802
1984,Hesse,female,Disabled (> 30%),0.07247,36,616,0.05198,0.09296
1984,"Rhineland-Palatinate, Saarland",male,Not Disabled (<= 30%),0.87623,369,414,0.84447,0.90799
1984,"Rhineland-Palatinate, Saarland",male,Disabled (> 30%),0.12377,45,414,0.09201,0.15553
1984,"Rhineland-Palatinate, Saarland",female,Not Disabled (<= 30%),0.92068,404,404,0.89429,0.94706
1984,Baden-Wuerttemberg,male,Not Disabled (<= 30%),0.89127,1023,1117,0.87301,0.90954
1984,Baden-Wuerttemberg,male,Disabled (> 30%),0.10873,94,1117,0.09046,0.12699
1984,Baden-Wuerttemberg,female,Not Disabled (<= 30%),0.93686,1081,1135,0.92271,0.95102
1984,Baden-Wuerttemberg,female,Disabled (> 30%),0.06314,54,1135,0.04898,0.07729
1984,Bavaria,male,Not Disabled (<= 30%),0.86856,882,987,0.84747,0.88965
