year,regtyp,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,Urban regions,Not Disabled (<= 30%),0.74255,7902,8656,0.73334,0.75177
1985,Urban regions,Disabled (> 30%),0.09697,754,8656,0.09073,0.10320
1985,Rural regions,Not Disabled (<= 30%),0.74641,2153,2328,0.72873,0.76409
1985,Rural regions,Disabled (> 30%),0.07463,175,2328,0.06395,0.08530
1987,Urban regions,Not Disabled (<= 30%),0.74150,7489,8206,0.73203,0.75097
1987,Urban regions,Disabled (> 30%),0.09602,717,8206,0.08965,0.10240
1987,Rural regions,Not Disabled (<= 30%),0.73520,2028,2198,0.71675,0.75365
1987,Rural regions,Disabled (> 30%),0.07662,170,2198,0.06550,0.08775
1988,Urban regions,Not Disabled (<= 30%),0.73074,7100,7870,0.72094,0.74054
1988,Urban regions,Disabled (> 30%),0.10655,770,7870,0.09973,0.11337
1988,Rural regions,Not Disabled (<= 30%),0.72893,1883,2059,0.70973,0.74814
1988,Rural regions,Disabled (> 30%),0.08358,176,2059,0.07163,0.09554
1989,Urban regions,Not Disabled (<= 30%),0.73123,6917,7668,0.72131,0.74115
1989,Urban regions,Disabled (> 30%),0.10746,751,7668,0.10052,0.11439
1989,Rural regions,Not Disabled (<= 30%),0.71676,1769,1952,0.69677,0.73676
1989,Rural regions,Disabled (> 30%),0.09570,183,1952,0.08265,0.10875
1991,Urban regions,Not Disabled (<= 30%),0.72668,7983,8747,0.71734,0.73602
1991,Urban regions,Disabled (> 30%),0.09771,764,8747,0.09149,0.10393
1991,Rural regions,Not Disabled (<= 30%),0.75509,4522,4707,0.74280,0.76737
1991,Rural regions,Disabled (> 30%),0.05680,185,4707,0.05018,0.06341
1992,Urban regions,Not Disabled (<= 30%),0.71785,7775,8629,0.70836,0.72735
1992,Urban regions,Disabled (> 30%),0.10621,854,8629,0.09971,0.11271
1992,Rural regions,Not Disabled (<= 30%),0.72738,4148,4469,0.71433,0.74044
1992,Rural regions,Disabled (> 30%),0.07906,321,4469,0.07114,0.08697
1994,Urban regions,Not Disabled (<= 30%),0.72076,7631,8455,0.71120,0.73032
1994,Urban regions,Disabled (> 30%),0.10267,824,8455,0.09620,0.10914
1994,Rural regions,Not Disabled (<= 30%),0.72857,4035,4357,0.71537,0.74178
1994,Rural regions,Disabled (> 30%),0.07770,322,4357,0.06975,0.08565
1995,Urban regions,Not Disabled (<= 30%),0.70896,7777,8652,0.69938,0.71853
1995,Urban regions,Disabled (> 30%),0.10835,875,8652,0.10180,0.11490
1995,Rural regions,Not Disabled (<= 30%),0.71688,4161,4513,0.70374,0.73003
1995,Rural regions,Disabled (> 30%),0.08584,352,4513,0.07766,0.09401
1996,Urban regions,Not Disabled (<= 30%),0.71512,7658,8515,0.70553,0.72471
1996,Urban regions,Disabled (> 30%),0.10779,857,8515,0.10121,0.11438
