year,quintil_oecd,sex,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,male,Not Disabled (<= 30%),0.83787,968,1094,0.81602,0.85972
1984,1st Quintile,male,Disabled (> 30%),0.16213,126,1094,0.14028,0.18398
1984,1st Quintile,female,Not Disabled (<= 30%),0.88937,1283,1382,0.87282,0.90591
1984,1st Quintile,female,Disabled (> 30%),0.11063,99,1382,0.09409,0.12718
1984,2nd Quintile,male,Not Disabled (<= 30%),0.84491,990,1120,0.82370,0.86612
1984,2nd Quintile,male,Disabled (> 30%),0.15509,130,1120,0.13388,0.17630
1984,2nd Quintile,female,Not Disabled (<= 30%),0.90321,1179,1269,0.88693,0.91948
1984,2nd Quintile,female,Disabled (> 30%),0.09679,90,1269,0.08052,0.11307
1984,3rd Quintile,male,Not Disabled (<= 30%),0.86691,1059,1187,0.84757,0.88624
1984,3rd Quintile,male,Disabled (> 30%),0.13309,128,1187,0.11376,0.15243
1984,3rd Quintile,female,Not Disabled (<= 30%),0.92513,1091,1161,0.90999,0.94028
1984,3rd Quintile,female,Disabled (> 30%),0.07487,70,1161,0.05972,0.09001
1984,4th Quintile,male,Not Disabled (<= 30%),0.86870,1138,1267,0.85010,0.88731
1984,4th Quintile,male,Disabled (> 30%),0.13130,129,1267,0.11269,0.14990
1984,4th Quintile,female,Not Disabled (<= 30%),0.92543,1139,1215,0.91065,0.94020
1984,4th Quintile,female,Disabled (> 30%),0.07457,76,1215,0.05980,0.08935
1984,5th Quintile,male,Not Disabled (<= 30%),0.88215,1141,1268,0.86439,0.89990
1984,5th Quintile,male,Disabled (> 30%),0.11785,127,1268,0.10010,0.13561
1984,5th Quintile,female,Not Disabled (<= 30%),0.91072,1061,1147,0.89421,0.92723
1984,5th Quintile,female,Disabled (> 30%),0.08928,86,1147,0.07277,0.10579
1985,1st Quintile,male,Not Disabled (<= 30%),0.84376,884,992,0.82115,0.86637
1985,1st Quintile,male,Disabled (> 30%),0.15624,108,992,0.13363,0.17885
1985,1st Quintile,female,Not Disabled (<= 30%),0.90648,1173,1247,0.89031,0.92265
1985,1st Quintile,female,Disabled (> 30%),0.09352,74,1247,0.07735,0.10969
1985,2nd Quintile,male,Not Disabled (<= 30%),0.83889,907,1029,0.81642,0.86137
1985,2nd Quintile,male,Disabled (> 30%),0.16111,122,1029,0.13863,0.18358
1985,2nd Quintile,female,Not Disabled (<= 30%),0.90614,1046,1123,0.88908,0.92321
1985,2nd Quintile,female,Disabled (> 30%),0.09386,77,1123,0.07679,0.11092
1985,3rd Quintile,male,Not Disabled (<= 30%),0.85072,985,1107,0.82972,0.87172
1985,3rd Quintile,male,Disabled (> 30%),0.14928,122,1107,0.12828,0.17028
1985,3rd Quintile,female,Not Disabled (<= 30%),0.91815,1023,1093,0.90189,0.93441
1985,3rd Quintile,female,Disabled (> 30%),0.08185,70,1093,0.06559,0.09811
1985,4th Quintile,male,Not Disabled (<= 30%),0.89141,1044,1146,0.87339,0.90943
1985,4th Quintile,male,Disabled (> 30%),0.10859,102,1146,0.09057,0.12661
1985,4th Quintile,female,Not Disabled (<= 30%),0.93405,1004,1064,0.91913,0.94897
1985,4th Quintile,female,Disabled (> 30%),0.06595,60,1064,0.05103,0.08087
1985,5th Quintile,male,Not Disabled (<= 30%),0.88377,1006,1118,0.86498,0.90257
1985,5th Quintile,male,Disabled (> 30%),0.11623,112,1118,0.09743,0.13502
1985,5th Quintile,female,Not Disabled (<= 30%),0.90384,975,1057,0.88606,0.92162
1985,5th Quintile,female,Disabled (> 30%),0.09616,82,1057,0.07838,0.11394
1987,1st Quintile,male,Not Disabled (<= 30%),0.82252,783,899,0.79753,0.84751
1987,1st Quintile,male,Disabled (> 30%),0.17748,116,899,0.15249,0.20247
1987,1st Quintile,female,Not Disabled (<= 30%),0.89127,1042,1125,0.87307,0.90947
1987,1st Quintile,female,Disabled (> 30%),0.10873,83,1125,0.09053,0.12693
1987,2nd Quintile,male,Not Disabled (<= 30%),0.86399,897,991,0.84263,0.88534
1987,2nd Quintile,male,Disabled (> 30%),0.13601,94,991,0.11466,0.15737
1987,2nd Quintile,female,Not Disabled (<= 30%),0.90471,995,1064,0.88706,0.92236
1987,2nd Quintile,female,Disabled (> 30%),0.09529,69,1064,0.07764,0.11294
1987,3rd Quintile,male,Not Disabled (<= 30%),0.86355,933,1039,0.84266,0.88443
1987,3rd Quintile,male,Disabled (> 30%),0.13645,106,1039,0.11557,0.15734
1987,3rd Quintile,female,Not Disabled (<= 30%),0.91985,989,1057,0.90347,0.93623
1987,3rd Quintile,female,Disabled (> 30%),0.08015,68,1057,0.06377,0.09653
1987,4th Quintile,male,Not Disabled (<= 30%),0.87367,1008,1122,0.85423,0.89312
