year,regtyp,sampreg,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No answer / don't know,West,Not Disabled (<= 30%),0.88767,11068,12132,0.88205,0.89329
1984,No answer / don't know,West,Disabled (> 30%),0.11233,1064,12132,0.10671,0.11795
1985,Urban regions,West,Not Disabled (<= 30%),0.88450,7902,8656,0.87776,0.89123
1985,Urban regions,West,Disabled (> 30%),0.11550,754,8656,0.10877,0.12224
1985,Rural regions,West,Not Disabled (<= 30%),0.90911,2153,2328,0.89743,0.92079
1985,Rural regions,West,Disabled (> 30%),0.09089,175,2328,0.07921,0.10257
1987,Urban regions,West,Not Disabled (<= 30%),0.88535,7489,8206,0.87846,0.89225
1987,Urban regions,West,Disabled (> 30%),0.11465,717,8206,0.10775,0.12154
1987,Rural regions,West,Not Disabled (<= 30%),0.90561,2028,2198,0.89339,0.91784
1987,Rural regions,West,Disabled (> 30%),0.09439,170,2198,0.08216,0.10661
1988,Urban regions,West,Not Disabled (<= 30%),0.87275,7100,7870,0.86538,0.88011
1988,Urban regions,West,Disabled (> 30%),0.12725,770,7870,0.11989,0.13462
1988,Rural regions,West,Not Disabled (<= 30%),0.89713,1883,2059,0.88400,0.91025
1988,Rural regions,West,Disabled (> 30%),0.10287,176,2059,0.08975,0.11600
1989,Urban regions,West,Not Disabled (<= 30%),0.87188,6917,7668,0.86440,0.87936
1989,Urban regions,West,Disabled (> 30%),0.12812,751,7668,0.12064,0.13560
1989,Rural regions,West,Not Disabled (<= 30%),0.88221,1769,1952,0.86791,0.89651
1989,Rural regions,West,Disabled (> 30%),0.11779,183,1952,0.10349,0.13209
1991,Urban regions,West,Not Disabled (<= 30%),0.86806,6657,7421,0.86036,0.87576
1991,Urban regions,West,Disabled (> 30%),0.13194,764,7421,0.12424,0.13964
1991,Rural regions,West,Not Disabled (<= 30%),0.88070,1796,1981,0.86642,0.89497
1991,Rural regions,West,Disabled (> 30%),0.11930,185,1981,0.10503,0.13358
1992,No answer / don't know,East,Not Disabled (<= 30%),0.91168,97,97,0.85492,0.96844
1992,Urban regions,West,Not Disabled (<= 30%),0.86277,6540,7327,0.85489,0.87065
1992,Urban regions,West,Disabled (> 30%),0.13723,787,7327,0.12935,0.14511
1992,Urban regions,East,Not Disabled (<= 30%),0.94303,1235,1302,0.93044,0.95563
1992,Urban regions,East,Disabled (> 30%),0.05697,67,1302,0.04437,0.06956
1992,Rural regions,West,Not Disabled (<= 30%),0.88288,1779,1961,0.86864,0.89712
1992,Rural regions,West,Disabled (> 30%),0.11712,182,1961,0.10288,0.13136
1992,Rural regions,East,Not Disabled (<= 30%),0.93091,2369,2508,0.92098,0.94084
1992,Rural regions,East,Disabled (> 30%),0.06909,139,2508,0.05916,0.07902
1994,Urban regions,West,Not Disabled (<= 30%),0.86860,6399,7154,0.86077,0.87643
1994,Urban regions,West,Disabled (> 30%),0.13140,755,7154,0.12357,0.13923
1994,Urban regions,East,Not Disabled (<= 30%),0.93378,1232,1301,0.92027,0.94730
1994,Urban regions,East,Disabled (> 30%),0.06622,69,1301,0.05270,0.07973
1994,Rural regions,West,Not Disabled (<= 30%),0.88757,1739,1913,0.87341,0.90173
1994,Rural regions,West,Disabled (> 30%),0.11243,174,1913,0.09827,0.12659
1994,Rural regions,East,Not Disabled (<= 30%),0.92690,2296,2444,0.91658,0.93722
1994,Rural regions,East,Disabled (> 30%),0.07310,148,2444,0.06278,0.08342
1995,Urban regions,West,Not Disabled (<= 30%),0.86189,6650,7448,0.85406,0.86973
1995,Urban regions,West,Disabled (> 30%),0.13811,798,7448,0.13027,0.14594
1995,Urban regions,East,Not Disabled (<= 30%),0.91917,1127,1204,0.90377,0.93457
1995,Urban regions,East,Disabled (> 30%),0.08083,77,1204,0.06543,0.09623
1995,Rural regions,West,Not Disabled (<= 30%),0.87549,1864,2050,0.86119,0.88978
1995,Rural regions,West,Disabled (> 30%),0.12451,186,2050,0.11022,0.13881
1995,Rural regions,East,Not Disabled (<= 30%),0.91870,2297,2463,0.90790,0.92950
1995,Rural regions,East,Disabled (> 30%),0.08130,166,2463,0.07050,0.09210
1996,Urban regions,West,Not Disabled (<= 30%),0.86439,6509,7286,0.85653,0.87225
1996,Urban regions,West,Disabled (> 30%),0.13561,777,7286,0.12775,0.14347
1996,Urban regions,East,Not Disabled (<= 30%),0.91175,1149,1229,0.89589,0.92762
1996,Urban regions,East,Disabled (> 30%),0.08825,80,1229,0.07238,0.10411
1996,Rural regions,West,Not Disabled (<= 30%),0.86424,1852,2052,0.84941,0.87906
1996,Rural regions,West,Disabled (> 30%),0.13576,200,2052,0.12094,0.15059
1996,Rural regions,East,Not Disabled (<= 30%),0.91542,2257,2432,0.90436,0.92648
1996,Rural regions,East,Disabled (> 30%),0.08458,175,2432,0.07352,0.09564
1997,Urban regions,West,Not Disabled (<= 30%),0.86683,6403,7157,0.85896,0.87470
1997,Urban regions,West,Disabled (> 30%),0.13317,754,7157,0.12530,0.14104
1997,Urban regions,East,Not Disabled (<= 30%),0.91166,1120,1200,0.89560,0.92773
1997,Urban regions,East,Disabled (> 30%),0.08834,80,1200,0.07227,0.10440
1997,Rural regions,West,Not Disabled (<= 30%),0.86278,1803,2005,0.84772,0.87785
1997,Rural regions,West,Disabled (> 30%),0.13722,202,2005,0.12215,0.15228
1997,Rural regions,East,Not Disabled (<= 30%),0.91730,2229,2404,0.90629,0.92832
1997,Rural regions,East,Disabled (> 30%),0.08270,175,2404,0.07168,0.09371
1998,Urban regions,West,Not Disabled (<= 30%),0.86602,7143,8025,0.85857,0.87348
1998,Urban regions,West,Disabled (> 30%),0.13398,882,8025,0.12652,0.14143
1998,Urban regions,East,Not Disabled (<= 30%),0.91361,1153,1245,0.89800,0.92922
1998,Urban regions,East,Disabled (> 30%),0.08639,92,1245,0.07078,0.10200
1998,Rural regions,West,Not Disabled (<= 30%),0.86188,2083,2334,0.84788,0.87588
1998,Rural regions,West,Disabled (> 30%),0.13812,251,2334,0.12412,0.15212
1998,Rural regions,East,Not Disabled (<= 30%),0.92246,2400,2587,0.91216,0.93277
1998,Rural regions,East,Disabled (> 30%),0.07754,187,2587,0.06723,0.08784
1999,Urban regions,West,Not Disabled (<= 30%),0.86138,6789,7648,0.85364,0.86913
1999,Urban regions,West,Disabled (> 30%),0.13862,859,7648,0.13087,0.14636
1999,Urban regions,East,Not Disabled (<= 30%),0.91414,1144,1234,0.89850,0.92978
1999,Urban regions,East,Disabled (> 30%),0.08586,90,1234,0.07022,0.10150
1999,Rural regions,West,Not Disabled (<= 30%),0.86395,1999,2232,0.84972,0.87817
1999,Rural regions,West,Disabled (> 30%),0.13605,233,2232,0.12183,0.15028
1999,Rural regions,East,Not Disabled (<= 30%),0.91285,2333,2536,0.90187,0.92383
1999,Rural regions,East,Disabled (> 30%),0.08715,203,2536,0.07617,0.09813
