year,bula_h,quintil_oecd,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Schleswig-Holstein,1st Quintile,Not Disabled (<= 30%),0.96212,59,59,0.91298,1.01125
1984,Schleswig-Holstein,2nd Quintile,Not Disabled (<= 30%),0.91625,72,72,0.85182,0.98069
1984,Schleswig-Holstein,3rd Quintile,Not Disabled (<= 30%),0.92949,57,57,0.86244,0.99654
1984,Schleswig-Holstein,4th Quintile,Not Disabled (<= 30%),0.95130,90,90,0.90658,0.99602
1984,Schleswig-Holstein,5th Quintile,Not Disabled (<= 30%),0.91987,82,82,0.86075,0.97900
1984,Hamburg,1st Quintile,Not Disabled (<= 30%),0.89116,48,48,0.80212,0.98020
1984,Hamburg,2nd Quintile,Not Disabled (<= 30%),0.80533,45,45,0.68833,0.92232
1984,Hamburg,3rd Quintile,Not Disabled (<= 30%),0.95792,51,51,0.90227,1.01357
1984,Hamburg,4th Quintile,Not Disabled (<= 30%),0.93276,68,68,0.87280,0.99273
1984,Hamburg,5th Quintile,Not Disabled (<= 30%),0.93575,72,72,0.87872,0.99279
1984,Lower Saxony,1st Quintile,Not Disabled (<= 30%),0.85549,262,296,0.81536,0.89561
1984,Lower Saxony,1st Quintile,Disabled (> 30%),0.14451,34,296,0.10439,0.18464
1984,Lower Saxony,2nd Quintile,Not Disabled (<= 30%),0.90639,211,211,0.86700,0.94579
1984,Lower Saxony,3rd Quintile,Not Disabled (<= 30%),0.90920,213,213,0.87052,0.94788
1984,Lower Saxony,4th Quintile,Not Disabled (<= 30%),0.90701,229,229,0.86931,0.94470
1984,Lower Saxony,5th Quintile,Not Disabled (<= 30%),0.89633,202,202,0.85418,0.93847
1984,Bremen,1st Quintile,Not Disabled (<= 30%),0.85626,31,31,0.73071,0.98180
1984,North Rhine-Westphalia,1st Quintile,Not Disabled (<= 30%),0.84602,690,768,0.82048,0.87156
1984,North Rhine-Westphalia,1st Quintile,Disabled (> 30%),0.15398,78,768,0.12844,0.17952
1984,North Rhine-Westphalia,2nd Quintile,Not Disabled (<= 30%),0.84414,561,629,0.81577,0.87251
1984,North Rhine-Westphalia,2nd Quintile,Disabled (> 30%),0.15586,68,629,0.12749,0.18423
1984,North Rhine-Westphalia,3rd Quintile,Not Disabled (<= 30%),0.86901,520,579,0.84150,0.89651
1984,North Rhine-Westphalia,3rd Quintile,Disabled (> 30%),0.13099,59,579,0.10349,0.15850
1984,North Rhine-Westphalia,4th Quintile,Not Disabled (<= 30%),0.86421,585,652,0.83789,0.89052
1984,North Rhine-Westphalia,4th Quintile,Disabled (> 30%),0.13579,67,652,0.10948,0.16211
1984,North Rhine-Westphalia,5th Quintile,Not Disabled (<= 30%),0.87560,546,609,0.84937,0.90183
1984,North Rhine-Westphalia,5th Quintile,Disabled (> 30%),0.12440,63,609,0.09817,0.15063
1984,Hesse,1st Quintile,Not Disabled (<= 30%),0.85052,245,245,0.80578,0.89526
1984,Hesse,2nd Quintile,Not Disabled (<= 30%),0.84193,206,206,0.79199,0.89187
1984,Hesse,3rd Quintile,Not Disabled (<= 30%),0.92509,186,186,0.88716,0.96302
1984,Hesse,4th Quintile,Not Disabled (<= 30%),0.93687,223,223,0.90488,0.96886
1984,Hesse,5th Quintile,Not Disabled (<= 30%),0.90001,280,280,0.86481,0.93521
1984,"Rhineland-Palatinate, Saarland",1st Quintile,Not Disabled (<= 30%),0.86552,148,148,0.81036,0.92067
