,Unnamed: 0,year,sampreg,m11124,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,West,Not Disabled (<= 30%),0.88767,11068,12132,0.87808,0.8954
1,1,1984,West,Disabled (> 30%),0.11233,1064,12132,0.10971,0.11466
2,2,1985,West,Not Disabled (<= 30%),0.89046,10055,10984,0.88008,0.89945
3,3,1985,West,Disabled (> 30%),0.10954,929,10984,0.10662,0.11202
4,4,1987,West,Not Disabled (<= 30%),0.89017,9517,10404,0.87898,0.89983
5,5,1987,West,Disabled (> 30%),0.10983,887,10404,0.1065,0.11253
6,6,1988,West,Not Disabled (<= 30%),0.87847,8983,9929,0.86647,0.88843
7,7,1988,West,Disabled (> 30%),0.12153,946,9929,0.11768,0.1254
8,8,1989,West,Not Disabled (<= 30%),0.87426,8686,9620,0.86091,0.88579
9,9,1989,West,Disabled (> 30%),0.12574,934,9620,0.12182,0.13013
10,10,1991,West,Not Disabled (<= 30%),0.87107,8456,13544,0.85972,0.88319
11,11,1991,West,Disabled (> 30%),0.12893,949,13544,0.12533,0.13292
12,12,1991,East,Not Disabled (<= 30%),1.0,4139,13544,0.98472,1.0159
13,13,1992,West,Not Disabled (<= 30%),0.86762,8332,13216,0.85675,0.88053
14,14,1992,West,Disabled (> 30%),0.13238,969,13216,0.12778,0.13669
15,15,1992,East,Not Disabled (<= 30%),0.93476,3701,13216,0.91578,0.9515
16,16,1992,East,Disabled (> 30%),0.06524,214,13216,0.06214,0.06895
17,17,1994,West,Not Disabled (<= 30%),0.8729,8138,12812,0.85978,0.88756
18,18,1994,West,Disabled (> 30%),0.1271,929,12812,0.12248,0.13139
19,19,1994,East,Not Disabled (<= 30%),0.92938,3528,12812,0.91181,0.94707
20,20,1994,East,Disabled (> 30%),0.07062,217,12812,0.06563,0.07447
21,21,1995,West,Not Disabled (<= 30%),0.86503,8514,13165,0.8524,0.88006
22,22,1995,West,Disabled (> 30%),0.13497,984,13165,0.12989,0.14093
23,23,1995,East,Not Disabled (<= 30%),0.91886,3424,13165,0.90217,0.93596
24,24,1995,East,Disabled (> 30%),0.08114,243,13165,0.07535,0.08575
25,25,1996,West,Not Disabled (<= 30%),0.86433,8361,12999,0.85142,0.87751
26,26,1996,West,Disabled (> 30%),0.13567,977,12999,0.13016,0.14085
27,27,1996,East,Not Disabled (<= 30%),0.91411,3406,12999,0.89686,0.9308
28,28,1996,East,Disabled (> 30%),0.08589,255,12999,0.08079,0.0928
29,29,1997,West,Not Disabled (<= 30%),0.86592,8207,12767,0.85022,0.87988
30,30,1997,West,Disabled (> 30%),0.13408,956,12767,0.12927,0.14053
31,31,1997,East,Not Disabled (<= 30%),0.91532,3349,12767,0.89585,0.93338
32,32,1997,East,Disabled (> 30%),0.08468,255,12767,0.07859,0.08976
33,33,1998,West,Not Disabled (<= 30%),0.86506,9226,14191,0.85315,0.87771
34,34,1998,West,Disabled (> 30%),0.13494,1133,14191,0.13056,0.13979
35,35,1998,East,Not Disabled (<= 30%),0.9195,3553,14191,0.90282,0.93926
36,36,1998,East,Disabled (> 30%),0.0805,279,14191,0.07555,0.08572
