year,pgisced97,sampreg,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Pre-primary Level,West,Not Disabled (<= 30%),0.95463,185,185,0.92456,0.98470
1984,Primary Level,West,Not Disabled (<= 30%),0.89806,938,998,0.87928,0.91684
1984,Primary Level,West,Disabled (> 30%),0.10111,60,998,0.08240,0.11983
1984,Lower Secondary Level,West,Not Disabled (<= 30%),0.88569,3161,3438,0.87505,0.89633
1984,Lower Secondary Level,West,Disabled (> 30%),0.10944,277,3438,0.09901,0.11988
1984,Upper Secondary Level,West,Not Disabled (<= 30%),0.87963,5137,5687,0.87118,0.88809
1984,Upper Secondary Level,West,Disabled (> 30%),0.11686,550,5687,0.10851,0.12521
1984,Post-secondary Non-tertiary Level,West,Not Disabled (<= 30%),0.91975,287,287,0.88826,0.95123
1984,First Stage of Tertiary Education,West,Not Disabled (<= 30%),0.86162,577,659,0.83523,0.88800
1984,First Stage of Tertiary Education,West,Disabled (> 30%),0.13838,82,659,0.11200,0.16477
1984,Second Stage of Tertiary Education,West,Not Disabled (<= 30%),0.90436,725,789,0.88382,0.92489
1984,Second Stage of Tertiary Education,West,Disabled (> 30%),0.09434,64,789,0.07393,0.11475
1985,Pre-primary Level,West,Not Disabled (<= 30%),0.99513,186,186,0.98510,1.00516
1985,Primary Level,West,Not Disabled (<= 30%),0.86596,777,831,0.84278,0.88914
1985,Primary Level,West,Disabled (> 30%),0.13202,54,831,0.10899,0.15505
1985,Lower Secondary Level,West,Not Disabled (<= 30%),0.89446,2820,3048,0.88355,0.90537
1985,Lower Secondary Level,West,Disabled (> 30%),0.09999,228,3048,0.08934,0.11064
1985,Upper Secondary Level,West,Not Disabled (<= 30%),0.88096,4680,5162,0.87213,0.88980
1985,Upper Secondary Level,West,Disabled (> 30%),0.11475,482,5162,0.10605,0.12345
1985,Post-secondary Non-tertiary Level,West,Not Disabled (<= 30%),0.90684,254,254,0.87102,0.94265
1985,First Stage of Tertiary Education,West,Not Disabled (<= 30%),0.84927,536,618,0.82103,0.87750
1985,First Stage of Tertiary Education,West,Disabled (> 30%),0.14927,82,618,0.12115,0.17739
1985,Second Stage of Tertiary Education,West,Not Disabled (<= 30%),0.90396,694,750,0.88286,0.92506
1985,Second Stage of Tertiary Education,West,Disabled (> 30%),0.08932,56,750,0.06889,0.10974
1987,Pre-primary Level,West,Not Disabled (<= 30%),0.98439,187,187,0.96657,1.00220
1987,Primary Level,West,Not Disabled (<= 30%),0.85786,688,746,0.83279,0.88294
1987,Primary Level,West,Disabled (> 30%),0.13839,58,746,0.11359,0.16319
1987,Lower Secondary Level,West,Not Disabled (<= 30%),0.89420,2615,2825,0.88285,0.90554
1987,Lower Secondary Level,West,Disabled (> 30%),0.10058,210,2825,0.08949,0.11168
1987,Upper Secondary Level,West,Not Disabled (<= 30%),0.87977,4483,4944,0.87071,0.88884
1987,Upper Secondary Level,West,Disabled (> 30%),0.11492,461,4944,0.10603,0.12381
1987,Post-secondary Non-tertiary Level,West,Not Disabled (<= 30%),0.91523,254,254,0.88091,0.94956
1987,First Stage of Tertiary Education,West,Not Disabled (<= 30%),0.85066,490,563,0.82119,0.88013
1987,First Stage of Tertiary Education,West,Disabled (> 30%),0.14773,73,563,0.11840,0.17707
1987,Second Stage of Tertiary Education,West,Not Disabled (<= 30%),0.91160,685,739,0.89111,0.93208
1987,Second Stage of Tertiary Education,West,Disabled (> 30%),0.08626,54,739,0.06601,0.10652
1988,Pre-primary Level,West,Not Disabled (<= 30%),0.97990,162,162,0.95823,1.00158
1988,Primary Level,West,Not Disabled (<= 30%),0.84980,624,687,0.82307,0.87654
1988,Primary Level,West,Disabled (> 30%),0.14719,63,687,0.12068,0.17370
1988,Lower Secondary Level,West,Not Disabled (<= 30%),0.87728,2479,2707,0.86492,0.88964
1988,Lower Secondary Level,West,Disabled (> 30%),0.11772,228,2707,0.10558,0.12986
1988,Upper Secondary Level,West,Not Disabled (<= 30%),0.86737,4224,4722,0.85769,0.87704
1988,Upper Secondary Level,West,Disabled (> 30%),0.12719,498,4722,0.11768,0.13669
1988,Post-secondary Non-tertiary Level,West,Not Disabled (<= 30%),0.89533,244,244,0.85684,0.93382
1988,First Stage of Tertiary Education,West,Not Disabled (<= 30%),0.85137,468,537,0.82126,0.88149
