year,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Not Disabled (<= 30%),0.73127,11068,12132,0.72338,0.73915
1984,Disabled (> 30%),0.09254,1064,12132,0.08738,0.09770
1985,Not Disabled (<= 30%),0.74351,10055,10984,0.73534,0.75167
1985,Disabled (> 30%),0.09144,929,10984,0.08605,0.09683
1987,Not Disabled (<= 30%),0.73997,9517,10404,0.73154,0.74840
1987,Disabled (> 30%),0.09130,887,10404,0.08576,0.09683
1988,Not Disabled (<= 30%),0.73030,8983,9929,0.72157,0.73903
1988,Disabled (> 30%),0.10103,946,9929,0.09510,0.10696
1989,Not Disabled (<= 30%),0.72783,8686,9620,0.71894,0.73673
1989,Disabled (> 30%),0.10470,934,9620,0.09858,0.11081
1991,Not Disabled (<= 30%),0.73585,12595,13544,0.72843,0.74328
1991,Disabled (> 30%),0.08409,949,13544,0.07942,0.08876
1992,Not Disabled (<= 30%),0.72063,12033,13216,0.71298,0.72828
1992,Disabled (> 30%),0.09734,1183,13216,0.09228,0.10239
1994,Not Disabled (<= 30%),0.72321,11666,12812,0.71546,0.73095
1994,Disabled (> 30%),0.09486,1146,12812,0.08978,0.09993
1995,Not Disabled (<= 30%),0.71148,11938,13165,0.70374,0.71922
1995,Disabled (> 30%),0.10118,1227,13165,0.09603,0.10633
1996,Not Disabled (<= 30%),0.71608,11767,12999,0.70833,0.72383
1996,Disabled (> 30%),0.10339,1232,12999,0.09816,0.10863
1997,Not Disabled (<= 30%),0.71753,11556,12767,0.70972,0.72534
1997,Disabled (> 30%),0.10220,1211,12767,0.09694,0.10745
1998,Not Disabled (<= 30%),0.72079,12779,14191,0.71341,0.72817
1998,Disabled (> 30%),0.10253,1412,14191,0.09754,0.10752
1999,Not Disabled (<= 30%),0.72045,12265,13650,0.71292,0.72798
1999,Disabled (> 30%),0.10608,1385,13650,0.10091,0.11125
2000,Not Disabled (<= 30%),0.73090,21632,24054,0.72529,0.73650
2000,Disabled (> 30%),0.09472,2422,24054,0.09102,0.09842
2001,Not Disabled (<= 30%),0.73158,19669,21864,0.72570,0.73745
2001,Disabled (> 30%),0.09486,2195,21864,0.09097,0.09874
2002,Not Disabled (<= 30%),0.72653,20616,22977,0.72076,0.73229
2002,Disabled (> 30%),0.10231,2361,22977,0.09839,0.10623
2003,Not Disabled (<= 30%),0.72925,19816,22127,0.72339,0.73510
2003,Disabled (> 30%),0.10153,2311,22127,0.09755,0.10551
2004,Not Disabled (<= 30%),0.72917,19243,21575,0.72324,0.73510
2004,Disabled (> 30%),0.10598,2332,21575,0.10187,0.11008
2005,Not Disabled (<= 30%),0.73501,18370,20660,0.72899,0.74103
2005,Disabled (> 30%),0.10486,2290,20660,0.10068,0.10904
2006,Not Disabled (<= 30%),0.72448,19392,21922,0.71857,0.73039
2006,Disabled (> 30%),0.10732,2530,21922,0.10322,0.11141
2007,Not Disabled (<= 30%),0.72567,18080,20472,0.71956,0.73178
2007,Disabled (> 30%),0.10745,2392,20472,0.10321,0.11169
2008,Not Disabled (<= 30%),0.73195,17033,19279,0.72570,0.73820
2008,Disabled (> 30%),0.10631,2246,19279,0.10196,0.11066
2009,Not Disabled (<= 30%),0.73544,15847,17980,0.72899,0.74189
2009,Disabled (> 30%),0.10644,2133,17980,0.10193,0.11095
2010,Not Disabled (<= 30%),0.73535,21674,23900,0.72975,0.74094
2010,Disabled (> 30%),0.10645,2226,23900,0.10254,0.11036
2011,Not Disabled (<= 30%),0.73201,25471,28341,0.72686,0.73717
2011,Disabled (> 30%),0.10511,2870,28341,0.10154,0.10868
2012,Not Disabled (<= 30%),0.72897,24589,27589,0.72372,0.73421
2012,Disabled (> 30%),0.10960,3000,27589,0.10592,0.11329
2013,Not Disabled (<= 30%),0.73082,27538,30578,0.72585,0.73579
2013,Disabled (> 30%),0.10949,3040,30578,0.10599,0.11299
2014,Not Disabled (<= 30%),0.72576,24077,27034,0.72044,0.73108
2014,Disabled (> 30%),0.11531,2957,27034,0.11150,0.11911
2015,Not Disabled (<= 30%),0.73077,24006,26735,0.72546,0.73609
2015,Disabled (> 30%),0.11135,2729,26735,0.10758,0.11513
2016,Not Disabled (<= 30%),0.72485,21662,24230,0.71922,0.73047
2016,Disabled (> 30%),0.11033,2568,24230,0.10639,0.11428
2017,Not Disabled (<= 30%),0.72425,23666,26491,0.71887,0.72964
2017,Disabled (> 30%),0.10745,2825,26491,0.10372,0.11118
2018,Not Disabled (<= 30%),0.72651,22685,25589,0.72105,0.73197
2018,Disabled (> 30%),0.10872,2904,25589,0.10491,0.11254
2019,Not Disabled (<= 30%),0.72230,22872,25672,0.71682,0.72778
2019,Disabled (> 30%),0.10638,2800,25672,0.10261,0.11016
2020,Not Disabled (<= 30%),0.72308,25651,28358,0.71787,0.72829
2020,Disabled (> 30%),0.10770,2707,28358,0.10409,0.11131
2021,Not Disabled (<= 30%),0.71895,17271,19229,0.71260,0.72531
2021,Disabled (> 30%),0.10885,1958,19229,0.10444,0.11325
2022,Not Disabled (<= 30%),0.72486,25393,27892,0.71962,0.73010
2022,Disabled (> 30%),0.10232,2499,27892,0.09876,0.10588
