,Unnamed: 0,year,age_gr,regtyp,m11124,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1985,17-29 y.,Urban regions,Not Disabled (<= 30%),0.98348,2448,10954,0.9611,1.0107
1,1,1985,17-29 y.,Urban regions,Disabled (> 30%),0.01652,39,10954,0.01385,0.01953
2,2,1985,17-29 y.,Rural regions,Not Disabled (<= 30%),1.0,639,10954,0.96277,1.02854
3,3,1985,30-45 y.,Urban regions,Not Disabled (<= 30%),0.9568,2646,10954,0.93426,0.97591
4,4,1985,30-45 y.,Urban regions,Disabled (> 30%),0.0432,97,10954,0.03947,0.0471
5,5,1985,30-45 y.,Rural regions,Not Disabled (<= 30%),1.0,706,10954,0.97006,1.03092
6,6,1985,46-65 y.,Urban regions,Not Disabled (<= 30%),0.79335,2150,10954,0.77849,0.81268
7,7,1985,46-65 y.,Urban regions,Disabled (> 30%),0.20665,436,10954,0.19907,0.21382
8,8,1985,46-65 y.,Rural regions,Not Disabled (<= 30%),0.83477,586,10954,0.81132,0.85555
9,9,1985,46-65 y.,Rural regions,Disabled (> 30%),0.16523,102,10954,0.15767,0.17375
10,10,1985,66 and older,Urban regions,Not Disabled (<= 30%),0.7927,636,10954,0.77716,0.81076
11,11,1985,66 and older,Urban regions,Disabled (> 30%),0.2073,178,10954,0.19835,0.21571
12,12,1985,66 and older,Rural regions,Not Disabled (<= 30%),0.85096,244,10954,0.82465,0.8774
13,13,1985,66 and older,Rural regions,Disabled (> 30%),0.14904,47,10954,0.13976,0.15804
14,14,1987,17-29 y.,Urban regions,Not Disabled (<= 30%),0.98546,2319,10374,0.95582,1.01438
15,15,1987,17-29 y.,Urban regions,Disabled (> 30%),0.01454,37,10374,0.01116,0.01765
16,16,1987,17-29 y.,Rural regions,Not Disabled (<= 30%),1.0,627,10374,0.95715,1.0458
17,17,1987,30-45 y.,Urban regions,Not Disabled (<= 30%),0.95784,2422,10374,0.93476,0.97901
18,18,1987,30-45 y.,Urban regions,Disabled (> 30%),0.04216,92,10374,0.03776,0.04558
19,19,1987,30-45 y.,Rural regions,Not Disabled (<= 30%),1.0,630,10374,0.95904,1.03826
20,20,1987,46-65 y.,Urban regions,Not Disabled (<= 30%),0.81005,2126,10374,0.78662,0.83246
21,21,1987,46-65 y.,Urban regions,Disabled (> 30%),0.18995,403,10374,0.18171,0.19847
22,22,1987,46-65 y.,Rural regions,Not Disabled (<= 30%),0.85257,568,10374,0.82319,0.88261
23,23,1987,46-65 y.,Rural regions,Disabled (> 30%),0.14743,89,10374,0.13357,0.1593
24,24,1987,66 and older,Urban regions,Not Disabled (<= 30%),0.77955,609,10374,0.75755,0.79905
25,25,1987,66 and older,Urban regions,Disabled (> 30%),0.22045,181,10374,0.20828,0.23087
26,26,1987,66 and older,Rural regions,Not Disabled (<= 30%),0.81271,216,10374,0.77805,0.84707
27,27,1987,66 and older,Rural regions,Disabled (> 30%),0.18729,55,10374,0.1741,0.20123
28,28,1988,17-29 y.,Urban regions,Not Disabled (<= 30%),0.98417,2248,9895,0.95363,1.0164
29,29,1988,17-29 y.,Urban regions,Disabled (> 30%),0.01583,42,9895,0.01128,0.0197
30,30,1988,17-29 y.,Rural regions,Not Disabled (<= 30%),1.0,561,9895,0.94839,1.04197
31,31,1988,30-45 y.,Urban regions,Not Disabled (<= 30%),0.95814,2242,9895,0.93458,0.98226
32,32,1988,30-45 y.,Urban regions,Disabled (> 30%),0.04186,86,9895,0.03742,0.04674
33,33,1988,30-45 y.,Rural regions,Not Disabled (<= 30%),1.0,599,9895,0.95411,1.04667
34,34,1988,46-65 y.,Urban regions,Not Disabled (<= 30%),0.80277,2039,9895,0.77825,0.82238
35,35,1988,46-65 y.,Urban regions,Disabled (> 30%),0.19723,421,9895,0.18795,0.20644
36,36,1988,46-65 y.,Rural regions,Not Disabled (<= 30%),0.84574,540,9895,0.81631,0.88043
37,37,1988,46-65 y.,Rural regions,Disabled (> 30%),0.15426,88,9895,0.14173,0.16632
38,38,1988,66 and older,Urban regions,Not Disabled (<= 30%),0.72429,558,9895,0.70466,0.74536
39,39,1988,66 and older,Urban regions,Disabled (> 30%),0.27571,217,9895,0.26356,0.28749
40,40,1988,66 and older,Rural regions,Not Disabled (<= 30%),0.79079,196,9895,0.75851,0.81766
41,41,1988,66 and older,Rural regions,Disabled (> 30%),0.20921,58,9895,0.19028,0.22623
42,42,1989,17-29 y.,Urban regions,Not Disabled (<= 30%),0.98644,2221,9589,0.95322,1.01405
43,43,1989,17-29 y.,Urban regions,Disabled (> 30%),0.01356,36,9589,0.00999,0.01731
44,44,1989,17-29 y.,Rural regions,Not Disabled (<= 30%),1.0,549,9589,0.95079,1.04938
45,45,1989,30-45 y.,Urban regions,Not Disabled (<= 30%),0.95484,2182,9589,0.92728,0.97737
46,46,1989,30-45 y.,Urban regions,Disabled (> 30%),0.04516,83,9589,0.03999,0.04976
47,47,1989,30-45 y.,Rural regions,Not Disabled (<= 30%),1.0,550,9589,0.96164,1.05462
48,48,1989,46-65 y.,Urban regions,Not Disabled (<= 30%),0.81019,1979,9589,0.78949,0.83553
49,49,1989,46-65 y.,Urban regions,Disabled (> 30%),0.18981,399,9589,0.17976,0.20038
50,50,1989,46-65 y.,Rural regions,Not Disabled (<= 30%),0.81458,492,9589,0.78451,0.84959
51,51,1989,46-65 y.,Rural regions,Disabled (> 30%),0.18542,95,9589,0.17104,0.19865
52,52,1989,66 and older,Urban regions,Not Disabled (<= 30%),0.70141,524,9589,0.68562,0.72479
53,53,1989,66 and older,Urban regions,Disabled (> 30%),0.29859,230,9589,0.28747,0.30958
54,54,1989,66 and older,Rural regions,Not Disabled (<= 30%),0.77201,189,9589,0.73795,0.80875
55,55,1989,66 and older,Rural regions,Disabled (> 30%),0.22799,60,9589,0.20476,0.24634
56,56,1991,17-29 y.,Urban regions,Not Disabled (<= 30%),0.98529,2376,13421,0.95576,1.01007
57,57,1991,17-29 y.,Urban regions,Disabled (> 30%),0.01471,38,13421,0.0113,0.0179
