"m11124","year","bildungsniveau","migback","n","percent","lower_confidence","upper_confidence"
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","kein Migrationshintergrund","211","0.925022484454354","0.890763315026518","0.959281653882189"
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","direkter Migrationshintergrund","989","0.95531596897675","0.942753065925989","0.967878872027512"
"Nicht beeinträchtigt","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Nicht beeinträchtigt","1984","Hauptschule","kein Migrationshintergrund","4752","0.864652054958242","0.85555051872416","0.873753591192324"
"Nicht beeinträchtigt","1984","Hauptschule","direkter Migrationshintergrund","1656","0.925804510975821","0.913429264730392","0.93817975722125"
"Nicht beeinträchtigt","1984","Hauptschule","indirekter Migrationshintergrund","70","0.914916289953051","0.850913257610452","0.97891932229565"
"Nicht beeinträchtigt","1984","Realschule","kein Migrationshintergrund","1600","0.920447717639296","0.907644611852505","0.933250823426086"
"Nicht beeinträchtigt","1984","Realschule","direkter Migrationshintergrund","131","0.903904802140798","0.854909675970371","0.952899928311225"
"Nicht beeinträchtigt","1984","Realschule","indirekter Migrationshintergrund","","","",""
"Nicht beeinträchtigt","1984","(Fach-)Abitur","kein Migrationshintergrund","544","0.914880543557385","0.892344012896656","0.937417074218115"
"Nicht beeinträchtigt","1984","(Fach-)Abitur","direkter Migrationshintergrund","261","0.976215167425106","0.958073121147431","0.994357213702781"
"Nicht beeinträchtigt","1984","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Nicht beeinträchtigt","1984","AkademikerIn","kein Migrationshintergrund","608","0.903114087531514","0.880631883041888","0.925596292021141"
"Nicht beeinträchtigt","1984","AkademikerIn","direkter Migrationshintergrund","114","0.924479597751651","0.877399623276728","0.971559572226574"
"Nicht beeinträchtigt","1984","AkademikerIn","indirekter Migrationshintergrund","","","",""
"Beeinträchtigt","1984","(noch) kein Abschluss","kein Migrationshintergrund","","","",""
"Beeinträchtigt","1984","(noch) kein Abschluss","direkter Migrationshintergrund","50","0.0446840310232499","0.0321211279724884","0.0572469340740114"
"Beeinträchtigt","1984","(noch) kein Abschluss","indirekter Migrationshintergrund","","","",""
"Beeinträchtigt","1984","Hauptschule","kein Migrationshintergrund","675","0.135347945041758","0.126246408807676","0.14444948127584"
"Beeinträchtigt","1984","Hauptschule","direkter Migrationshintergrund","67","0.0741954890241789","0.0618202427787497","0.0865707352696082"
