year,migback,pgisced97,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Pre-primary Level,Not Disabled (<= 30%),0.95953,156,156,0.92850,0.99055
1984,No migration background,Primary Level,Not Disabled (<= 30%),0.80139,62,62,0.70127,0.90151
1984,No migration background,Lower Secondary Level,Not Disabled (<= 30%),0.87804,2080,2330,0.86475,0.89133
1984,No migration background,Lower Secondary Level,Disabled (> 30%),0.11678,250,2330,0.10374,0.12983
1984,No migration background,Upper Secondary Level,Not Disabled (<= 30%),0.87725,4121,4613,0.86778,0.88672
1984,No migration background,Upper Secondary Level,Disabled (> 30%),0.11903,492,4613,0.10969,0.12838
1984,No migration background,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.91096,168,168,0.86777,0.95416
1984,No migration background,First Stage of Tertiary Education,Not Disabled (<= 30%),0.85722,527,604,0.82929,0.88514
1984,No migration background,First Stage of Tertiary Education,Disabled (> 30%),0.14278,77,604,0.11486,0.17071
1984,No migration background,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.90181,608,665,0.87918,0.92445
1984,No migration background,Second Stage of Tertiary Education,Disabled (> 30%),0.09675,57,665,0.07426,0.11923
1984,Direct migration background,Primary Level,Not Disabled (<= 30%),0.94746,873,917,0.93301,0.96191
1984,Direct migration background,Primary Level,Disabled (> 30%),0.05129,44,917,0.03700,0.06557
1984,Direct migration background,Lower Secondary Level,Not Disabled (<= 30%),0.95307,1029,1029,0.94014,0.96600
1984,Direct migration background,Upper Secondary Level,Not Disabled (<= 30%),0.90991,966,1022,0.89235,0.92748
1984,Direct migration background,Upper Secondary Level,Disabled (> 30%),0.08935,56,1022,0.07186,0.10685
1984,Direct migration background,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.96801,118,118,0.93613,0.99990
1984,Direct migration background,First Stage of Tertiary Education,Not Disabled (<= 30%),0.91610,46,46,0.83510,0.99710
1984,Direct migration background,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.92448,114,114,0.87576,0.97320
1984,Indirect migration background,Lower Secondary Level,Not Disabled (<= 30%),0.96259,52,52,0.91051,1.01467
1984,Indirect migration background,Upper Secondary Level,Not Disabled (<= 30%),0.91744,50,50,0.84037,0.99450
1985,No migration background,Pre-primary Level,Not Disabled (<= 30%),0.99697,154,154,0.98826,1.00568
1985,No migration background,Primary Level,Not Disabled (<= 30%),0.75586,64,64,0.64978,0.86194
1985,No migration background,Lower Secondary Level,Not Disabled (<= 30%),0.88805,1877,2081,0.87450,0.90160
1985,No migration background,Lower Secondary Level,Disabled (> 30%),0.10646,204,2081,0.09320,0.11971
1985,No migration background,Upper Secondary Level,Not Disabled (<= 30%),0.87893,3769,4205,0.86907,0.88879
1985,No migration background,Upper Secondary Level,Disabled (> 30%),0.11676,436,4205,0.10705,0.12646
1985,No migration background,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.89755,157,157,0.84996,0.94513
1985,No migration background,First Stage of Tertiary Education,Not Disabled (<= 30%),0.85013,493,567,0.82073,0.87954
1985,No migration background,First Stage of Tertiary Education,Disabled (> 30%),0.14830,74,567,0.11902,0.17758
1985,No migration background,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.90344,586,637,0.88048,0.92639
1985,No migration background,Second Stage of Tertiary Education,Disabled (> 30%),0.09061,51,637,0.06830,0.11292
1985,Direct migration background,Primary Level,Not Disabled (<= 30%),0.93868,709,742,0.92140,0.95595
1985,Direct migration background,Primary Level,Disabled (> 30%),0.05795,33,742,0.04113,0.07478
1985,Direct migration background,Lower Secondary Level,Not Disabled (<= 30%),0.94628,884,884,0.93141,0.96115
1985,Direct migration background,Upper Secondary Level,Not Disabled (<= 30%),0.90102,857,902,0.88152,0.92052
1985,Direct migration background,Upper Secondary Level,Disabled (> 30%),0.09475,45,902,0.07563,0.11388
1985,Direct migration background,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.96569,97,97,0.92928,1.00210
1985,Direct migration background,First Stage of Tertiary Education,Not Disabled (<= 30%),0.86096,40,40,0.75238,0.96955
1985,Direct migration background,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.90120,104,104,0.84357,0.95882
1985,Indirect migration background,Upper Secondary Level,Not Disabled (<= 30%),0.98976,54,54,0.96265,1.01686
1987,No migration background,Pre-primary Level,Not Disabled (<= 30%),0.98656,147,147,0.96788,1.00524
1987,No migration background,Primary Level,Not Disabled (<= 30%),0.71100,54,54,0.58896,0.83304
1987,No migration background,Lower Secondary Level,Not Disabled (<= 30%),0.89102,1656,1829,0.87674,0.90531
1987,No migration background,Lower Secondary Level,Disabled (> 30%),0.10422,173,1829,0.09021,0.11822
1987,No migration background,Upper Secondary Level,Not Disabled (<= 30%),0.87839,3602,4013,0.86828,0.88851
1987,No migration background,Upper Secondary Level,Disabled (> 30%),0.11620,411,4013,0.10628,0.12612
1987,No migration background,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.90716,157,157,0.86162,0.95270
1987,No migration background,First Stage of Tertiary Education,Not Disabled (<= 30%),0.85294,438,503,0.82195,0.88392
1987,No migration background,First Stage of Tertiary Education,Disabled (> 30%),0.14571,65,503,0.11485,0.17658
1987,No migration background,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.91678,590,637,0.89531,0.93824
1987,No migration background,Second Stage of Tertiary Education,Disabled (> 30%),0.08128,47,637,0.06004,0.10252
1987,Direct migration background,Pre-primary Level,Not Disabled (<= 30%),0.94904,31,31,0.87034,1.02773
1987,Direct migration background,Primary Level,Not Disabled (<= 30%),0.94099,626,663,0.92304,0.95894
1987,Direct migration background,Primary Level,Disabled (> 30%),0.05310,37,663,0.03602,0.07018
1987,Direct migration background,Lower Secondary Level,Not Disabled (<= 30%),0.91967,899,933,0.90222,0.93712
1987,Direct migration background,Lower Secondary Level,Disabled (> 30%),0.07168,34,933,0.05512,0.08825
1987,Direct migration background,Upper Secondary Level,Not Disabled (<= 30%),0.88772,809,859,0.86659,0.90884
1987,Direct migration background,Upper Secondary Level,Disabled (> 30%),0.10808,50,859,0.08730,0.12885
1987,Direct migration background,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.96342,96,96,0.92566,1.00117
1987,Direct migration background,First Stage of Tertiary Education,Not Disabled (<= 30%),0.84940,46,46,0.74490,0.95390
1987,Direct migration background,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.84986,91,91,0.77606,0.92366
1987,Indirect migration background,Lower Secondary Level,Not Disabled (<= 30%),0.81642,60,60,0.71763,0.91521
1987,Indirect migration background,Upper Secondary Level,Not Disabled (<= 30%),0.99666,72,72,0.98323,1.01008
1988,No migration background,Pre-primary Level,Not Disabled (<= 30%),0.97753,124,124,0.95133,1.00372
1988,No migration background,Primary Level,Not Disabled (<= 30%),0.72591,49,49,0.59972,0.85210
1988,No migration background,Lower Secondary Level,Not Disabled (<= 30%),0.87528,1544,1719,0.85966,0.89090
1988,No migration background,Lower Secondary Level,Disabled (> 30%),0.11922,175,1719,0.10390,0.13454
1988,No migration background,Upper Secondary Level,Not Disabled (<= 30%),0.86485,3371,3807,0.85399,0.87571
1988,No migration background,Upper Secondary Level,Disabled (> 30%),0.12923,436,3807,0.11857,0.13989
1988,No migration background,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.88840,153,153,0.83834,0.93846
1988,No migration background,First Stage of Tertiary Education,Not Disabled (<= 30%),0.85519,417,478,0.82361,0.88677
1988,No migration background,First Stage of Tertiary Education,Disabled (> 30%),0.14145,61,478,0.11018,0.17273
1988,No migration background,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.91290,565,611,0.89053,0.93528
1988,No migration background,Second Stage of Tertiary Education,Disabled (> 30%),0.08465,46,611,0.06256,0.10674
1988,Direct migration background,Primary Level,Not Disabled (<= 30%),0.92383,566,610,0.90276,0.94490
1988,Direct migration background,Primary Level,Disabled (> 30%),0.07310,44,610,0.05243,0.09377
1988,Direct migration background,Lower Secondary Level,Not Disabled (<= 30%),0.89500,856,906,0.87503,0.91497
1988,Direct migration background,Lower Secondary Level,Disabled (> 30%),0.10330,50,906,0.08347,0.12313
1988,Direct migration background,Upper Secondary Level,Not Disabled (<= 30%),0.88745,770,830,0.86593,0.90896
1988,Direct migration background,Upper Secondary Level,Disabled (> 30%),0.11235,60,830,0.09085,0.13385
1988,Direct migration background,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.94296,88,88,0.89423,0.99170
1988,Direct migration background,First Stage of Tertiary Education,Not Disabled (<= 30%),0.83263,45,45,0.72233,0.94294
1988,Direct migration background,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.83643,78,78,0.75381,0.91905
1988,Indirect migration background,Lower Secondary Level,Not Disabled (<= 30%),0.82216,79,79,0.73730,0.90702
1988,Indirect migration background,Upper Secondary Level,Not Disabled (<= 30%),0.99372,83,83,0.97662,1.01082
1989,No migration background,Pre-primary Level,Not Disabled (<= 30%),0.97346,118,118,0.94434,1.00259
1989,No migration background,Primary Level,Not Disabled (<= 30%),0.68693,47,47,0.55291,0.82094
1989,No migration background,Lower Secondary Level,Not Disabled (<= 30%),0.86323,1402,1581,0.84629,0.88017
1989,No migration background,Lower Secondary Level,Disabled (> 30%),0.13212,179,1581,0.11542,0.14882
1989,No migration background,Upper Secondary Level,Not Disabled (<= 30%),0.86046,3263,3690,0.84928,0.87164
1989,No migration background,Upper Secondary Level,Disabled (> 30%),0.13435,427,3690,0.12334,0.14535
1989,No migration background,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.90519,175,175,0.86167,0.94872
1989,No migration background,First Stage of Tertiary Education,Not Disabled (<= 30%),0.85411,399,459,0.82178,0.88644
1989,No migration background,First Stage of Tertiary Education,Disabled (> 30%),0.14589,60,459,0.11356,0.17822
1989,No migration background,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.90379,554,601,0.88020,0.92739
1989,No migration background,Second Stage of Tertiary Education,Disabled (> 30%),0.08701,47,601,0.06446,0.10957
1989,Direct migration background,Primary Level,Not Disabled (<= 30%),0.91884,526,573,0.89646,0.94122
1989,Direct migration background,Primary Level,Disabled (> 30%),0.07948,47,573,0.05731,0.10165
1989,Direct migration background,Lower Secondary Level,Not Disabled (<= 30%),0.89509,826,870,0.87471,0.91546
1989,Direct migration background,Lower Secondary Level,Disabled (> 30%),0.09309,44,870,0.07377,0.11240
1989,Direct migration background,Upper Secondary Level,Not Disabled (<= 30%),0.88626,766,826,0.86460,0.90793
1989,Direct migration background,Upper Secondary Level,Disabled (> 30%),0.10968,60,826,0.08836,0.13101
1989,Direct migration background,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.96328,87,87,0.92354,1.00303
1989,Direct migration background,First Stage of Tertiary Education,Not Disabled (<= 30%),0.89373,45,45,0.80266,0.98479
1989,Direct migration background,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.84974,80,80,0.77095,0.92854
1989,Indirect migration background,Lower Secondary Level,Not Disabled (<= 30%),0.85434,103,103,0.78588,0.92280
1989,Indirect migration background,Upper Secondary Level,Not Disabled (<= 30%),0.99662,85,85,0.98420,1.00903
1991,No migration background,Pre-primary Level,Not Disabled (<= 30%),0.95987,104,104,0.92197,0.99778
1991,No migration background,Primary Level,Not Disabled (<= 30%),0.73069,83,83,0.63467,0.82670
1991,No migration background,Lower Secondary Level,Not Disabled (<= 30%),0.87206,1689,1867,0.85690,0.88721
1991,No migration background,Lower Secondary Level,Disabled (> 30%),0.12322,178,1867,0.10831,0.13813
1991,No migration background,Upper Secondary Level,Not Disabled (<= 30%),0.88899,5476,5902,0.88097,0.89700
1991,No migration background,Upper Secondary Level,Disabled (> 30%),0.10553,426,5902,0.09769,0.11337
1991,No migration background,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.89277,247,247,0.85410,0.93143
1991,No migration background,First Stage of Tertiary Education,Not Disabled (<= 30%),0.88683,637,690,0.86318,0.91049
1991,No migration background,First Stage of Tertiary Education,Disabled (> 30%),0.10732,53,690,0.08421,0.13043
1991,No migration background,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.94801,1503,1549,0.93695,0.95907
1991,No migration background,Second Stage of Tertiary Education,Disabled (> 30%),0.05077,46,1549,0.03983,0.06170
1991,Direct migration background,Primary Level,Not Disabled (<= 30%),0.90499,485,533,0.88008,0.92991
1991,Direct migration background,Primary Level,Disabled (> 30%),0.08823,48,533,0.06413,0.11234
1991,Direct migration background,Lower Secondary Level,Not Disabled (<= 30%),0.89831,797,845,0.87792,0.91870
1991,Direct migration background,Lower Secondary Level,Disabled (> 30%),0.09850,48,845,0.07840,0.11861
1991,Direct migration background,Upper Secondary Level,Not Disabled (<= 30%),0.88039,800,867,0.85878,0.90200
1991,Direct migration background,Upper Secondary Level,Disabled (> 30%),0.11295,67,867,0.09187,0.13403
1991,Direct migration background,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.94081,92,92,0.89233,0.98930
1991,Direct migration background,First Stage of Tertiary Education,Not Disabled (<= 30%),0.91018,52,52,0.83171,0.98866
1991,Direct migration background,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.88087,115,115,0.82141,0.94034
1991,Indirect migration background,Lower Secondary Level,Not Disabled (<= 30%),0.95481,136,136,0.91977,0.98985
1991,Indirect migration background,Upper Secondary Level,Not Disabled (<= 30%),0.98990,117,117,0.97169,1.00810
1992,No migration background,Primary Level,Not Disabled (<= 30%),0.65453,63,63,0.53617,0.77290
1992,No migration background,Lower Secondary Level,Not Disabled (<= 30%),0.85481,1582,1780,0.83844,0.87118
1992,No migration background,Lower Secondary Level,Disabled (> 30%),0.13711,198,1780,0.12112,0.15309
1992,No migration background,Upper Secondary Level,Not Disabled (<= 30%),0.86735,5153,5705,0.85854,0.87615
1992,No migration background,Upper Secondary Level,Disabled (> 30%),0.12438,552,5705,0.11581,0.13294
1992,No migration background,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.89835,255,255,0.86118,0.93551
1992,No migration background,First Stage of Tertiary Education,Not Disabled (<= 30%),0.87268,628,692,0.84782,0.89753
1992,No migration background,First Stage of Tertiary Education,Disabled (> 30%),0.12403,64,692,0.09946,0.14861
1992,No migration background,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.92033,1415,1511,0.90667,0.93399
1992,No migration background,Second Stage of Tertiary Education,Disabled (> 30%),0.07516,96,1511,0.06186,0.08846
1992,Direct migration background,Primary Level,Not Disabled (<= 30%),0.87842,458,505,0.84989,0.90695
1992,Direct migration background,Primary Level,Disabled (> 30%),0.10264,47,505,0.07614,0.12914
1992,Direct migration background,Lower Secondary Level,Not Disabled (<= 30%),0.86911,753,816,0.84596,0.89227
1992,Direct migration background,Lower Secondary Level,Disabled (> 30%),0.12275,63,816,0.10022,0.14528
1992,Direct migration background,Upper Secondary Level,Not Disabled (<= 30%),0.86967,765,847,0.84698,0.89235
1992,Direct migration background,Upper Secondary Level,Disabled (> 30%),0.12799,82,847,0.10548,0.15050
1992,Direct migration background,Post-secondary Non-tertiary Level,Not Disabled (<= 30%),0.95445,90,90,0.91114,0.99777
1992,Direct migration background,First Stage of Tertiary Education,Not Disabled (<= 30%),0.90773,55,55,0.83054,0.98492
1992,Direct migration background,Second Stage of Tertiary Education,Not Disabled (<= 30%),0.85922,120,120,0.79673,0.92171
1992,Indirect migration background,Pre-primary Level,Not Disabled (<= 30%),0.94242,47,47,0.87510,1.00974
