year,age_gr,quintil_oecd,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,1st Quintile,Not Disabled (<= 30%),0.98164,776,776,0.97219,0.99109
1984,17-29 y.,2nd Quintile,Not Disabled (<= 30%),0.97432,671,671,0.96235,0.98630
1984,17-29 y.,3rd Quintile,Not Disabled (<= 30%),0.98779,654,654,0.97937,0.99621
1984,17-29 y.,4th Quintile,Not Disabled (<= 30%),0.97938,716,716,0.96897,0.98980
1984,17-29 y.,5th Quintile,Not Disabled (<= 30%),0.97602,549,549,0.96322,0.98883
1984,30-45 y.,1st Quintile,Not Disabled (<= 30%),0.93792,750,785,0.92103,0.95481
1984,30-45 y.,1st Quintile,Disabled (> 30%),0.05974,35,785,0.04315,0.07633
1984,30-45 y.,2nd Quintile,Not Disabled (<= 30%),0.95989,755,755,0.94589,0.97390
1984,30-45 y.,3rd Quintile,Not Disabled (<= 30%),0.95571,730,730,0.94077,0.97064
1984,30-45 y.,4th Quintile,Not Disabled (<= 30%),0.96193,758,758,0.94829,0.97556
1984,30-45 y.,5th Quintile,Not Disabled (<= 30%),0.96243,759,759,0.94890,0.97597
1984,46-65 y.,1st Quintile,Not Disabled (<= 30%),0.75111,453,553,0.71504,0.78718
1984,46-65 y.,1st Quintile,Disabled (> 30%),0.23484,100,553,0.19947,0.27020
1984,46-65 y.,2nd Quintile,Not Disabled (<= 30%),0.78199,531,647,0.75015,0.81383
1984,46-65 y.,2nd Quintile,Disabled (> 30%),0.21176,116,647,0.18025,0.24326
1984,46-65 y.,3rd Quintile,Not Disabled (<= 30%),0.80432,578,695,0.77481,0.83384
1984,46-65 y.,3rd Quintile,Disabled (> 30%),0.19342,117,695,0.16404,0.22281
1984,46-65 y.,4th Quintile,Not Disabled (<= 30%),0.80031,635,763,0.77192,0.82869
1984,46-65 y.,4th Quintile,Disabled (> 30%),0.19555,128,763,0.16739,0.22371
1984,46-65 y.,5th Quintile,Not Disabled (<= 30%),0.82602,739,877,0.80091,0.85112
1984,46-65 y.,5th Quintile,Disabled (> 30%),0.17191,138,877,0.14692,0.19689
1984,66 and older,1st Quintile,Not Disabled (<= 30%),0.78565,272,351,0.74266,0.82864
1984,66 and older,1st Quintile,Disabled (> 30%),0.21435,79,351,0.17136,0.25734
1984,66 and older,2nd Quintile,Not Disabled (<= 30%),0.76958,212,274,0.71963,0.81954
1984,66 and older,2nd Quintile,Disabled (> 30%),0.22205,62,274,0.17275,0.27136
1984,66 and older,3rd Quintile,Not Disabled (<= 30%),0.80298,188,235,0.75201,0.85394
1984,66 and older,3rd Quintile,Disabled (> 30%),0.18768,47,235,0.13765,0.23771
1984,66 and older,4th Quintile,Not Disabled (<= 30%),0.82996,168,205,0.77841,0.88151
1984,66 and older,4th Quintile,Disabled (> 30%),0.17004,37,205,0.11849,0.22159
1984,66 and older,5th Quintile,Not Disabled (<= 30%),0.79935,155,194,0.74285,0.85586
1984,66 and older,5th Quintile,Disabled (> 30%),0.19714,39,194,0.14101,0.25327
1985,17-29 y.,1st Quintile,Not Disabled (<= 30%),0.97917,763,763,0.96903,0.98931
1985,17-29 y.,2nd Quintile,Not Disabled (<= 30%),0.97069,569,569,0.95681,0.98456
1985,17-29 y.,3rd Quintile,Not Disabled (<= 30%),0.98252,638,638,0.97234,0.99270
1985,17-29 y.,4th Quintile,Not Disabled (<= 30%),0.99000,623,623,0.98218,0.99782
1985,17-29 y.,5th Quintile,Not Disabled (<= 30%),0.98291,491,491,0.97144,0.99439
1985,30-45 y.,1st Quintile,Not Disabled (<= 30%),0.94361,656,656,0.92594,0.96127
1985,30-45 y.,2nd Quintile,Not Disabled (<= 30%),0.96903,729,729,0.95645,0.98162
1985,30-45 y.,3rd Quintile,Not Disabled (<= 30%),0.94450,614,614,0.92637,0.96262
1985,30-45 y.,4th Quintile,Not Disabled (<= 30%),0.95178,657,657,0.93538,0.96817
1985,30-45 y.,5th Quintile,Not Disabled (<= 30%),0.97485,694,694,0.96320,0.98651
1985,46-65 y.,1st Quintile,Not Disabled (<= 30%),0.72910,428,522,0.69093,0.76726
1985,46-65 y.,1st Quintile,Disabled (> 30%),0.24125,94,522,0.20451,0.27799
