year,age_gr,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,17-29 y.,Not Disabled (<= 30%),0.98011,3379,3432,0.97543,0.98478
1984,17-29 y.,Disabled (> 30%),0.01763,53,3432,0.01323,0.02204
1984,30-45 y.,Not Disabled (<= 30%),0.95643,3754,3899,0.95003,0.96284
1984,30-45 y.,Disabled (> 30%),0.04222,145,3899,0.03591,0.04853
1984,46-65 y.,Not Disabled (<= 30%),0.79736,2938,3539,0.78411,0.81060
1984,46-65 y.,Disabled (> 30%),0.19722,601,3539,0.18411,0.21033
1984,66 and older,Not Disabled (<= 30%),0.79380,997,1262,0.77147,0.81613
1984,66 and older,Disabled (> 30%),0.20217,265,1262,0.18000,0.22434
1985,17-29 y.,Not Disabled (<= 30%),0.98144,3087,3138,0.97672,0.98617
1985,17-29 y.,Disabled (> 30%),0.01735,51,3138,0.01278,0.02192
1985,30-45 y.,Not Disabled (<= 30%),0.95827,3352,3467,0.95162,0.96493
1985,30-45 y.,Disabled (> 30%),0.03958,115,3467,0.03309,0.04607
1985,46-65 y.,Not Disabled (<= 30%),0.79532,2736,3274,0.78150,0.80914
1985,46-65 y.,Disabled (> 30%),0.19462,538,3274,0.18105,0.20818
1985,66 and older,Not Disabled (<= 30%),0.80697,880,1105,0.78368,0.83025
1985,66 and older,Disabled (> 30%),0.19095,225,1105,0.16777,0.21414
1987,17-29 y.,Not Disabled (<= 30%),0.98020,2946,2997,0.97521,0.98519
1987,17-29 y.,Disabled (> 30%),0.01617,51,2997,0.01166,0.02069
1987,30-45 y.,Not Disabled (<= 30%),0.95709,3052,3160,0.95003,0.96416
1987,30-45 y.,Disabled (> 30%),0.03973,108,3160,0.03291,0.04654
1987,46-65 y.,Not Disabled (<= 30%),0.81513,2694,3186,0.80165,0.82861
1987,46-65 y.,Disabled (> 30%),0.17887,492,3186,0.16556,0.19218
1987,66 and older,Not Disabled (<= 30%),0.78321,825,1061,0.75840,0.80802
1987,66 and older,Disabled (> 30%),0.21048,236,1061,0.18594,0.23502
1988,17-29 y.,Not Disabled (<= 30%),0.97975,2809,2865,0.97459,0.98491
1988,17-29 y.,Disabled (> 30%),0.01803,56,2865,0.01315,0.02290
1988,30-45 y.,Not Disabled (<= 30%),0.95712,2841,2947,0.94980,0.96443
1988,30-45 y.,Disabled (> 30%),0.04026,106,2947,0.03316,0.04736
1988,46-65 y.,Not Disabled (<= 30%),0.80709,2579,3088,0.79317,0.82101
1988,46-65 y.,Disabled (> 30%),0.18578,509,3088,0.17206,0.19950
1988,66 and older,Not Disabled (<= 30%),0.73573,754,1029,0.70878,0.76269
1988,66 and older,Disabled (> 30%),0.25703,275,1029,0.23032,0.28375
1989,17-29 y.,Not Disabled (<= 30%),0.97895,2770,2819,0.97365,0.98425
1989,17-29 y.,Disabled (> 30%),0.01663,49,2819,0.01190,0.02135
1989,30-45 y.,Not Disabled (<= 30%),0.95351,2732,2833,0.94575,0.96126
1989,30-45 y.,Disabled (> 30%),0.04329,101,2833,0.03579,0.05078
1989,46-65 y.,Not Disabled (<= 30%),0.80662,2471,2965,0.79240,0.82084
1989,46-65 y.,Disabled (> 30%),0.18779,494,2965,0.17373,0.20185
1989,66 and older,Not Disabled (<= 30%),0.71362,713,1003,0.68563,0.74161
1989,66 and older,Disabled (> 30%),0.27839,290,1003,0.25064,0.30614
1991,17-29 y.,Not Disabled (<= 30%),0.98190,3637,3688,0.97760,0.98620
1991,17-29 y.,Disabled (> 30%),0.01474,51,3688,0.01085,0.01863
1991,30-45 y.,Not Disabled (<= 30%),0.95948,4185,4305,0.95359,0.96538
1991,30-45 y.,Disabled (> 30%),0.03729,120,4305,0.03163,0.04295
1991,46-65 y.,Not Disabled (<= 30%),0.85067,3650,4118,0.83978,0.86155
1991,46-65 y.,Disabled (> 30%),0.14463,468,4118,0.13389,0.15537
1991,66 and older,Not Disabled (<= 30%),0.74974,1123,1433,0.72731,0.77218
1991,66 and older,Disabled (> 30%),0.24073,310,1433,0.21858,0.26287
1992,17-29 y.,Not Disabled (<= 30%),0.98168,3513,3565,0.97728,0.98608
1992,17-29 y.,Disabled (> 30%),0.01472,52,3565,0.01076,0.01867
1992,30-45 y.,Not Disabled (<= 30%),0.95486,4085,4243,0.94861,0.96110
1992,30-45 y.,Disabled (> 30%),0.04238,158,4243,0.03632,0.04844
1992,46-65 y.,Not Disabled (<= 30%),0.82376,3397,3981,0.81192,0.83560
