year,quintil_oecd,m11124,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1984,1st Quintile,Not Disabled,0.9076190476190477,16099,0.9031460399832726,0.9120920552548227
1984,1st Quintile,Disabled,0.09238095238095238,16099,0.08790794474517735,0.09685396001672741
1984,2nd Quintile,Not Disabled,0.917725988700565,16099,0.9134813134173577,0.9219706639837723
1984,2nd Quintile,Disabled,0.08227401129943503,16099,0.07802933601622773,0.08651868658264232
1984,3rd Quintile,Not Disabled,0.9221611721611722,16099,0.9180225271101661,0.9262998172121784
1984,3rd Quintile,Disabled,0.07783882783882784,16099,0.07370018278782166,0.08197747288983402
1984,4th Quintile,Not Disabled,0.8819277108433735,16099,0.8769429180868766,0.8869125035998704
1984,4th Quintile,Disabled,0.1180722891566265,16099,0.11308749640012963,0.12305708191312337
1984,5th Quintile,Not Disabled,0.9074074074074074,16099,0.9029298011221221,0.9118850136926928
1984,5th Quintile,Disabled,0.09259259259259259,16099,0.08811498630730721,0.09707019887787796
1985,1st Quintile,Not Disabled,0.9101088156442202,14443,0.9054440204871295,0.9147736108013109
1985,1st Quintile,Disabled,0.08989118435577985,14443,0.0852263891986891,0.09455597951287059
1985,2nd Quintile,Not Disabled,0.9239415511427501,14443,0.9196181717613817,0.9282649305241185
1985,2nd Quintile,Disabled,0.07605844885724991,14443,0.07173506947588151,0.08038182823861831
1985,3rd Quintile,Not Disabled,0.9090136054421769,14443,0.9043233036755208,0.913703907208833
1985,3rd Quintile,Disabled,0.09098639455782313,14443,0.08629609279116707,0.0956766963244792
1985,4th Quintile,Not Disabled,0.9060052219321149,14443,0.9012459055120768,0.9107645383521529
1985,4th Quintile,Disabled,0.09399477806788512,14443,0.08923546164784713,0.0987540944879231
1985,5th Quintile,Not Disabled,0.9261744966442953,14443,0.9219099096009991,0.9304390836875915
1985,5th Quintile,Disabled,0.0738255033557047,14443,0.06956091631240847,0.07809009039900093
1986,1st Quintile,Not Disabled,0.999297629499561,13742,0.9988546724076385,0.9997405865914836
1986,1st Quintile,Disabled,0.0007023705004389816,13742,0.0002594134085164516,0.0011453275923615116
1986,2nd Quintile,Not Disabled,1.0,13742,1.0,1.0
1986,3rd Quintile,Not Disabled,0.9983539094650206,13742,0.9976761115640178,0.9990317073660233
1986,3rd Quintile,Disabled,0.0016460905349794238,13742,0.0009682926339766487,0.0023238884359821988
1986,4th Quintile,Not Disabled,1.0,13742,1.0,1.0
1986,5th Quintile,Not Disabled,1.0,13742,1.0,1.0
1987,1st Quintile,Not Disabled,0.9086829268292683,13496,0.903822933061521,0.9135429205970157
1987,1st Quintile,Disabled,0.0913170731707317,13496,0.08645707940298437,0.09617706693847904
1987,2nd Quintile,Not Disabled,0.9181629834254144,13496,0.9135382327902245,0.9227877340606042
1987,2nd Quintile,Disabled,0.08183701657458564,13496,0.07721226593939576,0.08646176720977553
1987,3rd Quintile,Not Disabled,0.9271978021978022,13496,0.922814393364533,0.9315812110310715
1987,3rd Quintile,Disabled,0.07280219780219781,13496,0.06841878896892858,0.07718560663546703
1987,4th Quintile,Not Disabled,0.8817635270541082,13496,0.8763159255012343,0.8872111286069821
1987,4th Quintile,Disabled,0.11823647294589178,13496,0.11278887139301783,0.12368407449876573
1987,5th Quintile,Not Disabled,0.921875,13496,0.9173472277797434,0.9264027722202566
