year,migback,regtyp,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,No answer / don't know,Not Disabled (<= 30%),0.88256,7730,8644,0.87577,0.88935
1984,No migration background,No answer / don't know,Disabled (> 30%),0.11744,914,8644,0.11065,0.12423
1984,Direct migration background,No answer / don't know,Not Disabled (<= 30%),0.93420,3217,3362,0.92582,0.94258
1984,Direct migration background,No answer / don't know,Disabled (> 30%),0.06580,145,3362,0.05742,0.07418
1984,Indirect migration background,No answer / don't know,Not Disabled (<= 30%),0.94620,121,121,0.90583,0.98657
1985,No migration background,Urban regions,Not Disabled (<= 30%),0.87925,5340,5985,0.87099,0.88750
1985,No migration background,Urban regions,Disabled (> 30%),0.12075,645,5985,0.11250,0.12901
1985,No migration background,Rural regions,Not Disabled (<= 30%),0.90681,1800,1963,0.89395,0.91968
1985,No migration background,Rural regions,Disabled (> 30%),0.09319,163,1963,0.08032,0.10605
1985,Direct migration background,Urban regions,Not Disabled (<= 30%),0.92505,2443,2548,0.91482,0.93527
1985,Direct migration background,Urban regions,Disabled (> 30%),0.07495,105,2548,0.06473,0.08518
1985,Direct migration background,Rural regions,Not Disabled (<= 30%),0.94285,335,335,0.91796,0.96775
1985,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.94844,119,119,0.90854,0.98834
1987,No migration background,Urban regions,Not Disabled (<= 30%),0.88225,5042,5626,0.87383,0.89067
1987,No migration background,Urban regions,Disabled (> 30%),0.11775,584,5626,0.10933,0.12617
1987,No migration background,Rural regions,Not Disabled (<= 30%),0.90395,1654,1808,0.89037,0.91754
1987,No migration background,Rural regions,Disabled (> 30%),0.09605,154,1808,0.08246,0.10963
1987,Direct migration background,Urban regions,Not Disabled (<= 30%),0.90788,2303,2430,0.89638,0.91938
1987,Direct migration background,Urban regions,Disabled (> 30%),0.09212,127,2430,0.08062,0.10362
1987,Direct migration background,Rural regions,Not Disabled (<= 30%),0.92335,352,352,0.89552,0.95118
1987,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.90302,144,144,0.85452,0.95152
1988,No migration background,Urban regions,Not Disabled (<= 30%),0.86965,4758,5362,0.86063,0.87866
1988,No migration background,Urban regions,Disabled (> 30%),0.13035,604,5362,0.12134,0.13937
1988,No migration background,Rural regions,Not Disabled (<= 30%),0.89744,1534,1689,0.88297,0.91191
1988,No migration background,Rural regions,Disabled (> 30%),0.10256,155,1689,0.08809,0.11703
1988,Direct migration background,Urban regions,Not Disabled (<= 30%),0.89509,2163,2320,0.88262,0.90756
1988,Direct migration background,Urban regions,Disabled (> 30%),0.10491,157,2320,0.09244,0.11738
1988,Direct migration background,Rural regions,Not Disabled (<= 30%),0.88380,318,318,0.84852,0.91908
1988,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.89694,179,179,0.85227,0.94161
1989,No migration background,Urban regions,Not Disabled (<= 30%),0.86735,4594,5186,0.85811,0.87658
1989,No migration background,Urban regions,Disabled (> 30%),0.13265,592,5186,0.12342,0.14189
1989,No migration background,Rural regions,Not Disabled (<= 30%),0.88049,1436,1599,0.86458,0.89639
1989,No migration background,Rural regions,Disabled (> 30%),0.11951,163,1599,0.10361,0.13542
1989,Direct migration background,Urban regions,Not Disabled (<= 30%),0.90199,2109,2260,0.88973,0.91425
1989,Direct migration background,Urban regions,Disabled (> 30%),0.09801,151,2260,0.08575,0.11027
1989,Direct migration background,Rural regions,Not Disabled (<= 30%),0.89436,299,299,0.85946,0.92926
1989,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.90997,214,214,0.87153,0.94841
1991,No migration background,Urban regions,Not Disabled (<= 30%),0.87878,5661,6245,0.87069,0.88688
1991,No migration background,Urban regions,Disabled (> 30%),0.12122,584,6245,0.11312,0.12931
1991,No migration background,Rural regions,Not Disabled (<= 30%),0.93032,4080,4248,0.92266,0.93798
1991,No migration background,Rural regions,Disabled (> 30%),0.06968,168,4248,0.06202,0.07734
1991,Direct migration background,Urban regions,Not Disabled (<= 30%),0.89373,2030,2203,0.88086,0.90660
1991,Direct migration background,Urban regions,Disabled (> 30%),0.10627,173,2203,0.09340,0.11914
1991,Direct migration background,Rural regions,Not Disabled (<= 30%),0.92066,395,395,0.89398,0.94735
1991,Indirect migration background,Urban regions,Not Disabled (<= 30%),0.94615,292,292,0.92021,0.97208
1992,No migration background,No answer / don't know,Not Disabled (<= 30%),0.92555,109,109,0.87604,0.97506
1992,No migration background,Urban regions,Not Disabled (<= 30%),0.86779,5492,6152,0.85932,0.87625
1992,No migration background,Urban regions,Disabled (> 30%),0.13221,660,6152,0.12375,0.14068
