year,migback,m11124,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,No migration background,Not Disabled (<= 30%),0.74041,7730,8644,0.73117,0.74966
1984,No migration background,Disabled (> 30%),0.09852,914,8644,0.09224,0.10481
1984,Direct migration background,Not Disabled (<= 30%),0.82898,3217,3362,0.81625,0.84171
1984,Direct migration background,Disabled (> 30%),0.05839,145,3362,0.05046,0.06631
1984,Indirect migration background,Not Disabled (<= 30%),0.11088,121,121,0.05470,0.16706
1985,No migration background,Not Disabled (<= 30%),0.75376,7140,7948,0.74429,0.76323
1985,No migration background,Disabled (> 30%),0.09674,808,7948,0.09024,0.10324
1985,Direct migration background,Not Disabled (<= 30%),0.84002,2778,2895,0.82666,0.85337
1985,Direct migration background,Disabled (> 30%),0.06561,117,2895,0.05659,0.07463
1985,Indirect migration background,Not Disabled (<= 30%),0.13818,137,137,0.08018,0.19618
1987,No migration background,Not Disabled (<= 30%),0.75277,6696,7434,0.74297,0.76258
1987,No migration background,Disabled (> 30%),0.09528,738,7434,0.08861,0.10196
1987,Direct migration background,Not Disabled (<= 30%),0.84325,2655,2798,0.82978,0.85672
1987,Direct migration background,Disabled (> 30%),0.08323,143,2798,0.07299,0.09347
1987,Indirect migration background,Not Disabled (<= 30%),0.13389,166,166,0.08193,0.18585
1988,No migration background,Not Disabled (<= 30%),0.74292,6292,7051,0.73272,0.75313
1988,No migration background,Disabled (> 30%),0.10471,759,7051,0.09756,0.11185
1988,Direct migration background,Not Disabled (<= 30%),0.83459,2481,2659,0.82046,0.84871
1988,Direct migration background,Disabled (> 30%),0.09952,178,2659,0.08814,0.11090
1988,Indirect migration background,Not Disabled (<= 30%),0.15494,210,210,0.10588,0.20400
1989,No migration background,Not Disabled (<= 30%),0.73929,6030,6785,0.72885,0.74974
1989,No migration background,Disabled (> 30%),0.10999,755,6785,0.10254,0.11743
1989,Direct migration background,Not Disabled (<= 30%),0.84715,2408,2579,0.83326,0.86104
1989,Direct migration background,Disabled (> 30%),0.09323,171,2579,0.08201,0.10446
1989,Indirect migration background,Not Disabled (<= 30%),0.17540,248,248,0.12797,0.22283
1991,No migration background,Not Disabled (<= 30%),0.74618,9830,10582,0.73789,0.75447
1991,No migration background,Disabled (> 30%),0.08602,752,10582,0.08068,0.09136
1991,Direct migration background,Not Disabled (<= 30%),0.86450,2426,2616,0.85138,0.87762
1991,Direct migration background,Disabled (> 30%),0.09717,190,2616,0.08582,0.10852
1991,Indirect migration background,Not Disabled (<= 30%),0.20046,339,339,0.15778,0.24314
1992,No migration background,Not Disabled (<= 30%),0.72781,9317,10275,0.71921,0.73642
1992,No migration background,Disabled (> 30%),0.09964,958,10275,0.09385,0.10543
1992,Direct migration background,Not Disabled (<= 30%),0.86072,2322,2536,0.84724,0.87420
1992,Direct migration background,Disabled (> 30%),0.11273,214,2536,0.10042,0.12505
1992,Indirect migration background,Not Disabled (<= 30%),0.24644,394,394,0.20383,0.28905
1994,No migration background,Not Disabled (<= 30%),0.72973,9068,9979,0.72102,0.73844
1994,No migration background,Disabled (> 30%),0.09607,911,9979,0.09029,0.10185
1994,Direct migration background,Not Disabled (<= 30%),0.85883,2120,2345,0.84474,0.87293
1994,Direct migration background,Disabled (> 30%),0.12365,225,2345,0.11032,0.13697
1994,Indirect migration background,Not Disabled (<= 30%),0.31982,478,478,0.27796,0.36167
1995,No migration background,Not Disabled (<= 30%),0.71551,8935,9909,0.70663,0.72439
1995,No migration background,Disabled (> 30%),0.10560,974,9909,0.09955,0.11165
1995,Direct migration background,Not Disabled (<= 30%),0.82789,2513,2756,0.81380,0.84199
1995,Direct migration background,Disabled (> 30%),0.10412,243,2756,0.09271,0.11552
1995,Indirect migration background,Not Disabled (<= 30%),0.31552,490,490,0.27433,0.35671
1996,No migration background,Not Disabled (<= 30%),0.72183,8888,9869,0.71299,0.73067
1996,No migration background,Disabled (> 30%),0.10739,981,9869,0.10128,0.11349
1996,Direct migration background,Not Disabled (<= 30%),0.82912,2349,2589,0.81462,0.84362
1996,Direct migration background,Disabled (> 30%),0.11266,240,2589,0.10047,0.12484
1996,Indirect migration background,Not Disabled (<= 30%),0.32812,530,530,0.28810,0.36813
1997,No migration background,Not Disabled (<= 30%),0.72198,8766,9739,0.71308,0.73088
1997,No migration background,Disabled (> 30%),0.10737,973,9739,0.10123,0.11352
1997,Direct migration background,Not Disabled (<= 30%),0.83876,2240,2462,0.82423,0.85329
1997,Direct migration background,Disabled (> 30%),0.10295,222,2462,0.09094,0.11496
1997,Indirect migration background,Not Disabled (<= 30%),0.35414,550,550,0.31414,0.39415
1998,No migration background,Not Disabled (<= 30%),0.72603,10033,11204,0.71777,0.73429
1998,No migration background,Disabled (> 30%),0.10879,1171,11204,0.10302,0.11456
1998,Direct migration background,Not Disabled (<= 30%),0.84062,2166,2392,0.82595,0.85529
1998,Direct migration background,Disabled (> 30%),0.10243,226,2392,0.09028,0.11459
1998,Indirect migration background,Not Disabled (<= 30%),0.38469,580,580,0.34506,0.42432
1999,No migration background,Not Disabled (<= 30%),0.72659,9693,10846,0.71820,0.73498
1999,No migration background,Disabled (> 30%),0.11262,1153,10846,0.10667,0.11857
1999,Direct migration background,Not Disabled (<= 30%),0.84166,1986,2200,0.82640,0.85692
1999,Direct migration background,Disabled (> 30%),0.10714,214,2200,0.09421,0.12007
1999,Indirect migration background,Not Disabled (<= 30%),0.39320,586,586,0.35362,0.43279
2000,No migration background,Not Disabled (<= 30%),0.73936,17811,19936,0.73327,0.74546
2000,No migration background,Disabled (> 30%),0.10232,2125,19936,0.09811,0.10652
2000,Direct migration background,Not Disabled (<= 30%),0.83611,3029,3300,0.82347,0.84874
2000,Direct migration background,Disabled (> 30%),0.08080,271,3300,0.07150,0.09010
2000,Indirect migration background,Not Disabled (<= 30%),0.38785,792,792,0.35389,0.42181
2001,No migration background,Not Disabled (<= 30%),0.74169,16270,18188,0.73533,0.74805
2001,No migration background,Disabled (> 30%),0.10232,1918,18188,0.09791,0.10672
2001,Direct migration background,Not Disabled (<= 30%),0.85276,2667,2913,0.83989,0.86563
2001,Direct migration background,Disabled (> 30%),0.08232,246,2913,0.07234,0.09230
2001,Indirect migration background,Not Disabled (<= 30%),0.36476,732,763,0.33059,0.39894
2001,Indirect migration background,Disabled (> 30%),0.01482,31,763,0.00624,0.02340
2002,No migration background,Not Disabled (<= 30%),0.73473,17326,19414,0.72852,0.74094
2002,No migration background,Disabled (> 30%),0.11090,2088,19414,0.10648,0.11532
2002,Direct migration background,Not Disabled (<= 30%),0.85740,2550,2794,0.84443,0.87037
2002,Direct migration background,Disabled (> 30%),0.08625,244,2794,0.07584,0.09667
2002,Indirect migration background,Not Disabled (<= 30%),0.36775,740,740,0.33299,0.40252
2003,No migration background,Not Disabled (<= 30%),0.73715,16690,18734,0.73085,0.74345
2003,No migration background,Disabled (> 30%),0.11030,2044,18734,0.10581,0.11479
2003,Direct migration background,Not Disabled (<= 30%),0.86062,2375,2616,0.84734,0.87389
2003,Direct migration background,Disabled (> 30%),0.08829,241,2616,0.07741,0.09916
2003,Indirect migration background,Not Disabled (<= 30%),0.39100,751,751,0.35608,0.42593
2004,No migration background,Not Disabled (<= 30%),0.73579,16187,18245,0.72939,0.74219
2004,No migration background,Disabled (> 30%),0.11492,2058,18245,0.11030,0.11955
2004,Direct migration background,Not Disabled (<= 30%),0.86423,2288,2532,0.85089,0.87758
2004,Direct migration background,Disabled (> 30%),0.09352,244,2532,0.08218,0.10487
2004,Indirect migration background,Not Disabled (<= 30%),0.41287,768,768,0.37802,0.44771
2005,No migration background,Not Disabled (<= 30%),0.73982,15444,17475,0.73332,0.74633
2005,No migration background,Disabled (> 30%),0.11420,2031,17475,0.10949,0.11892
2005,Direct migration background,Not Disabled (<= 30%),0.87049,2124,2361,0.85695,0.88404
2005,Direct migration background,Disabled (> 30%),0.09305,237,2361,0.08133,0.10477
2005,Indirect migration background,Not Disabled (<= 30%),0.45410,802,802,0.41962,0.48858
2006,No migration background,Not Disabled (<= 30%),0.73102,16483,18736,0.72467,0.73737
2006,No migration background,Disabled (> 30%),0.11628,2253,18736,0.11169,0.12087
2006,Direct migration background,Not Disabled (<= 30%),0.85303,2119,2373,0.83878,0.86728
2006,Direct migration background,Disabled (> 30%),0.10364,254,2373,0.09138,0.11591
2006,Indirect migration background,Not Disabled (<= 30%),0.44942,790,790,0.41471,0.48413
2007,No migration background,Not Disabled (<= 30%),0.73161,15436,17577,0.72506,0.73816
2007,No migration background,Disabled (> 30%),0.11652,2141,17577,0.11178,0.12126
2007,Direct migration background,Not Disabled (<= 30%),0.85772,1890,2116,0.84283,0.87261
2007,Direct migration background,Disabled (> 30%),0.10358,226,2116,0.09060,0.11657
2007,Indirect migration background,Not Disabled (<= 30%),0.46499,754,754,0.42937,0.50062
2008,No migration background,Not Disabled (<= 30%),0.73704,14596,16610,0.73035,0.74374
2008,No migration background,Disabled (> 30%),0.11487,2014,16610,0.11002,0.11972
2008,Direct migration background,Not Disabled (<= 30%),0.87150,1699,1903,0.85646,0.88654
2008,Direct migration background,Disabled (> 30%),0.10380,204,1903,0.09009,0.11750
2008,Indirect migration background,Not Disabled (<= 30%),0.48141,738,738,0.44533,0.51748
2009,No migration background,Not Disabled (<= 30%),0.73869,13692,15618,0.73180,0.74558
2009,No migration background,Disabled (> 30%),0.11518,1926,15618,0.11018,0.12019
2009,Direct migration background,Not Disabled (<= 30%),0.86745,1471,1653,0.85110,0.88381
2009,Direct migration background,Disabled (> 30%),0.10559,182,1653,0.09077,0.12041
2009,Indirect migration background,Not Disabled (<= 30%),0.52305,684,684,0.48559,0.56051
2010,No migration background,Not Disabled (<= 30%),0.74374,17850,19840,0.73767,0.74982
2010,No migration background,Disabled (> 30%),0.11623,1990,19840,0.11177,0.12069
