year,regtyp,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Urban regions,No,0.99725,7539,7539,0.99607,0.99844
2005,Rural regions,No,0.99794,3636,3636,0.99647,0.99941
2006,Urban regions,No,0.99556,8148,8148,0.99412,0.99700
2006,Rural regions,No,0.99676,4088,4088,0.99502,0.99850
2007,Urban regions,No,0.99404,7581,7581,0.99231,0.99577
2007,Rural regions,No,0.99463,3830,3830,0.99232,0.99695
2008,Urban regions,Yes,0.00881,39,7190,0.00665,0.01097
2008,Urban regions,No,0.99119,7151,7190,0.98903,0.99335
2008,Rural regions,No,0.99000,3605,3605,0.98675,0.99324
2009,Urban regions,Yes,0.00994,42,6699,0.00757,0.01232
2009,Urban regions,No,0.99006,6657,6699,0.98768,0.99243
2009,Rural regions,No,0.99005,3453,3453,0.98674,0.99336
2010,Urban regions,Yes,0.01434,68,9084,0.01190,0.01679
2010,Urban regions,No,0.98553,9016,9084,0.98308,0.98799
2010,Rural regions,Yes,0.01545,51,4711,0.01193,0.01897
2010,Rural regions,No,0.98453,4660,4711,0.98101,0.98806
2011,Urban regions,Yes,0.01789,123,10567,0.01536,0.02041
2011,Urban regions,No,0.95794,10444,10567,0.95412,0.96177
2011,Rural regions,Yes,0.01768,78,5736,0.01427,0.02110
2011,Rural regions,No,0.95592,5658,5736,0.95061,0.96124
2012,Urban regions,Yes,0.01952,136,10241,0.01684,0.02220
2012,Urban regions,No,0.95520,10105,10241,0.95119,0.95920
2012,Rural regions,Yes,0.01854,82,5720,0.01504,0.02204
2012,Rural regions,No,0.95460,5638,5720,0.94921,0.96000
2013,Urban regions,Yes,0.01807,152,11637,0.01565,0.02049
2013,Urban regions,No,0.95823,11485,11637,0.95460,0.96187
2013,Rural regions,Yes,0.01923,93,5887,0.01572,0.02273
2013,Rural regions,No,0.95190,5794,5887,0.94643,0.95736
2014,Urban regions,Yes,0.01788,152,10310,0.01532,0.02044
2014,Urban regions,No,0.97014,10158,10310,0.96686,0.97343
2014,Rural regions,Yes,0.01868,81,5363,0.01506,0.02230
2014,Rural regions,No,0.96260,5282,5363,0.95752,0.96768
2015,Urban regions,Yes,0.01791,147,10158,0.01533,0.02049
2015,Urban regions,No,0.95524,10011,10158,0.95122,0.95926
2015,Rural regions,Yes,0.01603,79,5217,0.01262,0.01944
2015,Rural regions,No,0.93883,5138,5217,0.93232,0.94533
2016,Urban regions,Yes,0.01856,135,9268,0.01582,0.02131
2016,Urban regions,No,0.96191,9133,9268,0.95802,0.96581
2016,Rural regions,Yes,0.01708,77,4824,0.01342,0.02073
2016,Rural regions,No,0.95132,4747,4824,0.94524,0.95739
2017,Urban regions,Yes,0.01963,149,11391,0.01708,0.02218
2017,Urban regions,No,0.96347,11242,11391,0.96002,0.96691
2017,Rural regions,Yes,0.01674,82,5897,0.01347,0.02002
2017,Rural regions,No,0.96182,5815,5897,0.95693,0.96671
2018,Urban regions,Yes,0.02006,179,11836,0.01754,0.02259
2018,Urban regions,No,0.97101,11657,11836,0.96799,0.97403
2018,Rural regions,Yes,0.01705,93,5878,0.01374,0.02036
2018,Rural regions,No,0.96160,5785,5878,0.95669,0.96652
2019,Urban regions,Yes,0.02429,177,11905,0.02152,0.02706
2019,Urban regions,No,0.96580,11728,11905,0.96254,0.96907
2019,Rural regions,Yes,0.01629,85,5914,0.01306,0.01952
2019,Rural regions,No,0.96744,5829,5914,0.96292,0.97197
2020,Urban regions,Yes,0.02274,179,13198,0.02020,0.02529
2020,Urban regions,No,0.95437,13019,13198,0.95081,0.95793
2020,Rural regions,Yes,0.01522,78,5852,0.01209,0.01836
2020,Rural regions,No,0.96386,5774,5852,0.95908,0.96864
2021,Urban regions,Yes,0.02044,129,8544,0.01744,0.02344
2021,Urban regions,No,0.96976,8415,8544,0.96613,0.97340
2021,Rural regions,Yes,0.01648,67,3909,0.01249,0.02047
2021,Rural regions,No,0.97462,3842,3909,0.96969,0.97955
2022,Urban regions,Yes,0.02055,192,13953,0.01819,0.02290
2022,Urban regions,No,0.96232,13761,13953,0.95916,0.96548
2022,Rural regions,Yes,0.02063,105,6227,0.01710,0.02417
2022,Rural regions,No,0.96265,6122,6227,0.95794,0.96736
