year,hhtyp,rentown,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Single-person household,Tenant,No,0.99555,2090,2090,0.99270,0.99841
2005,Couple without children,Owner,No,0.99964,1967,1967,0.99880,1.00048
2005,Couple without children,Tenant,No,0.99322,1714,1714,0.98934,0.99711
2005,Couple with children,Owner,No,0.99889,2282,2282,0.99752,1.00026
2005,Couple with children,Tenant,No,0.99956,1415,1415,0.99847,1.00065
2005,Multi-generational household,Owner,No,0.97739,74,74,0.94328,1.01149
2006,Single-person household,Tenant,No,0.99118,2317,2317,0.98737,0.99499
2006,Couple without children,Tenant,No,0.99304,1843,1843,0.98924,0.99684
2006,Single parent,Tenant,No,0.99564,545,545,0.99010,1.00118
2006,Couple with children,Owner,No,0.99925,2373,2373,0.99814,1.00035
2006,Couple with children,Tenant,No,0.99730,1457,1457,0.99463,0.99996
2007,Single-person household,Owner,No,0.99882,895,895,0.99657,1.00107
2007,Single-person household,Tenant,No,0.98972,2196,2196,0.98550,0.99394
2007,Couple without children,Owner,No,0.99945,2169,2169,0.99846,1.00044
2007,Couple without children,Tenant,No,0.98784,1695,1695,0.98262,0.99306
2007,Single parent,Owner,No,0.99060,209,209,0.97749,1.00371
2007,Single parent,Tenant,No,0.99575,498,498,0.99002,1.00147
2007,Couple with children,Owner,No,0.99912,2226,2226,0.99790,1.00035
2007,Couple with children,Tenant,No,0.99689,1343,1343,0.99391,0.99987
2008,Single-person household,Owner,No,0.99463,895,895,0.98984,0.99942
2008,Single-person household,Tenant,No,0.98316,2060,2060,0.97760,0.98872
2008,Couple without children,Owner,No,0.99766,2108,2108,0.99560,0.99973
2008,Couple without children,Tenant,No,0.99035,1613,1613,0.98558,0.99512
2008,Single parent,Tenant,No,0.98787,474,474,0.97800,0.99774
2008,Couple with children,Owner,No,0.99421,2066,2066,0.99094,0.99748
2008,Couple with children,Tenant,No,0.99177,1185,1185,0.98662,0.99692
2009,Single-person household,Owner,No,0.99519,864,864,0.99058,0.99981
2009,Single-person household,Tenant,Yes,0.02031,33,1981,0.01409,0.02652
2009,Single-person household,Tenant,No,0.97969,1948,1981,0.97348,0.98591
2009,Couple without children,Tenant,No,0.99095,1539,1539,0.98621,0.99568
2009,Single parent,Owner,No,0.99408,193,193,0.98322,1.00493
2009,Single parent,Tenant,No,0.99107,435,435,0.98222,0.99992
2009,Couple with children,Owner,No,0.99275,1910,1910,0.98895,0.99656
2009,Couple with children,Tenant,No,0.98977,1083,1083,0.98378,0.99577
2010,Single-person household,Owner,No,0.99477,852,852,0.98993,0.99962
2010,Single-person household,Tenant,Yes,0.02853,38,1841,0.02093,0.03614
2010,Single-person household,Tenant,No,0.97147,1803,1841,0.96386,0.97907
2010,Couple without children,Owner,No,0.99430,1908,1908,0.99093,0.99768
2010,Couple without children,Tenant,No,0.98839,1441,1441,0.98285,0.99392
2010,Single parent,Owner,No,0.98750,405,405,0.97666,0.99833
2010,Single parent,Tenant,No,0.98009,1426,1426,0.97283,0.98734
2010,Couple with children,Owner,No,0.99259,3035,3035,0.98954,0.99564
2010,Couple with children,Tenant,No,0.98439,2641,2641,0.97966,0.98912
2010,Multi-generational household,Owner,No,0.97920,63,63,0.94367,1.01472
2010,Multi-generational household,Tenant,No,0.99497,36,36,0.97152,1.01841
2011,Single-person household,Owner,No,0.97692,1061,1061,0.96788,0.98596
2011,Single-person household,Tenant,Yes,0.03012,61,2419,0.02331,0.03693
2011,Single-person household,Tenant,No,0.94828,2358,2419,0.93945,0.95710
2011,Couple without children,Owner,No,0.98256,2474,2474,0.97740,0.98772
2011,Couple without children,Tenant,Yes,0.02402,34,1839,0.01702,0.03102
2011,Couple without children,Tenant,No,0.96004,1805,1839,0.95109,0.96900
2011,Single parent,Owner,No,0.95583,499,499,0.93779,0.97388
2011,Single parent,Tenant,Yes,0.01988,32,1774,0.01338,0.02638
2011,Single parent,Tenant,No,0.96519,1742,1774,0.95666,0.97372
2011,Couple with children,Owner,No,0.93529,3367,3367,0.92697,0.94360
2011,Couple with children,Tenant,No,0.94296,2590,2590,0.93403,0.95190
2011,Multi-generational household,Owner,No,0.90397,72,72,0.83544,0.97251
2011,Multi-generational household,Tenant,No,0.96262,41,41,0.90384,1.02141
2011,Other Combinations,Owner,No,0.86480,43,43,0.76138,0.96821
2011,Other Combinations,Tenant,No,0.89404,50,50,0.80787,0.98022
2012,Single-person household,Owner,No,0.98077,1076,1076,0.97256,0.98898
2012,Single-person household,Tenant,Yes,0.03365,79,2555,0.02666,0.04065
2012,Single-person household,Tenant,No,0.94510,2476,2555,0.93627,0.95394
2012,Couple without children,Owner,No,0.97712,2513,2513,0.97127,0.98297
2012,Couple without children,Tenant,Yes,0.02544,39,1867,0.01829,0.03258
2012,Couple without children,Tenant,No,0.95254,1828,1867,0.94289,0.96218
2012,Single parent,Owner,No,0.96994,484,484,0.95471,0.98517
2012,Single parent,Tenant,No,0.95365,1629,1629,0.94344,0.96386
