year,regtyp,rentown,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Urban regions,Owner,No,0.99934,3335,3335,0.99847,1.00021
2005,Urban regions,Tenant,No,0.99600,4203,4203,0.99409,0.99791
2005,Rural regions,Owner,No,0.99913,2044,2044,0.99785,1.00041
2005,Rural regions,Tenant,No,0.99668,1592,1592,0.99385,0.99950
2006,Urban regions,Owner,No,0.99961,3707,3707,0.99897,1.00025
2006,Urban regions,Tenant,No,0.99312,4440,4440,0.99069,0.99555
2006,Rural regions,Tenant,No,0.99347,1793,1793,0.98974,0.99720
2007,Urban regions,Owner,No,0.99858,3466,3466,0.99732,0.99983
2007,Urban regions,Tenant,No,0.99115,4115,4115,0.98829,0.99401
2007,Rural regions,Owner,No,0.99942,2147,2147,0.99840,1.00044
2007,Rural regions,Tenant,No,0.98976,1683,1683,0.98495,0.99457
2008,Urban regions,Owner,No,0.99658,3302,3302,0.99458,0.99857
2008,Urban regions,Tenant,Yes,0.01237,32,3881,0.00889,0.01585
2008,Urban regions,Tenant,No,0.98763,3849,3881,0.98415,0.99111
2008,Rural regions,Owner,No,0.99471,2065,2065,0.99159,0.99784
2008,Rural regions,Tenant,No,0.98491,1540,1540,0.97882,0.99100
2009,Urban regions,Owner,No,0.99731,3094,3094,0.99549,0.99914
2009,Urban regions,Tenant,Yes,0.01500,36,3599,0.01103,0.01897
2009,Urban regions,Tenant,No,0.98500,3563,3599,0.98103,0.98897
2009,Rural regions,Owner,No,0.99431,1959,1959,0.99098,0.99764
2009,Rural regions,Tenant,No,0.98540,1494,1494,0.97931,0.99148
2010,Urban regions,Owner,No,0.99435,3819,3819,0.99197,0.99673
2010,Urban regions,Tenant,Yes,0.02070,54,5251,0.01685,0.02455
2010,Urban regions,Tenant,No,0.97908,5197,5251,0.97521,0.98295
2010,Rural regions,Owner,No,0.99225,2481,2481,0.98880,0.99570
2010,Rural regions,Tenant,Yes,0.02420,35,2214,0.01780,0.03060
2010,Rural regions,Tenant,No,0.97580,2179,2214,0.96940,0.98220
2011,Urban regions,Owner,No,0.96376,4499,4499,0.95830,0.96922
2011,Urban regions,Tenant,Yes,0.02443,98,6043,0.02054,0.02832
2011,Urban regions,Tenant,No,0.95367,5945,6043,0.94837,0.95897
2011,Rural regions,Owner,No,0.96556,3017,3017,0.95905,0.97207
2011,Rural regions,Tenant,Yes,0.02989,59,2700,0.02346,0.03631
2011,Rural regions,Tenant,No,0.94518,2641,2700,0.93659,0.95377
2012,Urban regions,Owner,No,0.96470,4401,4401,0.95925,0.97015
2012,Urban regions,Tenant,Yes,0.02766,117,5821,0.02345,0.03188
2012,Urban regions,Tenant,No,0.94815,5704,5821,0.94246,0.95385
2012,Rural regions,Owner,No,0.97122,2997,2997,0.96523,0.97721
2012,Rural regions,Tenant,Yes,0.02967,64,2705,0.02328,0.03607
2012,Rural regions,Tenant,No,0.93669,2641,2705,0.92751,0.94587
2013,Urban regions,Owner,No,0.97069,4572,4572,0.96581,0.97558
2013,Urban regions,Tenant,Yes,0.02744,138,7051,0.02362,0.03125
2013,Urban regions,Tenant,No,0.94905,6913,7051,0.94391,0.95418
2013,Rural regions,Owner,No,0.96350,2932,2932,0.95671,0.97029
2013,Rural regions,Tenant,Yes,0.02983,70,2932,0.02367,0.03598
2013,Rural regions,Tenant,No,0.93935,2862,2932,0.93071,0.94799
2014,Urban regions,Owner,No,0.98196,4212,4212,0.97794,0.98598
2014,Urban regions,Tenant,Yes,0.02887,138,6084,0.02466,0.03308
2014,Urban regions,Tenant,No,0.96130,5946,6084,0.95645,0.96614
2014,Rural regions,Owner,No,0.97324,2721,2721,0.96718,0.97930
2014,Rural regions,Tenant,Yes,0.02915,60,2621,0.02271,0.03559
2014,Rural regions,Tenant,No,0.95157,2561,2621,0.94335,0.95979
2015,Urban regions,Owner,No,0.97033,3937,3937,0.96503,0.97563
2015,Urban regions,Tenant,Yes,0.02945,133,6207,0.02524,0.03366
2015,Urban regions,Tenant,No,0.94379,6074,6207,0.93806,0.94952
2015,Rural regions,Owner,No,0.95328,2580,2580,0.94514,0.96143
2015,Rural regions,Tenant,Yes,0.02807,64,2622,0.02175,0.03440
2015,Rural regions,Tenant,No,0.92377,2558,2622,0.91361,0.93393
2016,Urban regions,Owner,No,0.98366,3705,3705,0.97957,0.98774
2016,Urban regions,Tenant,Yes,0.03144,128,5555,0.02686,0.03603
2016,Urban regions,Tenant,No,0.95466,5427,5555,0.94919,0.96013
2016,Rural regions,Owner,No,0.96854,2460,2460,0.96164,0.97544
2016,Rural regions,Tenant,Yes,0.03121,65,2352,0.02418,0.03824
2016,Rural regions,Tenant,No,0.94215,2287,2352,0.93271,0.95159
2017,Urban regions,Owner,No,0.98316,4197,4197,0.97927,0.98706
2017,Urban regions,Tenant,Yes,0.03319,141,7186,0.02905,0.03733
2017,Urban regions,Tenant,No,0.95086,7045,7186,0.94586,0.95586
2017,Rural regions,Owner,No,0.97859,2746,2746,0.97318,0.98401
2017,Rural regions,Tenant,Yes,0.03020,68,3137,0.02421,0.03619
2017,Rural regions,Tenant,No,0.94717,3069,3137,0.93934,0.95500
2018,Urban regions,Owner,No,0.99119,4038,4038,0.98831,0.99408
2018,Urban regions,Tenant,Yes,0.03474,174,7793,0.03067,0.03880
2018,Urban regions,Tenant,No,0.95515,7619,7793,0.95056,0.95975
2018,Rural regions,Owner,No,0.97423,2628,2628,0.96818,0.98029
2018,Rural regions,Tenant,Yes,0.02942,74,3231,0.02359,0.03525
2018,Rural regions,Tenant,No,0.94795,3157,3231,0.94029,0.95561
2019,Urban regions,Owner,No,0.98615,4694,4694,0.98281,0.98950
2019,Urban regions,Tenant,Yes,0.04164,171,7204,0.03703,0.04625
2019,Urban regions,Tenant,No,0.94963,7033,7204,0.94458,0.95468
2019,Rural regions,Owner,No,0.97724,2936,2936,0.97185,0.98264
2019,Rural regions,Tenant,Yes,0.02633,71,2964,0.02056,0.03210
2019,Rural regions,Tenant,No,0.95680,2893,2964,0.94948,0.96412
2020,Urban regions,Owner,No,0.97388,4195,4195,0.96906,0.97871
2020,Urban regions,Tenant,Yes,0.03922,168,8992,0.03521,0.04323
2020,Urban regions,Tenant,No,0.93908,8824,8992,0.93414,0.94402
2020,Rural regions,Owner,No,0.97729,2639,2639,0.97160,0.98297
2020,Rural regions,Tenant,Yes,0.02719,69,3204,0.02156,0.03282
2020,Rural regions,Tenant,No,0.94927,3135,3204,0.94167,0.95687
2021,Urban regions,Owner,No,0.98097,3090,3090,0.97615,0.98579
2021,Urban regions,Tenant,Yes,0.03248,109,5431,0.02776,0.03719
2021,Urban regions,Tenant,No,0.96121,5322,5431,0.95608,0.96635
2021,Rural regions,Owner,No,0.98557,1927,1927,0.98025,0.99090
2021,Rural regions,Tenant,Yes,0.02413,43,1957,0.01733,0.03094
2021,Rural regions,Tenant,No,0.96261,1914,1957,0.95420,0.97101
2022,Urban regions,Owner,Yes,0.00849,39,4637,0.00585,0.01113
2022,Urban regions,Owner,No,0.97581,4598,4637,0.97139,0.98023
2022,Urban regions,Tenant,Yes,0.02993,153,9310,0.02647,0.03340
2022,Urban regions,Tenant,No,0.95227,9157,9310,0.94794,0.95660
2022,Rural regions,Owner,No,0.98368,3104,3104,0.97922,0.98813
2022,Rural regions,Tenant,Yes,0.03903,83,3097,0.03221,0.04585
2022,Rural regions,Tenant,No,0.93906,3014,3097,0.93063,0.94748
