year,hhtyp,sampreg,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Single-person household,West,No,0.99624,2185,2185,0.99367,0.99881
2005,Single-person household,East,No,0.99909,713,713,0.99687,1.00131
2005,Couple without children,West,No,0.99647,2770,2770,0.99427,0.99868
2005,Couple without children,East,No,0.99669,911,911,0.99296,1.00042
2005,Couple with children,West,No,0.99934,2868,2868,0.99840,1.00028
2005,Couple with children,East,No,0.99840,829,829,0.99568,1.00112
2006,Single-person household,West,No,0.99333,2460,2460,0.99011,0.99654
2006,Single-person household,East,No,0.99496,814,814,0.99010,0.99983
2006,Couple without children,West,No,0.99580,3125,3125,0.99353,0.99807
2006,Single parent,West,No,0.99587,580,580,0.99064,1.00109
2006,Couple with children,West,No,0.99839,2979,2979,0.99695,0.99983
2006,Couple with children,East,No,0.99831,852,852,0.99554,1.00107
2007,Single-person household,West,No,0.99160,2331,2331,0.98789,0.99530
2007,Single-person household,East,No,0.99514,760,760,0.99019,1.00009
2007,Couple without children,West,No,0.99268,2875,2875,0.98956,0.99579
2007,Couple without children,East,No,0.99935,989,989,0.99776,1.00094
2007,Single parent,West,No,0.99427,523,523,0.98780,1.00075
2007,Single parent,East,No,0.99556,184,184,0.98594,1.00519
2007,Couple with children,West,No,0.99792,2787,2787,0.99622,0.99961
2007,Couple with children,East,No,0.99940,782,782,0.99769,1.00112
2007,Multi-generational household,West,No,0.95987,70,70,0.91357,1.00618
2008,Single-person household,West,No,0.98553,2215,2215,0.98056,0.99050
2008,Single-person household,East,No,0.99074,740,740,0.98383,0.99764
2008,Couple without children,West,No,0.99328,2746,2746,0.99022,0.99633
2008,Couple without children,East,No,0.99827,975,975,0.99566,1.00088
2008,Single parent,West,No,0.99153,503,503,0.98351,0.99955
2008,Single parent,East,No,0.98794,172,172,0.97159,1.00430
2008,Couple with children,West,No,0.99273,2536,2536,0.98943,0.99604
2008,Couple with children,East,No,0.99571,715,715,0.99091,1.00050
2009,Single-person household,West,No,0.98581,2097,2097,0.98075,0.99087
2009,Single-person household,East,No,0.97813,715,715,0.96740,0.98885
2009,Couple without children,West,No,0.99498,2591,2591,0.99226,0.99770
2009,Couple without children,East,No,0.99945,950,950,0.99797,1.00094
2009,Single parent,West,No,0.99316,459,459,0.98562,1.00071
2009,Single parent,East,No,0.98715,169,169,0.97012,1.00418
2009,Couple with children,West,No,0.99088,2320,2320,0.98701,0.99475
2009,Couple with children,East,No,0.99516,673,673,0.98991,1.00041
2009,Multi-generational household,West,No,0.99137,49,49,0.96521,1.01754
2010,Single-person household,West,Yes,0.02137,32,2017,0.01506,0.02768
2010,Single-person household,West,No,0.97863,1985,2017,0.97232,0.98494
2010,Single-person household,East,No,0.97988,670,670,0.96923,0.99052
2010,Couple without children,West,No,0.99088,2458,2458,0.98712,0.99464
2010,Couple without children,East,No,0.99497,891,891,0.99032,0.99962
2010,Single parent,West,No,0.97927,1423,1423,0.97186,0.98667
2010,Single parent,East,No,0.99399,408,408,0.98648,1.00150
2010,Couple with children,West,No,0.98925,4553,4553,0.98625,0.99225
2010,Couple with children,East,No,0.99031,1123,1123,0.98457,0.99604
2010,Multi-generational household,West,No,0.98099,77,77,0.95030,1.01169
2011,Single-person household,West,Yes,0.02479,49,2619,0.01883,0.03075
2011,Single-person household,West,No,0.96036,2570,2619,0.95288,0.96783
2011,Single-person household,East,No,0.94396,849,849,0.92848,0.95944
2011,Couple without children,West,Yes,0.01450,33,3260,0.01039,0.01860
2011,Couple without children,West,No,0.97549,3227,3260,0.97018,0.98080
2011,Couple without children,East,No,0.96155,1052,1052,0.94992,0.97317
2011,Single parent,West,No,0.96738,1738,1738,0.95902,0.97573
2011,Single parent,East,No,0.94379,503,503,0.92364,0.96394
2011,Couple with children,West,No,0.94023,4819,4819,0.93354,0.94693
2011,Couple with children,East,No,0.92741,1138,1138,0.91233,0.94249
2011,Multi-generational household,West,No,0.91144,87,87,0.85140,0.97149
2011,Other Combinations,West,No,0.89376,76,76,0.82402,0.96350
2012,Single-person household,West,Yes,0.02557,59,2723,0.01964,0.03150
2012,Single-person household,West,No,0.96030,2664,2723,0.95297,0.96764
2012,Single-person household,East,Yes,0.03240,31,919,0.02094,0.04385
2012,Single-person household,East,No,0.93852,888,919,0.92299,0.95406
2012,Couple without children,West,Yes,0.01442,33,3296,0.01035,0.01849
2012,Couple without children,West,No,0.96869,3263,3296,0.96275,0.97464
2012,Couple without children,East,No,0.95704,1078,1078,0.94493,0.96915
2012,Single parent,West,No,0.96283,1629,1629,0.95364,0.97202
2012,Single parent,East,No,0.93820,484,484,0.91672,0.95967
