year,hhtyp,hlc0061_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2005,Single-person household,No,0.99677,2898,2898,0.99471,0.99884
2005,Couple without children,No,0.99652,3681,3681,0.99461,0.99842
2005,Couple with children,No,0.99918,3697,3697,0.99826,1.00010
2005,Multi-generational household,No,0.98574,105,105,0.96296,1.00853
2006,Single-person household,No,0.99364,3274,3274,0.99092,0.99637
2006,Couple without children,No,0.99663,4151,4151,0.99486,0.99839
2006,Single parent,No,0.99664,770,770,0.99255,1.00073
2006,Couple with children,No,0.99837,3831,3831,0.99710,0.99965
2007,Single-person household,No,0.99228,3091,3091,0.98919,0.99536
2007,Couple without children,No,0.99402,3864,3864,0.99158,0.99645
2007,Single parent,No,0.99453,707,707,0.98909,0.99997
2007,Couple with children,No,0.99816,3569,3569,0.99675,0.99957
2007,Multi-generational household,No,0.96539,89,89,0.92720,1.00358
2008,Single-person household,Yes,0.01348,31,2986,0.00934,0.01762
2008,Single-person household,No,0.98652,2955,2986,0.98238,0.99066
2008,Couple without children,No,0.99429,3721,3721,0.99187,0.99671
2008,Single parent,No,0.99080,675,675,0.98360,0.99801
2008,Couple with children,No,0.99320,3251,3251,0.99038,0.99603
2009,Single-person household,Yes,0.01562,35,2847,0.01107,0.02018
2009,Single-person household,No,0.98438,2812,2847,0.97982,0.98893
2009,Couple without children,No,0.99589,3541,3541,0.99378,0.99799
2009,Single parent,No,0.99183,628,628,0.98478,0.99888
2009,Couple with children,No,0.99158,2993,2993,0.98831,0.99485
2009,Multi-generational household,No,0.99365,65,65,0.97418,1.01311
2010,Single-person household,Yes,0.02113,43,2698,0.01571,0.02656
2010,Single-person household,No,0.97887,2655,2698,0.97344,0.98429
2010,Couple without children,No,0.99170,3349,3349,0.98862,0.99477
2010,Single parent,No,0.98194,1831,1831,0.97583,0.98804
2010,Couple with children,Yes,0.01019,33,5709,0.00758,0.01279
2010,Couple with children,No,0.98941,5676,5709,0.98676,0.99207
2010,Multi-generational household,No,0.98282,99,99,0.95709,1.00855
2010,Other Combinations,No,0.95812,66,66,0.90942,1.00682
2011,Single-person household,Yes,0.02429,71,3490,0.01918,0.02940
2011,Single-person household,No,0.95720,3419,3490,0.95048,0.96392
2011,Couple without children,Yes,0.01425,51,4330,0.01072,0.01778
2011,Couple without children,No,0.97283,4279,4330,0.96798,0.97767
2011,Single parent,Yes,0.01938,39,2280,0.01372,0.02504
2011,Single parent,No,0.96275,2241,2280,0.95498,0.97053
2011,Couple with children,Yes,0.00864,33,5990,0.00629,0.01098
2011,Couple with children,No,0.93827,5957,5990,0.93218,0.94437
2011,Multi-generational household,No,0.92313,113,113,0.87379,0.97246
2011,Other Combinations,No,0.88038,93,93,0.81407,0.94670
2012,Single-person household,Yes,0.02691,90,3642,0.02165,0.03216
2012,Single-person household,No,0.95603,3552,3642,0.94938,0.96269
2012,Couple without children,Yes,0.01430,51,4392,0.01078,0.01781
2012,Couple without children,No,0.96647,4341,4392,0.96115,0.97180
2012,Single parent,No,0.95796,2113,2113,0.94940,0.96652
2012,Couple with children,Yes,0.01099,38,5575,0.00825,0.01373
2012,Couple with children,No,0.93810,5537,5575,0.93177,0.94442
2012,Multi-generational household,No,0.96660,110,110,0.93286,1.00033
2012,Other Combinations,No,0.89194,90,90,0.82745,0.95644
2013,Single-person household,Yes,0.02708,100,3790,0.02191,0.03225
2013,Single-person household,No,0.95402,3690,3790,0.94735,0.96069
2013,Couple without children,Yes,0.01166,54,4577,0.00855,0.01477
2013,Couple without children,No,0.97029,4523,4577,0.96538,0.97521
2013,Single parent,Yes,0.01921,32,2214,0.01349,0.02493
2013,Single parent,No,0.96469,2182,2214,0.95700,0.97238
2013,Couple with children,Yes,0.00881,41,6446,0.00653,0.01109
2013,Couple with children,No,0.94015,6405,6446,0.93436,0.94594
2013,Multi-generational household,No,0.92209,135,135,0.87671,0.96748
2013,Other Combinations,No,0.94302,344,344,0.91848,0.96755
2014,Single-person household,Yes,0.02709,87,3531,0.02173,0.03245
2014,Single-person household,No,0.96044,3444,3531,0.95401,0.96687
2014,Couple without children,Yes,0.01130,58,4320,0.00815,0.01445
2014,Couple without children,No,0.97452,4262,4320,0.96982,0.97922
2014,Single parent,Yes,0.02380,33,1804,0.01676,0.03083
2014,Single parent,No,0.96945,1771,1804,0.96150,0.97739
2014,Couple with children,Yes,0.00505,33,5639,0.00320,0.00690
2014,Couple with children,No,0.97648,5606,5639,0.97252,0.98044
2014,Multi-generational household,No,0.86391,110,110,0.79954,0.92828
2014,Other Combinations,No,0.92573,247,247,0.89296,0.95850
2015,Single-person household,Yes,0.02571,84,3547,0.02050,0.03092
2015,Single-person household,No,0.94292,3463,3547,0.93528,0.95056
2015,Couple without children,Yes,0.01148,54,4292,0.00829,0.01466
2015,Couple without children,No,0.96449,4238,4292,0.95895,0.97002
2015,Single parent,No,0.94927,1639,1639,0.93864,0.95989
2015,Couple with children,Yes,0.00484,35,5488,0.00301,0.00668
