year,migback,quintil_oecd,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,No migration background,1st Quintile,Yes,0.04803,64,1639,0.03767,0.05838
1999,No migration background,1st Quintile,No,0.95197,1575,1639,0.94162,0.96233
1999,No migration background,2nd Quintile,Yes,0.05366,95,2052,0.04391,0.06341
1999,No migration background,2nd Quintile,No,0.94634,1957,2052,0.93659,0.95609
1999,No migration background,3rd Quintile,Yes,0.07394,149,2125,0.06281,0.08507
1999,No migration background,3rd Quintile,No,0.92606,1976,2125,0.91493,0.93719
1999,No migration background,4th Quintile,Yes,0.11268,218,2038,0.09894,0.12641
1999,No migration background,4th Quintile,No,0.88732,1820,2038,0.87359,0.90106
1999,No migration background,5th Quintile,Yes,0.22271,340,1745,0.20319,0.24224
1999,No migration background,5th Quintile,No,0.77729,1405,1745,0.75776,0.79681
1999,Direct migration background,1st Quintile,No,0.97960,695,695,0.96909,0.99012
1999,Direct migration background,2nd Quintile,No,0.98512,569,569,0.97516,0.99507
1999,Direct migration background,3rd Quintile,No,0.96360,374,374,0.94460,0.98261
1999,Direct migration background,4th Quintile,No,0.92662,291,291,0.89661,0.95663
1999,Direct migration background,5th Quintile,No,0.82609,138,138,0.76262,0.88956
1999,Indirect migration background,1st Quintile,No,0.95268,176,176,0.92122,0.98414
1999,Indirect migration background,2nd Quintile,No,0.94378,134,134,0.90463,0.98293
1999,Indirect migration background,3rd Quintile,No,0.95816,105,105,0.91968,0.99664
1999,Indirect migration background,4th Quintile,No,0.95798,95,95,0.91742,0.99854
1999,Indirect migration background,5th Quintile,No,0.80774,33,33,0.67120,0.94428
2000,No migration background,1st Quintile,Yes,0.04393,60,1639,0.03401,0.05386
2000,No migration background,1st Quintile,No,0.95607,1579,1639,0.94614,0.96599
2000,No migration background,2nd Quintile,Yes,0.05714,107,1968,0.04688,0.06740
2000,No migration background,2nd Quintile,No,0.94286,1861,1968,0.93260,0.95312
2000,No migration background,3rd Quintile,Yes,0.08017,157,2106,0.06857,0.09177
2000,No migration background,3rd Quintile,No,0.91983,1949,2106,0.90823,0.93143
2000,No migration background,4th Quintile,Yes,0.11258,207,1995,0.09870,0.12645
2000,No migration background,4th Quintile,No,0.88742,1788,1995,0.87355,0.90130
2000,No migration background,5th Quintile,Yes,0.22801,329,1639,0.20769,0.24833
2000,No migration background,5th Quintile,No,0.77199,1310,1639,0.75167,0.79231
2000,Direct migration background,1st Quintile,No,0.98523,710,710,0.97636,0.99411
2000,Direct migration background,2nd Quintile,No,0.97607,504,504,0.96271,0.98942
2000,Direct migration background,3rd Quintile,No,0.96179,320,320,0.94075,0.98282
2000,Direct migration background,4th Quintile,No,0.95548,272,272,0.93092,0.98003
2000,Direct migration background,5th Quintile,No,0.82987,146,146,0.76871,0.89103
