"ple0098_v5","year","bildungsniveau","quintil_oecd","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1999","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","8","","",""
"Ja","1999","(noch) kein Abschluss","2","7","","",""
"Ja","1999","(noch) kein Abschluss","3","3","","",""
"Ja","1999","(noch) kein Abschluss","4","4","","",""
"Ja","1999","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","7","","",""
"Ja","1999","Hauptschule","1 Einkommensschwächstes Quintil","39","0.0264010787477288","0.0190495155397145","0.0337526419557431"
"Ja","1999","Hauptschule","2","83","0.0475043487610818","0.037964761334295","0.0570439361878686"
"Ja","1999","Hauptschule","3","68","0.0723211832959273","0.0565563169073659","0.0880860496844888"
"Ja","1999","Hauptschule","4","71","0.110764606169931","0.0870536300602819","0.13447558227958"
"Ja","1999","Hauptschule","5 Einkommensstärkstes Quintil","46","0.229208846499832","0.175468778895227","0.282948914104436"
"Ja","1999","Realschule","1 Einkommensschwächstes Quintil","48","0.06286744741515","0.0468849495293843","0.0788499453009157"
"Ja","1999","Realschule","2","67","0.0790588960700541","0.0620695171005415","0.0960482750395666"
"Ja","1999","Realschule","3","59","0.118855502467805","0.0923580578569316","0.145352947078679"
"Ja","1999","Realschule","4","77","0.193745886086387","0.157147553398389","0.230344218774385"
"Ja","1999","Realschule","5 Einkommensstärkstes Quintil","54","0.324847196457529","0.257362884241893","0.392331508673165"
"Ja","1999","(Fach-)Abitur","1 Einkommensschwächstes Quintil","12","","",""
"Ja","1999","(Fach-)Abitur","2","25","","",""
"Ja","1999","(Fach-)Abitur","3","22","","",""
"Ja","1999","(Fach-)Abitur","4","25","","",""
"Ja","1999","(Fach-)Abitur","5 Einkommensstärkstes Quintil","15","","",""
"Ja","1999","AkademikerIn","1 Einkommensschwächstes Quintil","8","","",""
"Ja","1999","AkademikerIn","2","35","0.123788302365052","0.0909335070701071","0.156643097659997"
"Ja","1999","AkademikerIn","3","28","","",""
"Ja","1999","AkademikerIn","4","45","0.187451199663507","0.144556525829967","0.230345873497047"
"Ja","1999","AkademikerIn","5 Einkommensstärkstes Quintil","56","0.288640292339991","0.230332418194847","0.346948166485135"
"Nein","1999","(noch) kein Abschluss","1 Einkommensschwächstes Quintil","332","0.975139933066653","0.958590114000975","0.99168975213233"
"Nein","1999","(noch) kein Abschluss","2","229","0.962967113500858","0.938874073623991","0.987060153377725"
"Nein","1999","(noch) kein Abschluss","3","76","0.941934826598631","0.890364149168283","0.993505504028979"
"Nein","1999","(noch) kein Abschluss","4","44","0.912447827012392","0.832489268205004","0.992406385819779"
"Nein","1999","(noch) kein Abschluss","5 Einkommensstärkstes Quintil","20","","",""
"Nein","1999","Hauptschule","1 Einkommensschwächstes Quintil","1788","0.973598921252271","0.966247358044257","0.980950484460285"
"Nein","1999","Hauptschule","2","1827","0.952495651238918","0.942956063812131","0.962035238665705"
"Nein","1999","Hauptschule","3","969","0.927678816704073","0.911913950315511","0.943443683092634"
"Nein","1999","Hauptschule","4","602","0.889235393830069","0.865524417720421","0.912946369939718"
