year,regtyp,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Urban regions,Yes,0.10284,671,7876,0.09613,0.10955
1999,Urban regions,No,0.89716,7205,7876,0.89045,0.90387
1999,Rural regions,Yes,0.07127,272,4410,0.06368,0.07887
1999,Rural regions,No,0.92873,4138,4410,0.92113,0.93632
2000,Urban regions,Yes,0.10886,1409,13740,0.10365,0.11407
2000,Urban regions,No,0.89114,12331,13740,0.88593,0.89635
2000,Rural regions,Yes,0.06751,461,7598,0.06187,0.07315
2000,Rural regions,No,0.93249,7137,7598,0.92685,0.93813
2001,Urban regions,Yes,0.10961,1252,12468,0.10413,0.11510
2001,Urban regions,No,0.89039,11216,12468,0.88490,0.89587
2001,Rural regions,Yes,0.07265,467,6916,0.06653,0.07876
2001,Rural regions,No,0.92735,6449,6916,0.92124,0.93347
2002,Urban regions,Yes,0.11576,1614,12727,0.11020,0.12132
2002,Urban regions,No,0.88424,11113,12727,0.87868,0.88980
2002,Rural regions,Yes,0.07742,578,6835,0.07108,0.08376
2002,Rural regions,No,0.92258,6257,6835,0.91624,0.92892
2003,Urban regions,Yes,0.11593,1567,12288,0.11026,0.12159
2003,Urban regions,No,0.88407,10721,12288,0.87841,0.88974
2003,Rural regions,Yes,0.08118,573,6549,0.07456,0.08779
2003,Rural regions,No,0.91882,5976,6549,0.91221,0.92544
2004,Urban regions,Yes,0.12484,1639,11942,0.11891,0.13077
2004,Urban regions,No,0.87516,10303,11942,0.86923,0.88109
2004,Rural regions,Yes,0.08680,600,6389,0.07989,0.09370
2004,Rural regions,No,0.91320,5789,6389,0.90630,0.92011
2005,Urban regions,Yes,0.13691,1657,11402,0.13060,0.14322
2005,Urban regions,No,0.86309,9745,11402,0.85678,0.86940
2005,Rural regions,Yes,0.10007,661,6094,0.09254,0.10761
2005,Rural regions,No,0.89993,5433,6094,0.89239,0.90746
2006,Urban regions,Yes,0.15330,2047,12005,0.14685,0.15974
2006,Urban regions,No,0.84670,9958,12005,0.84026,0.85315
2006,Rural regions,Yes,0.12000,819,6576,0.11215,0.12786
2006,Rural regions,No,0.88000,5757,6576,0.87214,0.88785
2007,Urban regions,Yes,0.17176,2094,11169,0.16476,0.17875
2007,Urban regions,No,0.82824,9075,11169,0.82125,0.83524
2007,Rural regions,Yes,0.12933,821,6147,0.12094,0.13772
2007,Rural regions,No,0.87067,5326,6147,0.86228,0.87906
2008,Urban regions,Yes,0.20127,2295,10616,0.19365,0.20890
2008,Urban regions,No,0.79873,8321,10616,0.79110,0.80635
2008,Rural regions,Yes,0.15359,897,5851,0.14435,0.16283
2008,Rural regions,No,0.84641,4954,5851,0.83717,0.85565
2010,Urban regions,Yes,0.21977,2954,13262,0.21273,0.22682
2010,Urban regions,No,0.78023,10308,13262,0.77318,0.78727
2010,Rural regions,Yes,0.16064,1264,7415,0.15228,0.16900
2010,Rural regions,No,0.83936,6151,7415,0.83100,0.84772
2011,Urban regions,Yes,0.23106,2692,11175,0.22324,0.23887
2011,Urban regions,No,0.76894,8483,11175,0.76113,0.77676
2011,Rural regions,Yes,0.17250,1166,6461,0.16328,0.18171
2011,Rural regions,No,0.82750,5295,6461,0.81829,0.83672
2012,Urban regions,Yes,0.23795,3637,14867,0.23111,0.24480
2012,Urban regions,No,0.76205,11230,14867,0.75520,0.76889
2012,Rural regions,Yes,0.17566,1715,9009,0.16780,0.18352
2012,Rural regions,No,0.82434,7294,9009,0.81648,0.83220
2013,Urban regions,Yes,0.26633,2757,10088,0.25770,0.27495
2013,Urban regions,No,0.73367,7331,10088,0.72505,0.74230
2013,Rural regions,Yes,0.19943,1229,5978,0.18930,0.20956
2013,Rural regions,No,0.80057,4749,5978,0.79044,0.81070
2014,Urban regions,Yes,0.24914,3609,15275,0.24228,0.25600
2014,Urban regions,No,0.75086,11666,15275,0.74400,0.75772
2014,Rural regions,Yes,0.21358,1757,8440,0.20483,0.22232
2014,Rural regions,No,0.78642,6683,8440,0.77768,0.79517
2016,Urban regions,Yes,0.22301,2946,13620,0.21601,0.23000
2016,Urban regions,No,0.77699,10674,13620,0.77000,0.78399
2016,Rural regions,Yes,0.19616,1398,7583,0.18723,0.20510
2016,Rural regions,No,0.80384,6185,7583,0.79490,0.81277
2018,Urban regions,Yes,0.22844,3141,14460,0.22160,0.23528
2018,Urban regions,No,0.77156,11319,14460,0.76472,0.77840
2018,Rural regions,Yes,0.21090,1645,8038,0.20198,0.21982
2018,Rural regions,No,0.78910,6393,8038,0.78018,0.79802
2020,Urban regions,Yes,0.23346,3271,14416,0.22656,0.24037
2020,Urban regions,No,0.76654,11145,14416,0.75963,0.77344
2020,Rural regions,Yes,0.21545,1568,7583,0.20619,0.22470
2020,Rural regions,No,0.78455,6015,7583,0.77530,0.79381
2022,Urban regions,Yes,0.27071,3733,15047,0.26361,0.27781
2022,Urban regions,No,0.72929,11314,15047,0.72219,0.73639
2022,Rural regions,Yes,0.23606,1769,7343,0.22634,0.24577
2022,Rural regions,No,0.76394,5574,7343,0.75423,0.77366
