year,age_gr,sampreg,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,17-29 y.,West,Yes,0.07813,141,1954,0.06623,0.09003
1999,17-29 y.,West,No,0.82071,1813,1954,0.80370,0.83773
1999,17-29 y.,East,Yes,0.05793,45,778,0.04151,0.07436
1999,17-29 y.,East,No,0.87160,733,778,0.84807,0.89512
1999,30-45 y.,West,Yes,0.09952,321,3038,0.08887,0.11017
1999,30-45 y.,West,No,0.75332,2717,3038,0.73799,0.76865
1999,30-45 y.,East,Yes,0.05165,56,1135,0.03877,0.06453
1999,30-45 y.,East,No,0.86457,1079,1135,0.84466,0.88449
1999,46-65 y.,West,Yes,0.09726,230,2530,0.08571,0.10881
1999,46-65 y.,West,No,0.74615,2300,2530,0.72919,0.76312
1999,46-65 y.,East,Yes,0.04076,45,1195,0.02955,0.05198
1999,46-65 y.,East,No,0.92361,1150,1195,0.90854,0.93868
1999,66 and older,West,Yes,0.07892,96,1172,0.06348,0.09437
1999,66 and older,West,No,0.80528,1076,1172,0.78260,0.82796
1999,66 and older,East,No,0.98778,475,475,0.97789,0.99767
2000,17-29 y.,West,Yes,0.07333,235,3047,0.06407,0.08259
2000,17-29 y.,West,No,0.82271,2812,3047,0.80915,0.83627
2000,17-29 y.,East,Yes,0.04851,55,1114,0.03589,0.06113
2000,17-29 y.,East,No,0.87504,1059,1114,0.85561,0.89447
2000,30-45 y.,West,Yes,0.09771,608,5495,0.08986,0.10556
2000,30-45 y.,West,No,0.76038,4887,5495,0.74910,0.77167
2000,30-45 y.,East,Yes,0.05048,84,1667,0.03997,0.06099
2000,30-45 y.,East,No,0.85703,1583,1667,0.84022,0.87384
2000,46-65 y.,West,Yes,0.11069,591,4872,0.10188,0.11950
2000,46-65 y.,West,No,0.72832,4281,4872,0.71583,0.74081
2000,46-65 y.,East,Yes,0.04442,74,1850,0.03503,0.05381
2000,46-65 y.,East,No,0.90638,1776,1850,0.89311,0.91966
2000,66 and older,West,Yes,0.08142,218,2423,0.07053,0.09232
2000,66 and older,West,No,0.80942,2205,2423,0.79378,0.82506
2000,66 and older,East,No,0.98770,865,865,0.98035,0.99505
2001,17-29 y.,West,Yes,0.07426,200,2686,0.06435,0.08418
2001,17-29 y.,West,No,0.82282,2486,2686,0.80838,0.83726
2001,17-29 y.,East,Yes,0.06579,71,1028,0.05063,0.08095
2001,17-29 y.,East,No,0.85565,957,1028,0.83415,0.87714
