year,migback,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,No migration background,Yes,0.07448,866,9599,0.06922,0.07973
1999,No migration background,No,0.65687,8733,9599,0.64737,0.66637
1999,Direct migration background,Yes,0.04076,53,2120,0.03234,0.04918
1999,Direct migration background,No,0.84810,2067,2120,0.83282,0.86339
1999,Indirect migration background,No,0.35536,543,543,0.31506,0.39565
2000,No migration background,Yes,0.07681,1717,17431,0.07285,0.08076
2000,No migration background,No,0.65724,15714,17431,0.65020,0.66429
2000,Direct migration background,Yes,0.03697,110,3140,0.03036,0.04357
2000,Direct migration background,No,0.82215,3030,3140,0.80878,0.83553
2000,Indirect migration background,Yes,0.02793,43,767,0.01626,0.03960
2000,Indirect migration background,No,0.34327,724,767,0.30964,0.37689
2001,No migration background,Yes,0.07856,1592,15916,0.07438,0.08274
2001,No migration background,No,0.65656,14324,15916,0.64918,0.66394
2001,Direct migration background,Yes,0.03303,77,2754,0.02635,0.03971
2001,Direct migration background,No,0.83921,2677,2754,0.82549,0.85293
2001,Indirect migration background,Yes,0.03597,50,714,0.02230,0.04964
2001,Indirect migration background,No,0.31536,664,714,0.28125,0.34947
2002,No migration background,Yes,0.08435,2036,16246,0.08008,0.08863
2002,No migration background,No,0.65604,14210,16246,0.64873,0.66334
2002,Direct migration background,Yes,0.03992,105,2611,0.03241,0.04743
2002,Direct migration background,No,0.85185,2506,2611,0.83822,0.86548
2002,Indirect migration background,Yes,0.02551,51,705,0.01387,0.03716
2002,Indirect migration background,No,0.33143,654,705,0.29666,0.36620
2003,No migration background,Yes,0.08564,1988,15674,0.08125,0.09002
2003,No migration background,No,0.65325,13686,15674,0.64580,0.66070
2003,Direct migration background,Yes,0.03622,93,2452,0.02882,0.04361
2003,Direct migration background,No,0.85707,2359,2452,0.84321,0.87092
2003,Indirect migration background,Yes,0.03254,59,711,0.01949,0.04560
2003,Indirect migration background,No,0.33814,652,711,0.30334,0.37294
2004,No migration background,Yes,0.09253,2077,15229,0.08792,0.09713
2004,No migration background,No,0.64696,13152,15229,0.63937,0.65455
2004,Direct migration background,Yes,0.03879,103,2375,0.03103,0.04656
2004,Direct migration background,No,0.86753,2272,2375,0.85390,0.88117
2004,Indirect migration background,Yes,0.03802,59,727,0.02411,0.05193
2004,Indirect migration background,No,0.35792,668,727,0.32305,0.39280
2005,No migration background,Yes,0.10269,2137,14549,0.09775,0.10762
2005,No migration background,No,0.63677,12412,14549,0.62895,0.64458
2005,Direct migration background,Yes,0.04804,113,2196,0.03909,0.05698
2005,Direct migration background,No,0.85333,2083,2196,0.83853,0.86813
2005,Indirect migration background,Yes,0.04081,68,751,0.02665,0.05497
2005,Indirect migration background,No,0.39754,683,751,0.36252,0.43257
2006,No migration background,Yes,0.11537,2643,15639,0.11036,0.12038
2006,No migration background,No,0.61710,12996,15639,0.60948,0.62471
2006,Direct migration background,Yes,0.05608,139,2206,0.04648,0.06569
2006,Direct migration background,No,0.84449,2067,2206,0.82937,0.85962
2006,Indirect migration background,Yes,0.05156,84,736,0.03558,0.06755
2006,Indirect migration background,No,0.38169,652,736,0.34657,0.41682
2007,No migration background,Yes,0.12769,2691,14635,0.12228,0.13310
2007,No migration background,No,0.60212,11944,14635,0.59419,0.61006
2007,Direct migration background,Yes,0.06341,143,1979,0.05267,0.07415
2007,Direct migration background,No,0.84258,1836,1979,0.82653,0.85863
2007,Indirect migration background,Yes,0.05397,81,702,0.03724,0.07069
2007,Indirect migration background,No,0.39179,621,702,0.35565,0.42792
2008,No migration background,Yes,0.15067,2931,13967,0.14473,0.15660
2008,No migration background,No,0.59035,11036,13967,0.58219,0.59850
2008,Direct migration background,Yes,0.08899,158,1796,0.07582,0.10216
2008,Direct migration background,No,0.83918,1638,1796,0.82218,0.85617
2008,Indirect migration background,Yes,0.06946,103,704,0.05067,0.08826
2008,Indirect migration background,No,0.40078,601,704,0.36455,0.43700
2010,No migration background,Yes,0.16391,3800,16872,0.15833,0.16950
2010,No migration background,No,0.58017,13072,16872,0.57272,0.58761
2010,Direct migration background,Yes,0.09692,269,2806,0.08597,0.10787
2010,Direct migration background,No,0.81821,2537,2806,0.80394,0.83249
2010,Indirect migration background,Yes,0.06787,149,999,0.05227,0.08348
2010,Indirect migration background,No,0.36662,850,999,0.33672,0.39651
2011,No migration background,Yes,0.15706,3544,15029,0.15125,0.16288
2011,No migration background,No,0.51919,11485,15029,0.51120,0.52718
2011,Direct migration background,Yes,0.07484,196,1886,0.06296,0.08672
2011,Direct migration background,No,0.69245,1690,1886,0.67162,0.71328
2011,Indirect migration background,Yes,0.06188,118,721,0.04428,0.07948
2011,Indirect migration background,No,0.30564,603,721,0.27199,0.33929
2012,No migration background,Yes,0.17761,4865,19757,0.17228,0.18294
2012,No migration background,No,0.55836,14892,19757,0.55143,0.56528
2012,Direct migration background,Yes,0.08701,309,3026,0.07696,0.09705
2012,Direct migration background,No,0.82724,2717,3026,0.81377,0.84072
2012,Indirect migration background,Yes,0.07977,178,1093,0.06370,0.09584
2012,Indirect migration background,No,0.34181,915,1093,0.31368,0.36995
2013,No migration background,Yes,0.17309,3653,13789,0.16677,0.17940
2013,No migration background,No,0.50279,10136,13789,0.49444,0.51113
2013,Direct migration background,Yes,0.05660,206,1646,0.04544,0.06777
2013,Direct migration background,No,0.41470,1440,1646,0.39089,0.43851
2013,Indirect migration background,Yes,0.05442,127,631,0.03670,0.07213
2013,Indirect migration background,No,0.16375,504,631,0.13485,0.19264
2014,No migration background,Yes,0.19780,4684,17047,0.19182,0.20378
2014,No migration background,No,0.53813,12363,17047,0.53065,0.54562
2014,Direct migration background,Yes,0.09151,461,5079,0.08358,0.09944
2014,Direct migration background,No,0.82647,4618,5079,0.81605,0.83688
2014,Indirect migration background,Yes,0.07842,221,1589,0.06519,0.09164
2014,Indirect migration background,No,0.38176,1368,1589,0.35786,0.40565
2016,No migration background,Yes,0.17771,3755,15066,0.17161,0.18382
2016,No migration background,No,0.55728,11311,15066,0.54935,0.56521
2016,Direct migration background,Yes,0.08649,404,4776,0.07852,0.09447
2016,Direct migration background,No,0.78213,4372,4776,0.77042,0.79384
2016,Indirect migration background,Yes,0.07331,185,1361,0.05946,0.08716
2016,Indirect migration background,No,0.38618,1176,1361,0.36030,0.41205
2018,No migration background,Yes,0.18598,4176,16593,0.18006,0.19190
2018,No migration background,No,0.55382,12417,16593,0.54625,0.56138
2018,Direct migration background,Yes,0.09275,409,4409,0.08419,0.10132
2018,Direct migration background,No,0.76051,4000,4409,0.74791,0.77311
2018,Indirect migration background,Yes,0.08134,201,1496,0.06748,0.09519
2018,Indirect migration background,No,0.39793,1295,1496,0.37312,0.42274
2020,No migration background,Yes,0.18650,4159,15251,0.18032,0.19268
2020,No migration background,No,0.54524,11092,15251,0.53734,0.55315
2020,Direct migration background,Yes,0.10113,459,5354,0.09305,0.10920
2020,Direct migration background,No,0.75091,4895,5354,0.73933,0.76250
2020,Indirect migration background,Yes,0.06865,221,1394,0.05537,0.08193
2020,Indirect migration background,No,0.39623,1173,1394,0.37055,0.42192
2022,No migration background,Yes,0.20575,4544,15137,0.19931,0.21219
2022,No migration background,No,0.50217,10593,15137,0.49421,0.51014
2022,Direct migration background,Yes,0.12366,682,5960,0.11530,0.13202
2022,Direct migration background,No,0.69392,5278,5960,0.68221,0.70562
2022,Indirect migration background,Yes,0.10145,275,1286,0.08494,0.11796
2022,Indirect migration background,No,0.38067,1011,1286,0.35412,0.40722
