year,pgisced97,regtyp,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Pre-primary Level,Urban regions,No,0.68534,154,154,0.61176,0.75893
1999,Pre-primary Level,Rural regions,No,0.78535,91,91,0.70053,0.87018
1999,Primary Level,Urban regions,No,0.98050,347,347,0.96593,0.99507
1999,Primary Level,Rural regions,No,0.96422,69,69,0.92006,1.00837
1999,Lower Secondary Level,Urban regions,Yes,0.04750,68,1608,0.03710,0.05790
1999,Lower Secondary Level,Urban regions,No,0.89672,1540,1608,0.88184,0.91160
1999,Lower Secondary Level,Rural regions,No,0.93070,703,703,0.91191,0.94949
1999,Upper Secondary Level,Urban regions,Yes,0.08975,343,3891,0.08077,0.09874
1999,Upper Secondary Level,Urban regions,No,0.80514,3548,3891,0.79269,0.81758
1999,Upper Secondary Level,Rural regions,Yes,0.07200,155,2459,0.06178,0.08222
1999,Upper Secondary Level,Rural regions,No,0.84624,2304,2459,0.83198,0.86050
1999,Post-secondary Non-tertiary Level,Urban regions,Yes,0.16175,43,344,0.12278,0.20072
1999,Post-secondary Non-tertiary Level,Urban regions,No,0.72443,301,344,0.67715,0.77172
1999,Post-secondary Non-tertiary Level,Rural regions,No,0.82803,98,98,0.75293,0.90313
1999,First Stage of Tertiary Education,Urban regions,Yes,0.08995,48,410,0.06223,0.11768
1999,First Stage of Tertiary Education,Urban regions,No,0.68425,362,410,0.63921,0.72930
1999,First Stage of Tertiary Education,Rural regions,No,0.84642,257,257,0.80226,0.89059
1999,Second Stage of Tertiary Education,Urban regions,Yes,0.12921,133,924,0.10757,0.15085
1999,Second Stage of Tertiary Education,Urban regions,No,0.57519,791,924,0.54330,0.60708
1999,Second Stage of Tertiary Education,Rural regions,Yes,0.06404,39,590,0.04427,0.08381
1999,Second Stage of Tertiary Education,Rural regions,No,0.72272,551,590,0.68657,0.75888
2000,Pre-primary Level,Urban regions,No,0.70901,236,236,0.65094,0.76709
2000,Pre-primary Level,Rural regions,No,0.86232,148,148,0.80662,0.91802
2000,Primary Level,Urban regions,No,0.97307,317,317,0.95522,0.99092
2000,Primary Level,Rural regions,No,0.94671,74,74,0.89519,0.99824
2000,Lower Secondary Level,Urban regions,Yes,0.04329,93,2297,0.03496,0.05161
2000,Lower Secondary Level,Urban regions,No,0.90812,2204,2297,0.89631,0.91994
2000,Lower Secondary Level,Rural regions,No,0.94232,1095,1095,0.92850,0.95613
2000,Upper Secondary Level,Urban regions,Yes,0.09388,720,7222,0.08715,0.10061
2000,Upper Secondary Level,Urban regions,No,0.80844,6502,7222,0.79936,0.81752
2000,Upper Secondary Level,Rural regions,Yes,0.06434,276,4461,0.05714,0.07154
2000,Upper Secondary Level,Rural regions,No,0.85872,4185,4461,0.84850,0.86895
2000,Post-secondary Non-tertiary Level,Urban regions,Yes,0.11413,96,769,0.09164,0.13662
2000,Post-secondary Non-tertiary Level,Urban regions,No,0.76221,673,769,0.73210,0.79232
2000,Post-secondary Non-tertiary Level,Rural regions,No,0.79702,211,211,0.74262,0.85142
2000,First Stage of Tertiary Education,Urban regions,Yes,0.10975,131,1021,0.09056,0.12893
2000,First Stage of Tertiary Education,Urban regions,No,0.74820,890,1021,0.72156,0.77483
2000,First Stage of Tertiary Education,Rural regions,Yes,0.05781,45,622,0.03946,0.07617
2000,First Stage of Tertiary Education,Rural regions,No,0.84560,577,622,0.81718,0.87402
2000,Second Stage of Tertiary Education,Urban regions,Yes,0.14150,344,1826,0.12550,0.15749
2000,Second Stage of Tertiary Education,Urban regions,No,0.54181,1482,1826,0.51895,0.56467
2000,Second Stage of Tertiary Education,Rural regions,Yes,0.07381,78,921,0.05692,0.09071
2000,Second Stage of Tertiary Education,Rural regions,No,0.67709,843,921,0.64687,0.70730
2001,Pre-primary Level,Urban regions,No,0.69375,250,250,0.63650,0.75101
2001,Pre-primary Level,Rural regions,No,0.85565,161,161,0.80119,0.91010
2001,Primary Level,Urban regions,No,0.97211,240,240,0.95124,0.99299
2001,Primary Level,Rural regions,No,0.96982,64,64,0.92757,1.01207
2001,Lower Secondary Level,Urban regions,Yes,0.03285,67,2011,0.02506,0.04065
2001,Lower Secondary Level,Urban regions,No,0.92139,1944,2011,0.90962,0.93315
2001,Lower Secondary Level,Rural regions,No,0.94824,932,932,0.93401,0.96247
2001,Upper Secondary Level,Urban regions,Yes,0.09558,638,6516,0.08844,0.10272
2001,Upper Secondary Level,Urban regions,No,0.80317,5878,6516,0.79351,0.81282
2001,Upper Secondary Level,Rural regions,Yes,0.06984,281,4053,0.06199,0.07769
2001,Upper Secondary Level,Rural regions,No,0.85848,3772,4053,0.84775,0.86922
2001,Post-secondary Non-tertiary Level,Urban regions,Yes,0.12870,100,740,0.10456,0.15285
