year,sampreg,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,West,Yes,0.10533,788,8694,0.09888,0.11178
1999,West,No,0.89467,7906,8694,0.88822,0.90112
1999,East,Yes,0.04380,155,3592,0.03711,0.05049
1999,East,No,0.95620,3437,3592,0.94951,0.96289
2000,West,Yes,0.10933,1652,15837,0.10447,0.11419
2000,West,No,0.89067,14185,15837,0.88581,0.89553
2000,East,Yes,0.04117,218,5501,0.03592,0.04642
2000,East,No,0.95883,5283,5501,0.95358,0.96408
2001,West,Yes,0.11170,1498,14268,0.10653,0.11687
2001,West,No,0.88830,12770,14268,0.88313,0.89347
2001,East,Yes,0.04179,221,5116,0.03630,0.04727
2001,East,No,0.95821,4895,5116,0.95273,0.96370
2002,West,Yes,0.11774,1928,14532,0.11250,0.12298
2002,West,No,0.88226,12604,14532,0.87702,0.88750
2002,East,Yes,0.04590,264,5030,0.04012,0.05169
2002,East,No,0.95410,4766,5030,0.94831,0.95988
2003,West,Yes,0.11787,1858,13903,0.11251,0.12323
2003,West,No,0.88213,12045,13903,0.87677,0.88749
2003,East,Yes,0.05225,282,4934,0.04604,0.05846
2003,East,No,0.94775,4652,4934,0.94154,0.95396
2004,West,Yes,0.12589,1917,13527,0.12029,0.13148
2004,West,No,0.87411,11610,13527,0.86852,0.87971
2004,East,Yes,0.05887,322,4804,0.05222,0.06553
2004,East,No,0.94113,4482,4804,0.93447,0.94778
2005,West,Yes,0.13954,1961,12890,0.13356,0.14553
2005,West,No,0.86046,10929,12890,0.85447,0.86644
2005,East,Yes,0.06622,357,4606,0.05904,0.07340
2005,East,No,0.93378,4249,4606,0.92660,0.94096
2006,West,Yes,0.15756,2433,13738,0.15146,0.16365
2006,West,No,0.84244,11305,13738,0.83635,0.84854
2006,East,Yes,0.08204,433,4843,0.07431,0.08977
2006,East,No,0.91796,4410,4843,0.91023,0.92569
2007,West,Yes,0.17473,2438,12735,0.16813,0.18132
2007,West,No,0.82527,10297,12735,0.81868,0.83187
2007,East,Yes,0.09138,477,4581,0.08304,0.09973
2007,East,No,0.90862,4104,4581,0.90027,0.91696
2008,West,Yes,0.20342,2633,12061,0.19624,0.21061
2008,West,No,0.79658,9428,12061,0.78939,0.80376
2008,East,Yes,0.11447,559,4406,0.10507,0.12387
2008,East,No,0.88553,3847,4406,0.87613,0.89493
2010,West,Yes,0.21838,3548,15638,0.21191,0.22486
2010,West,No,0.78162,12090,15638,0.77514,0.78809
2010,East,Yes,0.12750,670,5039,0.11829,0.13671
2010,East,No,0.87250,4369,5039,0.86329,0.88171
2011,West,Yes,0.22844,3186,13136,0.22126,0.23562
2011,West,No,0.77156,9950,13136,0.76438,0.77874
2011,East,Yes,0.14310,672,4500,0.13287,0.15334
2011,East,No,0.85690,3828,4500,0.84666,0.86713
2012,West,Yes,0.23355,4488,18192,0.22740,0.23970
2012,West,No,0.76645,13704,18192,0.76030,0.77260
2012,East,Yes,0.14642,864,5684,0.13723,0.15561
2012,East,No,0.85358,4820,5684,0.84439,0.86277
2013,West,Yes,0.26499,3283,11954,0.25707,0.27290
2013,West,No,0.73501,8671,11954,0.72710,0.74293
2013,East,Yes,0.15930,703,4112,0.14811,0.17049
2013,East,No,0.84070,3409,4112,0.82951,0.85189
2014,West,Yes,0.25361,4515,18546,0.24735,0.25987
2014,West,No,0.74639,14031,18546,0.74013,0.75265
2014,East,Yes,0.16851,851,5169,0.15830,0.17871
2014,East,No,0.83149,4318,5169,0.82129,0.84170
2016,West,Yes,0.23167,3655,16552,0.22524,0.23809
2016,West,No,0.76833,12897,16552,0.76191,0.77476
2016,East,Yes,0.13879,689,4651,0.12885,0.14872
2016,East,No,0.86121,3962,4651,0.85128,0.87115
2018,West,Yes,0.23528,3912,17393,0.22898,0.24159
2018,West,No,0.76472,13481,17393,0.75841,0.77102
2018,East,Yes,0.16734,874,5105,0.15710,0.17758
2018,East,No,0.83266,4231,5105,0.82242,0.84290
2020,West,Yes,0.23824,3961,17201,0.23188,0.24461
2020,West,No,0.76176,13240,17201,0.75539,0.76812
2020,East,Yes,0.18114,878,4798,0.17024,0.19204
2020,East,No,0.81886,3920,4798,0.80796,0.82976
2022,West,Yes,0.27543,4557,17351,0.26878,0.28207
2022,West,No,0.72457,12794,17351,0.71793,0.73122
2022,East,Yes,0.18576,945,5039,0.17502,0.19650
2022,East,No,0.81424,4094,5039,0.80350,0.82498
