year,pgisced97,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,No answer / don't know,No,0.86700,227,227,0.82273,0.91127
1999,Pre-primary Level,No,0.90349,245,245,0.86644,0.94054
1999,Primary Level,No,0.98791,416,416,0.97739,0.99842
1999,Lower Secondary Level,Yes,0.04750,96,2339,0.03888,0.05612
1999,Lower Secondary Level,No,0.95250,2243,2339,0.94388,0.96112
1999,Upper Secondary Level,Yes,0.09285,498,6350,0.08571,0.09999
1999,Upper Secondary Level,No,0.90715,5852,6350,0.90001,0.91429
1999,Post-secondary Non-tertiary Level,Yes,0.16488,55,454,0.13071,0.19906
1999,Post-secondary Non-tertiary Level,No,0.83512,399,454,0.80094,0.86929
1999,First Stage of Tertiary Education,Yes,0.09879,70,689,0.07649,0.12109
1999,First Stage of Tertiary Education,No,0.90121,619,689,0.87891,0.92351
1999,Second Stage of Tertiary Education,Yes,0.15073,172,1514,0.13271,0.16876
1999,Second Stage of Tertiary Education,No,0.84927,1342,1514,0.83124,0.86729
2000,No answer / don't know,No,0.93754,31,31,0.85095,1.02414
2000,Pre-primary Level,No,0.93388,384,384,0.90899,0.95877
2000,Primary Level,No,0.98572,391,391,0.97394,0.99749
2000,Lower Secondary Level,Yes,0.04085,122,3421,0.03422,0.04749
2000,Lower Secondary Level,No,0.95915,3299,3421,0.95251,0.96578
2000,Upper Secondary Level,Yes,0.09208,996,11683,0.08684,0.09732
2000,Upper Secondary Level,No,0.90792,10687,11683,0.90268,0.91316
2000,Post-secondary Non-tertiary Level,Yes,0.13232,121,1005,0.11136,0.15328
2000,Post-secondary Non-tertiary Level,No,0.86768,884,1005,0.84672,0.88864
2000,First Stage of Tertiary Education,Yes,0.10619,176,1643,0.09129,0.12109
2000,First Stage of Tertiary Education,No,0.89381,1467,1643,0.87891,0.90871
2000,Second Stage of Tertiary Education,Yes,0.17523,422,2747,0.16101,0.18944
2000,Second Stage of Tertiary Education,No,0.82477,2325,2747,0.81056,0.83899
2001,No answer / don't know,No,0.97187,109,109,0.94069,1.00306
2001,Pre-primary Level,No,0.93012,411,411,0.90544,0.95480
2001,Primary Level,No,0.98696,304,304,0.97419,0.99973
2001,Lower Secondary Level,Yes,0.03178,96,2972,0.02547,0.03809
2001,Lower Secondary Level,No,0.96822,2876,2972,0.96191,0.97453
2001,Upper Secondary Level,Yes,0.09543,919,10569,0.08983,0.10103
2001,Upper Secondary Level,No,0.90457,9650,10569,0.89897,0.91017
2001,Post-secondary Non-tertiary Level,Yes,0.14619,129,961,0.12384,0.16854
2001,Post-secondary Non-tertiary Level,No,0.85381,832,961,0.83146,0.87616
2001,First Stage of Tertiary Education,Yes,0.11640,160,1465,0.09997,0.13283
2001,First Stage of Tertiary Education,No,0.88360,1305,1465,0.86717,0.90003
2001,Second Stage of Tertiary Education,Yes,0.17232,380,2558,0.15769,0.18696
2001,Second Stage of Tertiary Education,No,0.82768,2178,2558,0.81304,0.84231
2002,No answer / don't know,No,0.97087,170,170,0.94551,0.99622
2002,Pre-primary Level,Yes,0.05531,40,491,0.03507,0.07555
2002,Pre-primary Level,No,0.94469,451,491,0.92445,0.96493
2002,Primary Level,No,0.99345,278,278,0.98394,1.00295
2002,Lower Secondary Level,Yes,0.03730,104,2779,0.03025,0.04435
2002,Lower Secondary Level,No,0.96270,2675,2779,0.95565,0.96975
2002,Upper Secondary Level,Yes,0.10515,1145,10453,0.09927,0.11103
2002,Upper Secondary Level,No,0.89485,9308,10453,0.88897,0.90073
2002,Post-secondary Non-tertiary Level,Yes,0.13025,155,1028,0.10966,0.15083
2002,Post-secondary Non-tertiary Level,No,0.86975,873,1028,0.84917,0.89034
2002,First Stage of Tertiary Education,Yes,0.12887,196,1481,0.11180,0.14594
2002,First Stage of Tertiary Education,No,0.87113,1285,1481,0.85406,0.88820
2002,Second Stage of Tertiary Education,Yes,0.17563,544,2874,0.16171,0.18954
2002,Second Stage of Tertiary Education,No,0.82437,2330,2874,0.81046,0.83829
2003,No answer / don't know,No,0.94418,207,207,0.91283,0.97553
2003,Pre-primary Level,Yes,0.07381,42,494,0.05073,0.09689
2003,Pre-primary Level,No,0.92619,452,494,0.90311,0.94927
2003,Primary Level,No,0.98893,259,259,0.97616,1.00170
2003,Lower Secondary Level,Yes,0.03664,102,2638,0.02947,0.04381
2003,Lower Secondary Level,No,0.96336,2536,2638,0.95619,0.97053
2003,Upper Secondary Level,Yes,0.10231,1099,10011,0.09637,0.10824
2003,Upper Secondary Level,No,0.89769,8912,10011,0.89176,0.90363
2003,Post-secondary Non-tertiary Level,Yes,0.14722,168,1015,0.12541,0.16903
2003,Post-secondary Non-tertiary Level,No,0.85278,847,1015,0.83097,0.87459
2003,First Stage of Tertiary Education,Yes,0.12498,181,1432,0.10785,0.14211
2003,First Stage of Tertiary Education,No,0.87502,1251,1432,0.85789,0.89215
2003,Second Stage of Tertiary Education,Yes,0.18889,534,2767,0.17430,0.20347
2003,Second Stage of Tertiary Education,No,0.81111,2233,2767,0.79653,0.82570
2004,No answer / don't know,No,0.95181,232,232,0.92420,0.97943
2004,Pre-primary Level,Yes,0.08482,46,496,0.06028,0.10936
2004,Pre-primary Level,No,0.91518,450,496,0.89064,0.93972
2004,Lower Secondary Level,Yes,0.04554,116,2483,0.03734,0.05375
2004,Lower Secondary Level,No,0.95446,2367,2483,0.94625,0.96266
2004,Upper Secondary Level,Yes,0.10834,1113,9731,0.10217,0.11452
2004,Upper Secondary Level,No,0.89166,8618,9731,0.88548,0.89783
2004,Post-secondary Non-tertiary Level,Yes,0.14983,180,1015,0.12786,0.17180
2004,Post-secondary Non-tertiary Level,No,0.85017,835,1015,0.82820,0.87214
2004,First Stage of Tertiary Education,Yes,0.14854,209,1395,0.12987,0.16721
2004,First Stage of Tertiary Education,No,0.85146,1186,1395,0.83279,0.87013
2004,Second Stage of Tertiary Education,Yes,0.20073,563,2717,0.18566,0.21579
2004,Second Stage of Tertiary Education,No,0.79927,2154,2717,0.78421,0.81434
2005,No answer / don't know,No,0.93507,259,259,0.90500,0.96514
2005,Pre-primary Level,Yes,0.07997,38,507,0.05634,0.10361
2005,Pre-primary Level,No,0.92003,469,507,0.89639,0.94366
2005,Primary Level,No,0.99120,235,235,0.97923,1.00317
2005,Lower Secondary Level,Yes,0.04723,101,2303,0.03856,0.05589
2005,Lower Secondary Level,No,0.95277,2202,2303,0.94411,0.96144
2005,Upper Secondary Level,Yes,0.12560,1193,9215,0.11883,0.13237
2005,Upper Secondary Level,No,0.87440,8022,9215,0.86763,0.88117
2005,Post-secondary Non-tertiary Level,Yes,0.18197,205,1000,0.15804,0.20589
2005,Post-secondary Non-tertiary Level,No,0.81803,795,1000,0.79411,0.84196
2005,First Stage of Tertiary Education,Yes,0.15948,204,1305,0.13960,0.17935
2005,First Stage of Tertiary Education,No,0.84052,1101,1305,0.82065,0.86040
2005,Second Stage of Tertiary Education,Yes,0.20030,557,2652,0.18507,0.21554
2005,Second Stage of Tertiary Education,No,0.79970,2095,2652,0.78446,0.81493
2006,No answer / don't know,No,0.91618,279,279,0.88360,0.94875
2006,Pre-primary Level,No,0.89821,263,263,0.86159,0.93482
2006,Primary Level,No,0.96800,231,231,0.94525,0.99074
2006,Lower Secondary Level,Yes,0.05046,125,2376,0.04165,0.05926
2006,Lower Secondary Level,No,0.94954,2251,2376,0.94074,0.95835
2006,Upper Secondary Level,Yes,0.13898,1486,9985,0.13219,0.14576
2006,Upper Secondary Level,No,0.86102,8499,9985,0.85424,0.86781
2006,Post-secondary Non-tertiary Level,Yes,0.22591,266,1084,0.20101,0.25082
2006,Post-secondary Non-tertiary Level,No,0.77409,818,1084,0.74918,0.79899
2006,First Stage of Tertiary Education,Yes,0.16493,235,1387,0.14540,0.18447
2006,First Stage of Tertiary Education,No,0.83507,1152,1387,0.81553,0.85460
2006,Second Stage of Tertiary Education,Yes,0.23418,704,2926,0.21883,0.24953
2006,Second Stage of Tertiary Education,No,0.76582,2222,2926,0.75047,0.78117
2007,No answer / don't know,No,0.94123,288,288,0.91402,0.96844
2007,Pre-primary Level,No,0.92770,240,240,0.89487,0.96054
2007,Primary Level,No,0.97860,206,206,0.95879,0.99841
2007,Lower Secondary Level,Yes,0.05632,123,2094,0.04644,0.06619
2007,Lower Secondary Level,No,0.94368,1971,2094,0.93381,0.95356
2007,Upper Secondary Level,Yes,0.15199,1493,9315,0.14470,0.15928
2007,Upper Secondary Level,No,0.84801,7822,9315,0.84072,0.85530
2007,Post-secondary Non-tertiary Level,Yes,0.25752,268,1033,0.23085,0.28420
2007,Post-secondary Non-tertiary Level,No,0.74248,765,1033,0.71580,0.76915
2007,First Stage of Tertiary Education,Yes,0.20197,257,1286,0.18002,0.22392
2007,First Stage of Tertiary Education,No,0.79803,1029,1286,0.77608,0.81998
