year,migback,sex,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,No migration background,male,Yes,0.09832,388,4419,0.08954,0.10710
1999,No migration background,male,No,0.90168,4031,4419,0.89290,0.91046
1999,No migration background,female,Yes,0.10484,478,5180,0.09650,0.11318
1999,No migration background,female,No,0.89516,4702,5180,0.88682,0.90350
1999,Direct migration background,male,No,0.96504,1037,1037,0.95386,0.97623
1999,Direct migration background,female,No,0.94339,1030,1030,0.92926,0.95751
1999,Indirect migration background,male,No,0.94267,270,270,0.91489,0.97045
1999,Indirect migration background,female,No,0.93457,273,273,0.90518,0.96395
2000,No migration background,male,Yes,0.10075,764,7990,0.09415,0.10735
2000,No migration background,male,No,0.89925,7226,7990,0.89265,0.90585
2000,No migration background,female,Yes,0.10794,953,9441,0.10168,0.11420
2000,No migration background,female,No,0.89206,8488,9441,0.88580,0.89832
2000,Direct migration background,male,Yes,0.04208,47,1533,0.03203,0.05214
2000,Direct migration background,male,No,0.95792,1486,1533,0.94786,0.96797
2000,Direct migration background,female,Yes,0.04393,63,1607,0.03390,0.05395
2000,Direct migration background,female,No,0.95607,1544,1607,0.94605,0.96610
2000,Indirect migration background,male,No,0.91767,351,351,0.88888,0.94647
2000,Indirect migration background,female,No,0.93174,373,373,0.90611,0.95737
2001,No migration background,male,Yes,0.10588,706,7298,0.09882,0.11294
2001,No migration background,male,No,0.89412,6592,7298,0.88706,0.90118
2001,No migration background,female,Yes,0.10772,886,8618,0.10117,0.11426
2001,No migration background,female,No,0.89228,7732,8618,0.88574,0.89883
2001,Direct migration background,male,No,0.97322,1304,1304,0.96445,0.98198
2001,Direct migration background,female,Yes,0.04826,49,1422,0.03712,0.05941
2001,Direct migration background,female,No,0.95174,1373,1422,0.94059,0.96288
2001,Indirect migration background,male,No,0.91313,318,318,0.88213,0.94414
2001,Indirect migration background,female,Yes,0.11699,31,377,0.08450,0.14948
2001,Indirect migration background,female,No,0.88301,346,377,0.85052,0.91550
2002,No migration background,male,Yes,0.11083,907,7461,0.10371,0.11795
2002,No migration background,male,No,0.88917,6554,7461,0.88205,0.89629
