year,age_gr,pgisced97,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,17-29 y.,No answer / don't know,No,0.89700,130,130,0.84455,0.94946
1999,17-29 y.,Pre-primary Level,No,0.90195,242,242,0.86440,0.93949
1999,17-29 y.,Primary Level,No,0.96151,46,46,0.90531,1.01772
1999,17-29 y.,Lower Secondary Level,No,0.95334,659,659,0.93723,0.96946
1999,17-29 y.,Upper Secondary Level,Yes,0.09179,93,1254,0.07580,0.10777
1999,17-29 y.,Upper Secondary Level,No,0.90821,1161,1254,0.89223,0.92420
1999,17-29 y.,Post-secondary Non-tertiary Level,No,0.90675,126,126,0.85577,0.95772
1999,17-29 y.,First Stage of Tertiary Education,No,0.96966,85,85,0.93298,1.00634
1999,17-29 y.,Second Stage of Tertiary Education,No,0.84960,97,97,0.77809,0.92111
1999,30-45 y.,No answer / don't know,No,0.83777,61,61,0.74449,0.93106
1999,30-45 y.,Primary Level,No,0.97369,105,105,0.94292,1.00445
1999,30-45 y.,Lower Secondary Level,No,0.94534,417,417,0.92350,0.96719
1999,30-45 y.,Upper Secondary Level,Yes,0.09567,192,2312,0.08368,0.10767
1999,30-45 y.,Upper Secondary Level,No,0.90433,2120,2312,0.89233,0.91632
1999,30-45 y.,Post-secondary Non-tertiary Level,No,0.87286,204,204,0.82703,0.91869
1999,30-45 y.,First Stage of Tertiary Education,Yes,0.13723,35,291,0.09763,0.17684
1999,30-45 y.,First Stage of Tertiary Education,No,0.86277,256,291,0.82316,0.90237
1999,30-45 y.,Second Stage of Tertiary Education,Yes,0.14610,87,719,0.12026,0.17194
1999,30-45 y.,Second Stage of Tertiary Education,No,0.85390,632,719,0.82806,0.87974
1999,46-65 y.,Lower Secondary Level,No,0.94946,662,662,0.93276,0.96616
1999,46-65 y.,Upper Secondary Level,Yes,0.09969,155,1975,0.08647,0.11291
1999,46-65 y.,Upper Secondary Level,No,0.90031,1820,1975,0.88709,0.91353
1999,46-65 y.,Post-secondary Non-tertiary Level,No,0.63938,48,48,0.50209,0.77666
1999,46-65 y.,First Stage of Tertiary Education,No,0.89667,207,207,0.85511,0.93824
1999,46-65 y.,Second Stage of Tertiary Education,Yes,0.15693,58,534,0.12605,0.18781
1999,46-65 y.,Second Stage of Tertiary Education,No,0.84307,476,534,0.81219,0.87395
1999,66 and older,Lower Secondary Level,No,0.95737,505,505,0.93973,0.97500
1999,66 and older,Upper Secondary Level,Yes,0.07655,58,809,0.05822,0.09488
1999,66 and older,Upper Secondary Level,No,0.92345,751,809,0.90512,0.94178
1999,66 and older,First Stage of Tertiary Education,No,0.95684,71,71,0.90924,1.00445
1999,66 and older,Second Stage of Tertiary Education,No,0.85014,137,137,0.79015,0.91013
2000,17-29 y.,Pre-primary Level,No,0.93289,376,376,0.90757,0.95822
2000,17-29 y.,Primary Level,No,0.98747,67,67,0.96064,1.01431
2000,17-29 y.,Lower Secondary Level,Yes,0.04103,40,1025,0.02888,0.05318
2000,17-29 y.,Lower Secondary Level,No,0.95897,985,1025,0.94682,0.97112
2000,17-29 y.,Upper Secondary Level,Yes,0.07902,146,1973,0.06711,0.09093
2000,17-29 y.,Upper Secondary Level,No,0.92098,1827,1973,0.90907,0.93289
2000,17-29 y.,Post-secondary Non-tertiary Level,No,0.91822,278,278,0.88595,0.95049
2000,17-29 y.,First Stage of Tertiary Education,No,0.87824,163,163,0.82788,0.92860
2000,17-29 y.,Second Stage of Tertiary Education,Yes,0.18100,31,202,0.12777,0.23423
2000,17-29 y.,Second Stage of Tertiary Education,No,0.81900,171,202,0.76577,0.87223
2000,30-45 y.,Primary Level,No,0.97739,100,100,0.94811,1.00667
2000,30-45 y.,Lower Secondary Level,No,0.95507,544,544,0.93765,0.97250
2000,30-45 y.,Upper Secondary Level,Yes,0.09265,361,4088,0.08376,0.10154
