"ple0098_v5","year","bildungsniveau","migback","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1999","(noch) kein Abschluss","kein Migrationshintergrund","26","","",""
"Ja","1999","(noch) kein Abschluss","direkter Migrationshintergrund","1","","",""
"Ja","1999","(noch) kein Abschluss","indirekter Migrationshintergrund","2","","",""
"Ja","1999","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1999","Hauptschule","kein Migrationshintergrund","279","","",""
"Ja","1999","Hauptschule","direkter Migrationshintergrund","22","","",""
"Ja","1999","Hauptschule","indirekter Migrationshintergrund","6","0.0225016107038494","0.00281437808503634","0.0421888433226625"
"Ja","1999","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1999","Realschule","kein Migrationshintergrund","281","","",""
"Ja","1999","Realschule","direkter Migrationshintergrund","12","","",""
"Ja","1999","Realschule","indirekter Migrationshintergrund","12","","",""
"Ja","1999","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1999","(Fach-)Abitur","kein Migrationshintergrund","92","0.157777248807843","0.130029548145582","0.185524949470105"
"Ja","1999","(Fach-)Abitur","direkter Migrationshintergrund","7","0.0659988971493976","0.03355755108825","0.0984402432105451"
"Ja","1999","(Fach-)Abitur","indirekter Migrationshintergrund","","","",""
"Ja","1999","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","1999","AkademikerIn","kein Migrationshintergrund","163","","",""
"Ja","1999","AkademikerIn","direkter Migrationshintergrund","8","0.0886848628932299","0.0442158687318508","0.133153857054609"
"Ja","1999","AkademikerIn","indirekter Migrationshintergrund","1","","",""
"Ja","1999","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1999","(noch) kein Abschluss","kein Migrationshintergrund","230","","",""
"Nein","1999","(noch) kein Abschluss","direkter Migrationshintergrund","398","0.998135944152935","0.993903551510957","1.00236833679491"
"Nein","1999","(noch) kein Abschluss","indirekter Migrationshintergrund","73","0.923942503321013","0.863948071330617","0.98393693531141"
"Nein","1999","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1999","Hauptschule","kein Migrationshintergrund","4069","0.932266231901435","0.9247970004301","0.93973546337277"
"Nein","1999","Hauptschule","direkter Migrationshintergrund","1094","","",""
"Nein","1999","Hauptschule","indirekter Migrationshintergrund","212","","",""
"Nein","1999","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1999","Realschule","kein Migrationshintergrund","2532","","",""
"Nein","1999","Realschule","direkter Migrationshintergrund","109","","",""
"Nein","1999","Realschule","indirekter Migrationshintergrund","115","","",""
"Nein","1999","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1999","(Fach-)Abitur","kein Migrationshintergrund","571","0.842222751192157","0.814475050529895","0.869970451854418"
"Nein","1999","(Fach-)Abitur","direkter Migrationshintergrund","218","","",""
"Nein","1999","(Fach-)Abitur","indirekter Migrationshintergrund","67","1","1","1"
"Nein","1999","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","1999","AkademikerIn","kein Migrationshintergrund","1173","","",""
"Nein","1999","AkademikerIn","direkter Migrationshintergrund","149","","",""
"Nein","1999","AkademikerIn","indirekter Migrationshintergrund","20","","",""
"Nein","1999","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2000","(noch) kein Abschluss","kein Migrationshintergrund","28","","",""
"Ja","2000","(noch) kein Abschluss","direkter Migrationshintergrund","6","0.016499205945013","0.0036575488107667","0.0293408630792593"
"Ja","2000","(noch) kein Abschluss","indirekter Migrationshintergrund","2","","",""
"Ja","2000","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2000","Hauptschule","kein Migrationshintergrund","525","0.0671614273625964","0.061696672064948","0.0726261826602448"
"Ja","2000","Hauptschule","direkter Migrationshintergrund","34","0.023735014248827","0.0164925597576166","0.0309774687400373"
"Ja","2000","Hauptschule","indirekter Migrationshintergrund","13","","",""
"Ja","2000","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2000","Realschule","kein Migrationshintergrund","571","0.12487033966847","0.115859429342859","0.133881249994082"
"Ja","2000","Realschule","direkter Migrationshintergrund","15","","",""
"Ja","2000","Realschule","indirekter Migrationshintergrund","20","","",""
"Ja","2000","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2000","(Fach-)Abitur","kein Migrationshintergrund","209","","",""
"Ja","2000","(Fach-)Abitur","direkter Migrationshintergrund","21","","",""
"Ja","2000","(Fach-)Abitur","indirekter Migrationshintergrund","1","","",""
"Ja","2000","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2000","AkademikerIn","kein Migrationshintergrund","381","0.184411514642639","0.168811058604288","0.20001197068099"
"Ja","2000","AkademikerIn","direkter Migrationshintergrund","34","0.122917718516579","0.087598875913437","0.15823656111972"
"Ja","2000","AkademikerIn","indirekter Migrationshintergrund","7","0.156848350846055","0.0468677036303332","0.266828998061777"
"Ja","2000","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2000","(noch) kein Abschluss","kein Migrationshintergrund","344","0.923956570482607","0.897020561530743","0.950892579434471"
"Nein","2000","(noch) kein Abschluss","direkter Migrationshintergrund","372","0.983500794054987","0.970659136920741","0.996342451189233"
"Nein","2000","(noch) kein Abschluss","indirekter Migrationshintergrund","70","0.932903165026674","0.875113371431928","0.990692958621419"
"Nein","2000","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2000","Hauptschule","kein Migrationshintergrund","7534","0.932838572637404","0.927373817339755","0.938303327935052"
"Nein","2000","Hauptschule","direkter Migrationshintergrund","1663","","",""
"Nein","2000","Hauptschule","indirekter Migrationshintergrund","313","0.94655170883912","0.922135491889078","0.970967925789162"
"Nein","2000","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2000","Realschule","kein Migrationshintergrund","4599","0.87512966033153","0.866118750005918","0.884140570657141"
"Nein","2000","Realschule","direkter Migrationshintergrund","226","","",""
"Nein","2000","Realschule","indirekter Migrationshintergrund","202","","",""
"Nein","2000","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2000","(Fach-)Abitur","kein Migrationshintergrund","1224","","",""
"Nein","2000","(Fach-)Abitur","direkter Migrationshintergrund","447","0.953932770512711","0.934940359692836","0.972925181332585"
"Nein","2000","(Fach-)Abitur","indirekter Migrationshintergrund","108","","",""
"Nein","2000","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Nein","2000","AkademikerIn","kein Migrationshintergrund","1993","","",""
"Nein","2000","AkademikerIn","direkter Migrationshintergrund","298","","",""
"Nein","2000","AkademikerIn","indirekter Migrationshintergrund","35","0.843151649153945","0.733171001938223","0.953132296369667"
"Nein","2000","AkademikerIn","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2001","(noch) kein Abschluss","kein Migrationshintergrund","32","0.0811394092954026","0.0552105133439335","0.107068305246872"
"Ja","2001","(noch) kein Abschluss","direkter Migrationshintergrund","1","","",""
"Ja","2001","(noch) kein Abschluss","indirekter Migrationshintergrund","3","","",""
"Ja","2001","(noch) kein Abschluss","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2001","Hauptschule","kein Migrationshintergrund","484","0.0705712154313171","0.0646035189483522","0.0765389119142819"
"Ja","2001","Hauptschule","direkter Migrationshintergrund","31","0.0240167814103905","0.0162920738155103","0.0317414890052707"
"Ja","2001","Hauptschule","indirekter Migrationshintergrund","13","","",""
"Ja","2001","Hauptschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2001","Realschule","kein Migrationshintergrund","515","0.122538728086918","0.113231279832443","0.131846176341393"
"Ja","2001","Realschule","direkter Migrationshintergrund","10","","",""
"Ja","2001","Realschule","indirekter Migrationshintergrund","20","","",""
"Ja","2001","Realschule","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2001","(Fach-)Abitur","kein Migrationshintergrund","211","","",""
"Ja","2001","(Fach-)Abitur","direkter Migrationshintergrund","13","","",""
"Ja","2001","(Fach-)Abitur","indirekter Migrationshintergrund","4","0.0581394004158664","0.0138005129962194","0.102478287835513"
"Ja","2001","(Fach-)Abitur","Migrationshintergrund - n. w. differenzierbar","","","",""
"Ja","2001","AkademikerIn","kein Migrationshintergrund","348","0.182614223867632","0.166535626534521","0.198692821200743"
