year,quintil_oecd,regtyp,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,1st Quintile,Urban regions,Yes,0.02889,46,1612,0.02071,0.03707
1999,1st Quintile,Urban regions,No,0.69828,1566,1612,0.67587,0.72070
1999,1st Quintile,Rural regions,Yes,0.03365,32,912,0.02194,0.04536
1999,1st Quintile,Rural regions,No,0.69915,880,912,0.66936,0.72893
1999,2nd Quintile,Urban regions,Yes,0.03598,61,1660,0.02702,0.04494
1999,2nd Quintile,Urban regions,No,0.72959,1599,1660,0.70822,0.75097
1999,2nd Quintile,Rural regions,Yes,0.03788,47,1108,0.02663,0.04912
1999,2nd Quintile,Rural regions,No,0.73646,1061,1108,0.71051,0.76242
1999,3rd Quintile,Urban regions,Yes,0.05886,113,1565,0.04719,0.07052
1999,3rd Quintile,Urban regions,No,0.69615,1452,1565,0.67335,0.71894
1999,3rd Quintile,Rural regions,Yes,0.03918,51,1054,0.02746,0.05090
1999,3rd Quintile,Rural regions,No,0.72533,1003,1054,0.69837,0.75229
1999,4th Quintile,Urban regions,Yes,0.08395,164,1647,0.07055,0.09735
1999,4th Quintile,Urban regions,No,0.66665,1483,1647,0.64387,0.68942
1999,4th Quintile,Rural regions,Yes,0.06936,69,792,0.05166,0.08707
1999,4th Quintile,Rural regions,No,0.68427,723,792,0.65188,0.71667
1999,5th Quintile,Urban regions,Yes,0.14810,287,1392,0.12944,0.16677
1999,5th Quintile,Urban regions,No,0.48220,1105,1392,0.45594,0.50846
1999,5th Quintile,Rural regions,Yes,0.10850,73,544,0.08234,0.13466
1999,5th Quintile,Rural regions,No,0.55160,471,544,0.50977,0.59343
2000,1st Quintile,Urban regions,Yes,0.03166,45,1570,0.02300,0.04032
2000,1st Quintile,Urban regions,No,0.71126,1525,1570,0.68883,0.73368
2000,1st Quintile,Rural regions,No,0.73976,930,930,0.71154,0.76797
2000,2nd Quintile,Urban regions,Yes,0.04592,91,1636,0.03577,0.05607
2000,2nd Quintile,Urban regions,No,0.70303,1545,1636,0.68088,0.72518
2000,2nd Quintile,Rural regions,Yes,0.02898,33,996,0.01856,0.03940
2000,2nd Quintile,Rural regions,No,0.73595,963,996,0.70856,0.76334
2000,3rd Quintile,Urban regions,Yes,0.05659,107,1507,0.04492,0.06826
2000,3rd Quintile,Urban regions,No,0.70658,1400,1507,0.68358,0.72957
2000,3rd Quintile,Rural regions,Yes,0.05388,58,1035,0.04012,0.06764
2000,3rd Quintile,Rural regions,No,0.71637,977,1035,0.68889,0.74384
2000,4th Quintile,Urban regions,Yes,0.08091,158,1577,0.06745,0.09438
2000,4th Quintile,Urban regions,No,0.66033,1419,1577,0.63695,0.68371
2000,4th Quintile,Rural regions,Yes,0.06491,65,791,0.04773,0.08209
2000,4th Quintile,Rural regions,No,0.70058,726,791,0.66864,0.73252
2000,5th Quintile,Urban regions,Yes,0.14680,293,1355,0.12795,0.16566
2000,5th Quintile,Urban regions,No,0.46754,1062,1355,0.44096,0.49412
2000,5th Quintile,Rural regions,Yes,0.11275,60,502,0.08506,0.14045
2000,5th Quintile,Rural regions,No,0.55238,442,502,0.50884,0.59593
2001,1st Quintile,Urban regions,Yes,0.02375,61,2349,0.01759,0.02990
2001,1st Quintile,Urban regions,No,0.70723,2288,2349,0.68883,0.72564
2001,1st Quintile,Rural regions,Yes,0.01892,33,1406,0.01180,0.02605
2001,1st Quintile,Rural regions,No,0.73623,1373,1406,0.71319,0.75927
2001,2nd Quintile,Urban regions,Yes,0.04684,131,2494,0.03855,0.05514
2001,2nd Quintile,Urban regions,No,0.69434,2363,2494,0.67626,0.71243
2001,2nd Quintile,Rural regions,Yes,0.02946,65,1666,0.02134,0.03759
2001,2nd Quintile,Rural regions,No,0.73751,1601,1666,0.71638,0.75865
2001,3rd Quintile,Urban regions,Yes,0.07266,233,2639,0.06276,0.08257
2001,3rd Quintile,Urban regions,No,0.69446,2406,2639,0.67688,0.71204
2001,3rd Quintile,Rural regions,Yes,0.05634,111,1594,0.04501,0.06766
