year,migback,pgisced97,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,No migration background,No answer / don't know,No,0.81221,105,105,0.73715,0.88727
1999,No migration background,Pre-primary Level,No,0.89015,165,165,0.84229,0.93801
1999,No migration background,Primary Level,No,0.96160,65,65,0.91452,1.00868
1999,No migration background,Lower Secondary Level,Yes,0.05381,83,1553,0.04259,0.06504
1999,No migration background,Lower Secondary Level,No,0.94619,1470,1553,0.93496,0.95741
1999,No migration background,Upper Secondary Level,Yes,0.09763,460,5388,0.08970,0.10555
1999,No migration background,Upper Secondary Level,No,0.90237,4928,5388,0.89445,0.91030
1999,No migration background,Post-secondary Non-tertiary Level,Yes,0.18552,50,317,0.14266,0.22838
1999,No migration background,Post-secondary Non-tertiary Level,No,0.81448,267,317,0.77162,0.85734
1999,No migration background,First Stage of Tertiary Education,Yes,0.10557,67,627,0.08150,0.12964
1999,No migration background,First Stage of Tertiary Education,No,0.89443,560,627,0.87036,0.91850
1999,No migration background,Second Stage of Tertiary Education,Yes,0.16196,163,1336,0.14220,0.18172
1999,No migration background,Second Stage of Tertiary Education,No,0.83804,1173,1336,0.81828,0.85780
1999,Direct migration background,No answer / don't know,No,0.95344,78,78,0.90637,1.00050
1999,Direct migration background,Primary Level,No,0.99779,334,334,0.99276,1.00283
1999,Direct migration background,Lower Secondary Level,No,0.97568,592,592,0.96326,0.98810
1999,Direct migration background,Upper Secondary Level,No,0.94676,735,735,0.93052,0.96300
1999,Direct migration background,Post-secondary Non-tertiary Level,No,0.88514,113,113,0.82608,0.94419
1999,Direct migration background,First Stage of Tertiary Education,No,0.97813,45,45,0.93492,1.02135
1999,Direct migration background,Second Stage of Tertiary Education,No,0.91124,149,149,0.86542,0.95706
1999,Indirect migration background,No answer / don't know,No,0.89338,44,44,0.80113,0.98563
1999,Indirect migration background,Pre-primary Level,No,0.91251,59,59,0.83979,0.98523
1999,Indirect migration background,Lower Secondary Level,No,0.96259,181,181,0.93487,0.99031
1999,Indirect migration background,Upper Secondary Level,No,0.92067,189,189,0.88203,0.95930
2000,No migration background,Pre-primary Level,No,0.92720,269,269,0.89610,0.95831
2000,No migration background,Primary Level,No,0.97932,96,96,0.95070,1.00794
2000,No migration background,Lower Secondary Level,Yes,0.04853,108,2335,0.03981,0.05725
2000,No migration background,Lower Secondary Level,No,0.95147,2227,2335,0.94275,0.96019
2000,No migration background,Upper Secondary Level,Yes,0.09763,933,10181,0.09187,0.10340
2000,No migration background,Upper Secondary Level,No,0.90237,9248,10181,0.89660,0.90813
2000,No migration background,Post-secondary Non-tertiary Level,Yes,0.16070,108,712,0.13370,0.18769
2000,No migration background,Post-secondary Non-tertiary Level,No,0.83930,604,712,0.81231,0.86630
2000,No migration background,First Stage of Tertiary Education,Yes,0.11222,161,1429,0.09585,0.12860
2000,No migration background,First Stage of Tertiary Education,No,0.88778,1268,1429,0.87140,0.90415
2000,No migration background,Second Stage of Tertiary Education,Yes,0.18453,381,2373,0.16892,0.20014
2000,No migration background,Second Stage of Tertiary Education,No,0.81547,1992,2373,0.79986,0.83108
2000,Direct migration background,Pre-primary Level,No,0.98079,55,55,0.94418,1.01740
2000,Direct migration background,Primary Level,No,0.98757,280,280,0.97456,1.00057
2000,Direct migration background,Lower Secondary Level,No,0.99158,830,830,0.98536,0.99780
2000,Direct migration background,Upper Secondary Level,Yes,0.04047,41,1176,0.02920,0.05174
2000,Direct migration background,Upper Secondary Level,No,0.95953,1135,1176,0.94826,0.97080
2000,Direct migration background,Post-secondary Non-tertiary Level,No,0.94420,244,244,0.91534,0.97306
2000,Direct migration background,First Stage of Tertiary Education,No,0.93909,167,167,0.90271,0.97547
2000,Direct migration background,Second Stage of Tertiary Education,Yes,0.12296,34,332,0.08758,0.15834
2000,Direct migration background,Second Stage of Tertiary Education,No,0.87704,298,332,0.84166,0.91242
2000,Indirect migration background,Pre-primary Level,No,0.92013,60,60,0.85096,0.98931
2000,Indirect migration background,Lower Secondary Level,No,0.94121,242,242,0.91151,0.97091
2000,Indirect migration background,Upper Secondary Level,No,0.91554,304,304,0.88422,0.94685
2000,Indirect migration background,First Stage of Tertiary Education,No,0.91119,32,32,0.81105,1.01133
2000,Indirect migration background,Second Stage of Tertiary Education,No,0.84317,35,35,0.72094,0.96541
2001,No migration background,No answer / don't know,No,0.95986,76,76,0.91543,1.00428
2001,No migration background,Pre-primary Level,No,0.92502,314,314,0.89585,0.95420
2001,No migration background,Primary Level,No,0.97541,84,84,0.94208,1.00873
2001,No migration background,Lower Secondary Level,Yes,0.03723,82,1990,0.02891,0.04556
2001,No migration background,Lower Secondary Level,No,0.96277,1908,1990,0.95444,0.97109
2001,No migration background,Upper Secondary Level,Yes,0.10094,863,9237,0.09479,0.10708
2001,No migration background,Upper Secondary Level,No,0.89906,8374,9237,0.89292,0.90521
2001,No migration background,Post-secondary Non-tertiary Level,Yes,0.17876,119,687,0.15009,0.20744
2001,No migration background,Post-secondary Non-tertiary Level,No,0.82124,568,687,0.79256,0.84991
2001,No migration background,First Stage of Tertiary Education,Yes,0.12151,149,1279,0.10360,0.13942
2001,No migration background,First Stage of Tertiary Education,No,0.87849,1130,1279,0.86058,0.89640
2001,No migration background,Second Stage of Tertiary Education,Yes,0.18265,348,2218,0.16657,0.19874
2001,No migration background,Second Stage of Tertiary Education,No,0.81735,1870,2218,0.80126,0.83343
2001,Direct migration background,Primary Level,No,0.99228,206,206,0.98030,1.00426
2001,Direct migration background,Lower Secondary Level,No,0.99198,748,748,0.98559,0.99838
2001,Direct migration background,Upper Secondary Level,Yes,0.03971,32,1038,0.02783,0.05160
2001,Direct migration background,Upper Secondary Level,No,0.96029,1006,1038,0.94840,0.97217
2001,Direct migration background,Post-secondary Non-tertiary Level,No,0.95746,232,232,0.93143,0.98348
2001,Direct migration background,First Stage of Tertiary Education,No,0.94278,146,146,0.90498,0.98059
2001,Direct migration background,Second Stage of Tertiary Education,No,0.90085,273,273,0.86534,0.93637
2001,Indirect migration background,Pre-primary Level,No,0.89143,54,54,0.80768,0.97519
2001,Indirect migration background,Lower Secondary Level,No,0.94638,220,220,0.91655,0.97622
2001,Indirect migration background,Upper Secondary Level,No,0.89859,270,270,0.86252,0.93467
2001,Indirect migration background,Post-secondary Non-tertiary Level,No,0.89427,32,32,0.78602,1.00251
2001,Indirect migration background,Second Stage of Tertiary Education,No,0.71503,35,35,0.56329,0.86676
2002,No migration background,No answer / don't know,No,0.95788,120,120,0.92180,0.99397
2002,No migration background,Pre-primary Level,Yes,0.07513,38,370,0.04824,0.10203
2002,No migration background,Pre-primary Level,No,0.92487,332,370,0.89797,0.95176
2002,No migration background,Primary Level,No,0.99571,81,81,0.98140,1.01003
2002,No migration background,Lower Secondary Level,Yes,0.04253,88,1895,0.03344,0.05161
2002,No migration background,Lower Secondary Level,No,0.95747,1807,1895,0.94839,0.96656
2002,No migration background,Upper Secondary Level,Yes,0.11126,1076,9187,0.10483,0.11769
2002,No migration background,Upper Secondary Level,No,0.88874,8111,9187,0.88231,0.89517
2002,No migration background,Post-secondary Non-tertiary Level,Yes,0.15976,139,769,0.13385,0.18568
2002,No migration background,Post-secondary Non-tertiary Level,No,0.84024,630,769,0.81432,0.86615
2002,No migration background,First Stage of Tertiary Education,Yes,0.13537,185,1300,0.11677,0.15398
2002,No migration background,First Stage of Tertiary Education,No,0.86463,1115,1300,0.84602,0.88323
2002,No migration background,Second Stage of Tertiary Education,Yes,0.18951,503,2517,0.17420,0.20483
2002,No migration background,Second Stage of Tertiary Education,No,0.81049,2014,2517,0.79517,0.82580
2002,Direct migration background,Primary Level,No,0.99190,187,187,0.97902,1.00478
2002,Direct migration background,Lower Secondary Level,No,0.98421,683,683,0.97485,0.99356
2002,Direct migration background,Upper Secondary Level,Yes,0.05235,45,972,0.03834,0.06636
2002,Direct migration background,Upper Secondary Level,No,0.94765,927,972,0.93364,0.96166
2002,Direct migration background,Post-secondary Non-tertiary Level,No,0.95509,213,213,0.92721,0.98297
2002,Direct migration background,First Stage of Tertiary Education,No,0.92337,141,141,0.87930,0.96743
2002,Direct migration background,Second Stage of Tertiary Education,Yes,0.09522,31,304,0.06217,0.12827
2002,Direct migration background,Second Stage of Tertiary Education,No,0.90478,273,304,0.87173,0.93783
2002,Indirect migration background,Pre-primary Level,No,0.97544,68,68,0.93837,1.01250
2002,Indirect migration background,Lower Secondary Level,No,0.94393,185,185,0.91069,0.97717
2002,Indirect migration background,Upper Secondary Level,No,0.92383,270,270,0.89213,0.95553
2002,Indirect migration background,Second Stage of Tertiary Education,No,0.79460,43,43,0.67242,0.91678
2003,No migration background,No answer / don't know,No,0.91633,139,139,0.87013,0.96253
2003,No migration background,Pre-primary Level,Yes,0.09420,40,390,0.06517,0.12323
2003,No migration background,Pre-primary Level,No,0.90580,350,390,0.87677,0.93483
2003,No migration background,Primary Level,No,0.98455,83,83,0.95785,1.01125
2003,No migration background,Lower Secondary Level,Yes,0.04254,87,1808,0.03323,0.05184
2003,No migration background,Lower Secondary Level,No,0.95746,1721,1808,0.94816,0.96677
2003,No migration background,Upper Secondary Level,Yes,0.10857,1030,8781,0.10206,0.11507
2003,No migration background,Upper Secondary Level,No,0.89143,7751,8781,0.88493,0.89794
2003,No migration background,Post-secondary Non-tertiary Level,Yes,0.17958,154,762,0.15231,0.20685
2003,No migration background,Post-secondary Non-tertiary Level,No,0.82042,608,762,0.79315,0.84769
2003,No migration background,First Stage of Tertiary Education,Yes,0.13163,170,1271,0.11303,0.15022
2003,No migration background,First Stage of Tertiary Education,No,0.86837,1101,1271,0.84978,0.88697
2003,No migration background,Second Stage of Tertiary Education,Yes,0.20469,494,2427,0.18863,0.22074
2003,No migration background,Second Stage of Tertiary Education,No,0.79531,1933,2427,0.77926,0.81137
2003,Direct migration background,Pre-primary Level,No,0.96654,46,46,0.91400,1.01908
2003,Direct migration background,Primary Level,No,0.99075,165,165,0.97610,1.00540
2003,Direct migration background,Lower Secondary Level,No,0.99269,645,645,0.98611,0.99927
2003,Direct migration background,Upper Secondary Level,Yes,0.04506,39,927,0.03170,0.05842
2003,Direct migration background,Upper Secondary Level,No,0.95494,888,927,0.94158,0.96830
2003,Direct migration background,Post-secondary Non-tertiary Level,No,0.96338,203,203,0.93747,0.98928
2003,Direct migration background,First Stage of Tertiary Education,No,0.92818,120,120,0.88179,0.97457
2003,Direct migration background,Second Stage of Tertiary Education,No,0.90027,260,260,0.86377,0.93676
2003,Indirect migration background,Lower Secondary Level,No,0.92511,170,170,0.88542,0.96479
2003,Indirect migration background,Upper Secondary Level,No,0.90294,273,273,0.86776,0.93812
2003,Indirect migration background,Post-secondary Non-tertiary Level,No,0.78433,36,36,0.64807,0.92059
2003,Indirect migration background,Second Stage of Tertiary Education,No,0.78682,40,40,0.65828,0.91536
2004,No migration background,No answer / don't know,No,0.93322,157,157,0.89405,0.97240
2004,No migration background,Pre-primary Level,Yes,0.09400,37,367,0.06411,0.12390
2004,No migration background,Pre-primary Level,No,0.90600,330,367,0.87610,0.93589
