year,migback,sampreg,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,No migration background,West,Yes,0.08489,714,6135,0.07792,0.09187
1999,No migration background,West,No,0.62673,5421,6135,0.61462,0.63883
1999,No migration background,East,Yes,0.03626,152,3464,0.03004,0.04249
1999,No migration background,East,No,0.76747,3312,3464,0.75340,0.78154
1999,Direct migration background,West,Yes,0.04235,51,2012,0.03355,0.05116
1999,Direct migration background,West,No,0.84128,1961,2012,0.82531,0.85725
1999,Direct migration background,East,No,0.96983,106,106,0.93711,1.00255
1999,Indirect migration background,West,No,0.35794,524,524,0.31685,0.39903
2000,No migration background,West,Yes,0.08869,1501,12097,0.08362,0.09376
2000,No migration background,West,No,0.62683,10596,12097,0.61821,0.63545
2000,No migration background,East,Yes,0.03396,216,5334,0.02910,0.03882
2000,No migration background,East,No,0.76690,5118,5334,0.75555,0.77825
2000,Direct migration background,West,Yes,0.03856,109,2995,0.03166,0.04546
2000,Direct migration background,West,No,0.81814,2886,2995,0.80432,0.83195
2000,Direct migration background,East,No,0.90732,144,144,0.85980,0.95485
2000,Indirect migration background,West,Yes,0.02825,42,745,0.01635,0.04016
2000,Indirect migration background,West,No,0.34357,703,745,0.30944,0.37769
2001,No migration background,West,Yes,0.09054,1374,10939,0.08516,0.09592
2001,No migration background,West,No,0.62510,9565,10939,0.61603,0.63417
2001,No migration background,East,Yes,0.03455,218,4977,0.02948,0.03963
2001,No migration background,East,No,0.77211,4759,4977,0.76045,0.78376
2001,Direct migration background,West,Yes,0.03402,75,2635,0.02710,0.04095
2001,Direct migration background,West,No,0.83448,2560,2635,0.82029,0.84868
2001,Direct migration background,East,No,0.95122,117,117,0.91202,0.99042
2001,Indirect migration background,West,Yes,0.03663,49,694,0.02265,0.05062
2001,Indirect migration background,West,No,0.31476,645,694,0.28018,0.34934
2002,No migration background,West,Yes,0.09685,1775,11351,0.09141,0.10229
2002,No migration background,West,No,0.62314,9576,11351,0.61423,0.63206
2002,No migration background,East,Yes,0.03833,261,4895,0.03295,0.04371
2002,No migration background,East,No,0.77717,4634,4895,0.76552,0.78883
2002,Direct migration background,West,Yes,0.04137,104,2498,0.03356,0.04918
2002,Direct migration background,West,No,0.84759,2394,2498,0.83349,0.86168
