year,age_gr,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,17-29 y.,Yes,0.08191,186,2732,0.07162,0.09219
1999,17-29 y.,No,0.91809,2546,2732,0.90781,0.92838
1999,30-45 y.,Yes,0.10523,377,4173,0.09592,0.11454
1999,30-45 y.,No,0.89477,3796,4173,0.88546,0.90408
1999,46-65 y.,Yes,0.09938,275,3725,0.08977,0.10899
1999,46-65 y.,No,0.90062,3450,3725,0.89101,0.91023
1999,66 and older,Yes,0.07359,105,1656,0.06101,0.08617
1999,66 and older,No,0.92641,1551,1656,0.91383,0.93899
2000,17-29 y.,Yes,0.07584,290,4161,0.06779,0.08388
2000,17-29 y.,No,0.92416,3871,4161,0.91612,0.93221
2000,30-45 y.,Yes,0.10317,692,7162,0.09612,0.11021
2000,30-45 y.,No,0.89683,6470,7162,0.88979,0.90388
2000,46-65 y.,Yes,0.11356,665,6722,0.10598,0.12115
2000,46-65 y.,No,0.88644,6057,6722,0.87885,0.89402
2000,66 and older,Yes,0.07259,223,3293,0.06372,0.08145
2000,66 and older,No,0.92741,3070,3293,0.91855,0.93628
2001,17-29 y.,Yes,0.08047,271,3714,0.07173,0.08922
2001,17-29 y.,No,0.91953,3443,3714,0.91078,0.92827
2001,30-45 y.,Yes,0.12082,693,6439,0.11286,0.12878
2001,30-45 y.,No,0.87918,5746,6439,0.87122,0.88714
2001,46-65 y.,Yes,0.10108,551,6135,0.09354,0.10863
2001,46-65 y.,No,0.89892,5584,6135,0.89137,0.90646
2001,66 and older,Yes,0.07234,204,3096,0.06322,0.08147
2001,66 and older,No,0.92766,2892,3096,0.91853,0.93678
2002,17-29 y.,Yes,0.08020,314,3697,0.07144,0.08896
2002,17-29 y.,No,0.91980,3383,3697,0.91104,0.92856
2002,30-45 y.,Yes,0.11181,769,6290,0.10402,0.11960
2002,30-45 y.,No,0.88819,5521,6290,0.88040,0.89598
2002,46-65 y.,Yes,0.11912,819,6330,0.11114,0.12710
2002,46-65 y.,No,0.88088,5511,6330,0.87290,0.88886
2002,66 and older,Yes,0.08598,290,3245,0.07633,0.09562
2002,66 and older,No,0.91402,2955,3245,0.90438,0.92367
2003,17-29 y.,Yes,0.08605,333,3564,0.07684,0.09526
2003,17-29 y.,No,0.91395,3231,3564,0.90474,0.92316
2003,30-45 y.,Yes,0.12208,743,5897,0.11373,0.13044
2003,30-45 y.,No,0.87792,5154,5897,0.86956,0.88627
2003,46-65 y.,Yes,0.11110,765,6102,0.10321,0.11898
2003,46-65 y.,No,0.88890,5337,6102,0.88102,0.89679
2003,66 and older,Yes,0.08673,299,3274,0.07709,0.09638
2003,66 and older,No,0.91327,2975,3274,0.90362,0.92291
2004,17-29 y.,Yes,0.09272,355,3508,0.08312,0.10232
2004,17-29 y.,No,0.90728,3153,3508,0.89768,0.91688
2004,30-45 y.,Yes,0.12780,726,5533,0.11900,0.13660
2004,30-45 y.,No,0.87220,4807,5533,0.86340,0.88100
2004,46-65 y.,Yes,0.12495,825,5913,0.11652,0.13338
2004,46-65 y.,No,0.87505,5088,5913,0.86662,0.88348
2004,66 and older,Yes,0.09195,333,3377,0.08220,0.10169
2004,66 and older,No,0.90805,3044,3377,0.89831,0.91780
2005,17-29 y.,Yes,0.10629,357,3382,0.09590,0.11668
2005,17-29 y.,No,0.89371,3025,3382,0.88332,0.90410
2005,30-45 y.,Yes,0.14380,768,5138,0.13421,0.15340
2005,30-45 y.,No,0.85620,4370,5138,0.84660,0.86579
2005,46-65 y.,Yes,0.13362,827,5609,0.12472,0.14253
2005,46-65 y.,No,0.86638,4782,5609,0.85747,0.87528
2005,66 and older,Yes,0.10536,366,3367,0.09499,0.11574
2005,66 and older,No,0.89464,3001,3367,0.88426,0.90501
2006,17-29 y.,Yes,0.12182,396,3263,0.11060,0.13305
2006,17-29 y.,No,0.87818,2867,3263,0.86695,0.88940
2006,30-45 y.,Yes,0.16233,915,5308,0.15241,0.17225
