year,migback,regtyp,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,No migration background,Urban regions,Yes,0.08398,603,5623,0.07673,0.09123
1999,No migration background,Urban regions,No,0.63884,5020,5623,0.62628,0.65140
1999,No migration background,Rural regions,Yes,0.05632,263,3976,0.04915,0.06349
1999,No migration background,Rural regions,No,0.69131,3713,3976,0.67695,0.70567
1999,Direct migration background,Urban regions,Yes,0.04379,47,1771,0.03426,0.05332
1999,Direct migration background,Urban regions,No,0.84686,1724,1771,0.83009,0.86364
1999,Direct migration background,Rural regions,No,0.85405,343,343,0.81663,0.89147
1999,Indirect migration background,Urban regions,No,0.36581,461,461,0.32180,0.40983
1999,Indirect migration background,Rural regions,No,0.30034,82,82,0.20051,0.40017
2000,No migration background,Urban regions,Yes,0.08942,1272,10485,0.08395,0.09488
2000,No migration background,Urban regions,No,0.63456,9213,10485,0.62534,0.64378
2000,No migration background,Rural regions,Yes,0.05331,445,6946,0.04802,0.05859
2000,No migration background,Rural regions,No,0.69952,6501,6946,0.68873,0.71030
2000,Direct migration background,Urban regions,Yes,0.03973,98,2594,0.03221,0.04725
2000,Direct migration background,Urban regions,No,0.82172,2496,2594,0.80699,0.83645
2000,Direct migration background,Rural regions,No,0.82417,534,534,0.79185,0.85649
2000,Indirect migration background,Urban regions,Yes,0.03010,39,661,0.01707,0.04314
2000,Indirect migration background,Urban regions,No,0.35332,622,661,0.31685,0.38979
2000,Indirect migration background,Rural regions,No,0.28833,102,102,0.19998,0.37667
2001,No migration background,Urban regions,Yes,0.08966,1145,9579,0.08394,0.09538
2001,No migration background,Urban regions,No,0.63087,8434,9579,0.62121,0.64053
2001,No migration background,Rural regions,Yes,0.05754,447,6337,0.05180,0.06327
2001,No migration background,Rural regions,No,0.70521,5890,6337,0.69398,0.71644
2001,Direct migration background,Urban regions,Yes,0.03232,61,2269,0.02505,0.03960
2001,Direct migration background,Urban regions,No,0.84162,2208,2269,0.82660,0.85665
2001,Direct migration background,Rural regions,No,0.82845,469,469,0.79429,0.86260
2001,Indirect migration background,Urban regions,Yes,0.04044,46,620,0.02493,0.05596
2001,Indirect migration background,Urban regions,No,0.32850,574,620,0.29150,0.36550
2001,Indirect migration background,Rural regions,No,0.24448,90,90,0.15519,0.33377
2002,No migration background,Urban regions,Yes,0.09670,1482,9947,0.09089,0.10251
2002,No migration background,Urban regions,No,0.63136,8465,9947,0.62188,0.64084
2002,No migration background,Rural regions,Yes,0.06134,554,6299,0.05541,0.06726
2002,No migration background,Rural regions,No,0.70205,5745,6299,0.69076,0.71335
2002,Direct migration background,Urban regions,Yes,0.04003,89,2163,0.03177,0.04829
2002,Direct migration background,Urban regions,No,0.85438,2074,2163,0.83951,0.86925
2002,Direct migration background,Rural regions,No,0.84020,432,432,0.80561,0.87479
2002,Indirect migration background,Urban regions,Yes,0.02754,43,617,0.01462,0.04046
2002,Indirect migration background,Urban regions,No,0.34389,574,617,0.30638,0.38140
2002,Indirect migration background,Rural regions,No,0.26875,80,80,0.17099,0.36650
2003,No migration background,Urban regions,Yes,0.09687,1438,9643,0.09096,0.10277
2003,No migration background,Urban regions,No,0.62860,8205,9643,0.61896,0.63824
2003,No migration background,Rural regions,Yes,0.06428,550,6031,0.05809,0.07047
2003,No migration background,Rural regions,No,0.70013,5481,6031,0.68856,0.71169
2003,Direct migration background,Urban regions,Yes,0.03680,81,2026,0.02860,0.04500
2003,Direct migration background,Urban regions,No,0.86103,1945,2026,0.84596,0.87610
2003,Direct migration background,Rural regions,No,0.83939,414,414,0.80398,0.87481
2003,Indirect migration background,Urban regions,Yes,0.03143,48,619,0.01767,0.04519
2003,Indirect migration background,Urban regions,No,0.35178,571,619,0.31413,0.38943
2003,Indirect migration background,Rural regions,No,0.27013,81,81,0.17283,0.36743
2004,No migration background,Urban regions,Yes,0.10478,1502,9354,0.09857,0.11099
2004,No migration background,Urban regions,No,0.62216,7852,9354,0.61233,0.63198
2004,No migration background,Rural regions,Yes,0.06917,575,5875,0.06268,0.07566
2004,No migration background,Rural regions,No,0.69425,5300,5875,0.68247,0.70603
2004,Direct migration background,Urban regions,Yes,0.03995,87,1967,0.03129,0.04861
2004,Direct migration background,Urban regions,No,0.87064,1880,1967,0.85581,0.88548
2004,Direct migration background,Rural regions,No,0.85317,392,392,0.81809,0.88826
2004,Indirect migration background,Urban regions,Yes,0.03780,50,621,0.02279,0.05281
2004,Indirect migration background,Urban regions,No,0.36009,571,621,0.32230,0.39787
2004,Indirect migration background,Rural regions,No,0.34778,97,97,0.25251,0.44305
2005,No migration background,Urban regions,Yes,0.11533,1503,8928,0.10871,0.12196
2005,No migration background,Urban regions,No,0.61446,7425,8928,0.60436,0.62456
2005,No migration background,Rural regions,Yes,0.07894,634,5621,0.07189,0.08599
2005,No migration background,Rural regions,No,0.67864,4987,5621,0.66643,0.69085
2005,Direct migration background,Urban regions,Yes,0.04767,94,1824,0.03789,0.05745
2005,Direct migration background,Urban regions,No,0.85825,1730,1824,0.84224,0.87426
2005,Direct migration background,Rural regions,No,0.83009,353,353,0.79086,0.86933
2005,Indirect migration background,Urban regions,Yes,0.04311,60,650,0.02748,0.05874
2005,Indirect migration background,Urban regions,No,0.40212,590,650,0.36440,0.43984
2005,Indirect migration background,Rural regions,No,0.37294,93,93,0.27412,0.47176
2006,No migration background,Urban regions,Yes,0.12677,1859,9571,0.12010,0.13343
2006,No migration background,Urban regions,No,0.59616,7712,9571,0.58633,0.60599
2006,No migration background,Rural regions,Yes,0.09436,784,6068,0.08700,0.10171
2006,No migration background,Rural regions,No,0.65569,5284,6068,0.64374,0.66765
2006,Direct migration background,Urban regions,Yes,0.05690,113,1811,0.04622,0.06757
2006,Direct migration background,Urban regions,No,0.84956,1698,1811,0.83309,0.86603
2006,Direct migration background,Rural regions,No,0.82121,369,369,0.78206,0.86036
2006,Indirect migration background,Urban regions,Yes,0.05550,75,623,0.03751,0.07350
2006,Indirect migration background,Urban regions,No,0.38685,548,623,0.34858,0.42513
2006,Indirect migration background,Rural regions,No,0.35805,104,104,0.26546,0.45064
2007,No migration background,Urban regions,Yes,0.14148,1906,8961,0.13426,0.14870
2007,No migration background,Urban regions,No,0.57793,7055,8961,0.56771,0.58816
2007,No migration background,Rural regions,Yes,0.10189,785,5674,0.09402,0.10976
2007,No migration background,Rural regions,No,0.64739,4889,5674,0.63496,0.65982
2007,Direct migration background,Urban regions,Yes,0.06511,119,1612,0.05306,0.07716
2007,Direct migration background,Urban regions,No,0.84542,1493,1612,0.82777,0.86307
2007,Direct migration background,Rural regions,No,0.83113,343,343,0.79142,0.87083
2007,Indirect migration background,Urban regions,Yes,0.05707,69,596,0.03843,0.07570
2007,Indirect migration background,Urban regions,No,0.40315,527,596,0.36373,0.44256
