year,pgisced97,sampreg,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,No answer / don't know,West,No,0.86026,190,190,0.81083,0.90969
1999,No answer / don't know,East,No,0.90923,37,37,0.81539,1.00308
1999,Pre-primary Level,West,No,0.90856,159,159,0.86362,0.95350
1999,Pre-primary Level,East,No,0.88759,86,86,0.82043,0.95474
1999,Primary Level,West,No,0.98746,401,401,0.97656,0.99837
1999,Lower Secondary Level,West,Yes,0.05130,87,1972,0.04156,0.06104
1999,Lower Secondary Level,West,No,0.94870,1885,1972,0.93896,0.95844
1999,Lower Secondary Level,East,No,0.98538,358,358,0.97293,0.99783
1999,Upper Secondary Level,West,Yes,0.10700,427,4350,0.09781,0.11618
1999,Upper Secondary Level,West,No,0.89300,3923,4350,0.88382,0.90219
1999,Upper Secondary Level,East,Yes,0.04244,71,2000,0.03360,0.05128
1999,Upper Secondary Level,East,No,0.95756,1929,2000,0.94872,0.96640
1999,Post-secondary Non-tertiary Level,West,Yes,0.17603,49,388,0.13809,0.21398
1999,Post-secondary Non-tertiary Level,West,No,0.82397,339,388,0.78602,0.86191
1999,Post-secondary Non-tertiary Level,East,No,0.94712,60,60,0.89002,1.00423
1999,First Stage of Tertiary Education,West,Yes,0.11599,58,462,0.08676,0.14523
1999,First Stage of Tertiary Education,West,No,0.88401,404,462,0.85477,0.91324
1999,First Stage of Tertiary Education,East,No,0.95846,215,215,0.93173,0.98520
1999,Second Stage of Tertiary Education,West,Yes,0.20812,129,734,0.17873,0.23751
1999,Second Stage of Tertiary Education,West,No,0.79188,605,734,0.76249,0.82127
1999,Second Stage of Tertiary Education,East,Yes,0.05292,43,780,0.03720,0.06864
1999,Second Stage of Tertiary Education,East,No,0.94708,737,780,0.93136,0.96280
2000,No answer / don't know,West,No,0.96157,31,31,0.89278,1.03036
2000,Pre-primary Level,West,No,0.92705,258,258,0.89525,0.95884
2000,Pre-primary Level,East,No,0.95201,126,126,0.91454,0.98948
2000,Primary Level,West,No,0.98521,372,372,0.97293,0.99749
2000,Lower Secondary Level,West,Yes,0.04397,111,2919,0.03653,0.05141
2000,Lower Secondary Level,West,No,0.95603,2808,2919,0.94859,0.96347
2000,Lower Secondary Level,East,No,0.98235,491,491,0.97069,0.99401
2000,Upper Secondary Level,West,Yes,0.10627,887,8561,0.09974,0.11280
2000,Upper Secondary Level,West,No,0.89373,7674,8561,0.88720,0.90026
2000,Upper Secondary Level,East,Yes,0.03970,109,3122,0.03285,0.04655
2000,Upper Secondary Level,East,No,0.96030,3013,3122,0.95345,0.96715
2000,Post-secondary Non-tertiary Level,West,Yes,0.13983,118,892,0.11706,0.16260
2000,Post-secondary Non-tertiary Level,West,No,0.86017,774,892,0.83740,0.88294
2000,Post-secondary Non-tertiary Level,East,No,0.95169,110,110,0.91144,0.99195
2000,First Stage of Tertiary Education,West,Yes,0.12653,155,1170,0.10748,0.14559
2000,First Stage of Tertiary Education,West,No,0.87347,1015,1170,0.85441,0.89252
2000,First Stage of Tertiary Education,East,No,0.95998,452,452,0.94190,0.97807
2000,Second Stage of Tertiary Education,West,Yes,0.23395,356,1609,0.21326,0.25464
2000,Second Stage of Tertiary Education,West,No,0.76605,1253,1609,0.74536,0.78674
2000,Second Stage of Tertiary Education,East,Yes,0.05534,66,1138,0.04205,0.06864
2000,Second Stage of Tertiary Education,East,No,0.94466,1072,1138,0.93136,0.95795
2001,No answer / don't know,West,No,0.96471,82,82,0.92453,1.00489
2001,Pre-primary Level,West,No,0.92639,279,279,0.89570,0.95709
2001,Pre-primary Level,East,No,0.94120,132,132,0.90091,0.98149
2001,Primary Level,West,No,0.98760,289,289,0.97482,1.00038
2001,Lower Secondary Level,West,Yes,0.03317,84,2531,0.02619,0.04015
2001,Lower Secondary Level,West,No,0.96683,2447,2531,0.95985,0.97381
2001,Lower Secondary Level,East,No,0.97874,429,429,0.96507,0.99241
2001,Upper Secondary Level,West,Yes,0.11109,813,7691,0.10407,0.11811
2001,Upper Secondary Level,West,No,0.88891,6878,7691,0.88189,0.89593
2001,Upper Secondary Level,East,Yes,0.03634,106,2878,0.02950,0.04318
2001,Upper Secondary Level,East,No,0.96366,2772,2878,0.95682,0.97050
2001,Post-secondary Non-tertiary Level,West,Yes,0.15442,123,848,0.13008,0.17875
2001,Post-secondary Non-tertiary Level,West,No,0.84558,725,848,0.82125,0.86992
2001,Post-secondary Non-tertiary Level,East,No,0.94899,107,107,0.90710,0.99087
2001,First Stage of Tertiary Education,West,Yes,0.14119,145,1050,0.12012,0.16226
2001,First Stage of Tertiary Education,West,No,0.85881,905,1050,0.83774,0.87988
2001,First Stage of Tertiary Education,East,No,0.96670,400,400,0.94910,0.98431
2001,Second Stage of Tertiary Education,West,Yes,0.22349,310,1475,0.20222,0.24475
2001,Second Stage of Tertiary Education,West,No,0.77651,1165,1475,0.75525,0.79778
2001,Second Stage of Tertiary Education,East,Yes,0.06773,70,1083,0.05276,0.08270
2001,Second Stage of Tertiary Education,East,No,0.93227,1013,1083,0.91730,0.94724
2002,No answer / don't know,West,No,0.96164,120,120,0.92713,0.99615
2002,Pre-primary Level,West,Yes,0.05262,34,354,0.02933,0.07591
2002,Pre-primary Level,West,No,0.94738,320,354,0.92409,0.97067
2002,Pre-primary Level,East,No,0.93556,131,131,0.89335,0.97777
2002,Primary Level,West,No,0.99318,263,263,0.98321,1.00315
2002,Lower Secondary Level,West,Yes,0.04071,97,2363,0.03274,0.04868
2002,Lower Secondary Level,West,No,0.95929,2266,2363,0.95132,0.96726
2002,Lower Secondary Level,East,No,0.98808,409,409,0.97754,0.99861
2002,Upper Secondary Level,West,Yes,0.12136,1015,7690,0.11406,0.12866
2002,Upper Secondary Level,West,No,0.87864,6675,7690,0.87134,0.88594
2002,Upper Secondary Level,East,Yes,0.04356,130,2763,0.03595,0.05117
2002,Upper Secondary Level,East,No,0.95644,2633,2763,0.94883,0.96405
2002,Post-secondary Non-tertiary Level,West,Yes,0.13502,147,900,0.11268,0.15736
2002,Post-secondary Non-tertiary Level,West,No,0.86498,753,900,0.84264,0.88732
2002,Post-secondary Non-tertiary Level,East,No,0.91845,120,120,0.86928,0.96762
2002,First Stage of Tertiary Education,West,Yes,0.15342,170,1066,0.13178,0.17507
2002,First Stage of Tertiary Education,West,No,0.84658,896,1066,0.82493,0.86822
2002,First Stage of Tertiary Education,East,No,0.95220,389,389,0.93098,0.97343
2002,Second Stage of Tertiary Education,West,Yes,0.22995,457,1768,0.21033,0.24957
2002,Second Stage of Tertiary Education,West,No,0.77005,1311,1768,0.75043,0.78967
2002,Second Stage of Tertiary Education,East,Yes,0.06425,87,1106,0.04979,0.07870
2002,Second Stage of Tertiary Education,East,No,0.93575,1019,1106,0.92130,0.95021
2003,No answer / don't know,West,No,0.93476,151,151,0.89524,0.97428
2003,No answer / don't know,East,No,0.99121,56,56,0.96655,1.01588
2003,Pre-primary Level,West,No,0.93359,316,316,0.90609,0.96109
2003,Pre-primary Level,East,No,0.90444,136,136,0.85485,0.95403
2003,Primary Level,West,No,0.98933,246,246,0.97646,1.00219
2003,Lower Secondary Level,West,Yes,0.03959,94,2234,0.03150,0.04768
2003,Lower Secondary Level,West,No,0.96041,2140,2234,0.95232,0.96850
2003,Lower Secondary Level,East,No,0.98555,396,396,0.97378,0.99732
2003,Upper Secondary Level,West,Yes,0.11779,974,7327,0.11040,0.12517
