year,quintil_oecd,sex,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,1st Quintile,male,Yes,0.04615,36,1107,0.03379,0.05852
1999,1st Quintile,male,No,0.95385,1071,1107,0.94148,0.96621
1999,1st Quintile,female,Yes,0.03864,42,1417,0.02860,0.04868
1999,1st Quintile,female,No,0.96136,1375,1417,0.95132,0.97140
1999,2nd Quintile,male,Yes,0.05008,50,1318,0.03830,0.06185
1999,2nd Quintile,male,No,0.94992,1268,1318,0.93815,0.96170
1999,2nd Quintile,female,Yes,0.04565,58,1450,0.03490,0.05640
1999,2nd Quintile,female,No,0.95435,1392,1450,0.94360,0.96510
1999,3rd Quintile,male,Yes,0.07050,85,1237,0.05623,0.08477
1999,3rd Quintile,male,No,0.92950,1152,1237,0.91523,0.94377
1999,3rd Quintile,female,Yes,0.06648,79,1382,0.05334,0.07962
1999,3rd Quintile,female,No,0.93352,1303,1382,0.92038,0.94666
1999,4th Quintile,male,Yes,0.07852,90,1174,0.06313,0.09392
1999,4th Quintile,male,No,0.92148,1084,1174,0.90608,0.93687
1999,4th Quintile,female,Yes,0.13294,143,1265,0.11423,0.15166
1999,4th Quintile,female,No,0.86706,1122,1265,0.84834,0.88577
1999,5th Quintile,male,Yes,0.20462,161,924,0.17859,0.23065
1999,5th Quintile,male,No,0.79538,763,924,0.76935,0.82141
1999,5th Quintile,female,Yes,0.23105,199,1012,0.20507,0.25704
1999,5th Quintile,female,No,0.76895,813,1012,0.74296,0.79493
2000,1st Quintile,male,Yes,0.03406,34,1093,0.02330,0.04482
2000,1st Quintile,male,No,0.96594,1059,1093,0.95518,0.97670
2000,1st Quintile,female,Yes,0.03806,38,1434,0.02816,0.04797
2000,1st Quintile,female,No,0.96194,1396,1434,0.95203,0.97184
2000,2nd Quintile,male,Yes,0.04771,55,1240,0.03584,0.05958
2000,2nd Quintile,male,No,0.95229,1185,1240,0.94042,0.96416
2000,2nd Quintile,female,Yes,0.05704,69,1392,0.04485,0.06922
2000,2nd Quintile,female,No,0.94296,1323,1392,0.93078,0.95515
2000,3rd Quintile,male,Yes,0.06532,70,1229,0.05150,0.07914
2000,3rd Quintile,male,No,0.93468,1159,1229,0.92086,0.94850
2000,3rd Quintile,female,Yes,0.07931,95,1313,0.06468,0.09393
2000,3rd Quintile,female,No,0.92069,1218,1313,0.90607,0.93532
2000,4th Quintile,male,Yes,0.09482,104,1160,0.07795,0.11168
2000,4th Quintile,male,No,0.90518,1056,1160,0.88832,0.92205
2000,4th Quintile,female,Yes,0.10919,119,1208,0.09160,0.12679
2000,4th Quintile,female,No,0.89081,1089,1208,0.87321,0.90840
2000,5th Quintile,male,Yes,0.20020,149,877,0.17371,0.22670
2000,5th Quintile,male,No,0.79980,728,877,0.77330,0.82629
2000,5th Quintile,female,Yes,0.24047,204,980,0.21370,0.26724
2000,5th Quintile,female,No,0.75953,776,980,0.73276,0.78630
2001,1st Quintile,male,Yes,0.02483,31,1586,0.01717,0.03249
2001,1st Quintile,male,No,0.97517,1555,1586,0.96751,0.98283
2001,1st Quintile,female,Yes,0.03356,63,2169,0.02598,0.04114
2001,1st Quintile,female,No,0.96644,2106,2169,0.95886,0.97402
2001,2nd Quintile,male,Yes,0.05438,94,1920,0.04424,0.06453
2001,2nd Quintile,male,No,0.94562,1826,1920,0.93547,0.95576
2001,2nd Quintile,female,Yes,0.05308,102,2240,0.04379,0.06236
2001,2nd Quintile,female,No,0.94692,2138,2240,0.93764,0.95621
2001,3rd Quintile,male,Yes,0.08670,160,2025,0.07444,0.09896
2001,3rd Quintile,male,No,0.91330,1865,2025,0.90104,0.92556
2001,3rd Quintile,female,Yes,0.08719,184,2208,0.07542,0.09896
2001,3rd Quintile,female,No,0.91281,2024,2208,0.90104,0.92458
2001,4th Quintile,male,Yes,0.11371,201,1932,0.09955,0.12787
2001,4th Quintile,male,No,0.88629,1731,1932,0.87213,0.90045
2001,4th Quintile,female,Yes,0.13189,260,2083,0.11735,0.14642
2001,4th Quintile,female,No,0.86811,1823,2083,0.85358,0.88265
2001,5th Quintile,male,Yes,0.19847,267,1503,0.17829,0.21864
2001,5th Quintile,male,No,0.80153,1236,1503,0.78136,0.82171
2001,5th Quintile,female,Yes,0.22536,357,1717,0.20559,0.24513
2001,5th Quintile,female,No,0.77464,1360,1717,0.75487,0.79441
2002,1st Quintile,male,Yes,0.03530,37,1440,0.02576,0.04483
2002,1st Quintile,male,No,0.96470,1403,1440,0.95517,0.97424
2002,1st Quintile,female,Yes,0.03678,65,1936,0.02839,0.04516
2002,1st Quintile,female,No,0.96322,1871,1936,0.95484,0.97161
2002,2nd Quintile,male,Yes,0.05257,82,1722,0.04202,0.06311
2002,2nd Quintile,male,No,0.94743,1640,1722,0.93689,0.95798
2002,2nd Quintile,female,Yes,0.06089,112,2046,0.05053,0.07126
2002,2nd Quintile,female,No,0.93911,1934,2046,0.92874,0.94947
2002,3rd Quintile,male,Yes,0.08648,148,1758,0.07334,0.09962
2002,3rd Quintile,male,No,0.91352,1610,1758,0.90038,0.92666
2002,3rd Quintile,female,Yes,0.08222,157,1982,0.07012,0.09431
2002,3rd Quintile,female,No,0.91778,1825,1982,0.90569,0.92988
2002,4th Quintile,male,Yes,0.10633,189,1873,0.09237,0.12029
2002,4th Quintile,male,No,0.89367,1684,1873,0.87971,0.90763
2002,4th Quintile,female,Yes,0.13584,238,1976,0.12073,0.15095
2002,4th Quintile,female,No,0.86416,1738,1976,0.84905,0.87927
2002,5th Quintile,male,Yes,0.19225,314,1695,0.17348,0.21101
2002,5th Quintile,male,No,0.80775,1381,1695,0.78899,0.82652
2002,5th Quintile,female,Yes,0.23555,434,1966,0.21679,0.25431
2002,5th Quintile,female,No,0.76445,1532,1966,0.74569,0.78321
