year,regtyp,sex,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Urban regions,male,Yes,0.09460,291,3676,0.08514,0.10406
1999,Urban regions,male,No,0.90540,3385,3676,0.89594,0.91486
1999,Urban regions,female,Yes,0.11002,380,4200,0.10056,0.11949
1999,Urban regions,female,No,0.88998,3820,4200,0.88051,0.89944
1999,Rural regions,male,Yes,0.07262,131,2084,0.06147,0.08376
1999,Rural regions,male,No,0.92738,1953,2084,0.91624,0.93853
1999,Rural regions,female,Yes,0.07008,141,2326,0.05970,0.08046
1999,Rural regions,female,No,0.92992,2185,2326,0.91954,0.94030
2000,Urban regions,male,Yes,0.10575,621,6337,0.09818,0.11332
2000,Urban regions,male,No,0.89425,5716,6337,0.88668,0.90182
2000,Urban regions,female,Yes,0.11153,788,7403,0.10436,0.11870
2000,Urban regions,female,No,0.88847,6615,7403,0.88130,0.89564
2000,Rural regions,male,Yes,0.06328,212,3559,0.05528,0.07129
2000,Rural regions,male,No,0.93672,3347,3559,0.92871,0.94472
2000,Rural regions,female,Yes,0.07125,249,4039,0.06331,0.07918
2000,Rural regions,female,No,0.92875,3790,4039,0.92082,0.93669
2001,Urban regions,male,Yes,0.10467,531,5721,0.09674,0.11261
2001,Urban regions,male,No,0.89533,5190,5721,0.88739,0.90326
2001,Urban regions,female,Yes,0.11385,721,6747,0.10627,0.12143
2001,Urban regions,female,No,0.88615,6026,6747,0.87857,0.89373
2001,Rural regions,male,Yes,0.07346,222,3246,0.06448,0.08244
2001,Rural regions,male,No,0.92654,3024,3246,0.91756,0.93552
2001,Rural regions,female,Yes,0.07191,245,3670,0.06355,0.08027
2001,Rural regions,female,No,0.92809,3425,3670,0.91973,0.93645
2002,Urban regions,male,Yes,0.10817,696,5842,0.10020,0.11613
2002,Urban regions,male,No,0.89183,5146,5842,0.88387,0.89980
2002,Urban regions,female,Yes,0.12233,918,6885,0.11459,0.13007
2002,Urban regions,female,No,0.87767,5967,6885,0.86993,0.88541
2002,Rural regions,male,Yes,0.07729,269,3198,0.06803,0.08654
2002,Rural regions,male,No,0.92271,2929,3198,0.91346,0.93197
2002,Rural regions,female,Yes,0.07754,309,3637,0.06885,0.08623
2002,Rural regions,female,No,0.92246,3328,3637,0.91377,0.93115
2003,Urban regions,male,Yes,0.10677,671,5640,0.09871,0.11483
2003,Urban regions,male,No,0.89323,4969,5640,0.88517,0.90129
2003,Urban regions,female,Yes,0.12392,896,6648,0.11600,0.13184
2003,Urban regions,female,No,0.87608,5752,6648,0.86816,0.88400
2003,Rural regions,male,Yes,0.07389,257,3047,0.06460,0.08319
2003,Rural regions,male,No,0.92611,2790,3047,0.91681,0.93540
2003,Rural regions,female,Yes,0.08765,316,3502,0.07828,0.09701
2003,Rural regions,female,No,0.91235,3186,3502,0.90299,0.92172
2004,Urban regions,male,Yes,0.11904,718,5459,0.11044,0.12763
2004,Urban regions,male,No,0.88096,4741,5459,0.87237,0.88956
2004,Urban regions,female,Yes,0.12993,921,6483,0.12174,0.13811
2004,Urban regions,female,No,0.87007,5562,6483,0.86189,0.87826
2004,Rural regions,male,Yes,0.08449,264,2963,0.07447,0.09450
2004,Rural regions,male,No,0.91551,2699,2963,0.90550,0.92553
2004,Rural regions,female,Yes,0.08883,336,3426,0.07930,0.09836
2004,Rural regions,female,No,0.91117,3090,3426,0.90164,0.92070
2005,Urban regions,male,Yes,0.12605,703,5188,0.11702,0.13508
2005,Urban regions,male,No,0.87395,4485,5188,0.86492,0.88298
2005,Urban regions,female,Yes,0.14639,954,6214,0.13760,0.15518
2005,Urban regions,female,No,0.85361,5260,6214,0.84482,0.86240
2005,Rural regions,male,Yes,0.09823,289,2817,0.08724,0.10922
2005,Rural regions,male,No,0.90177,2528,2817,0.89078,0.91276
2005,Rural regions,female,Yes,0.10170,372,3277,0.09135,0.11205
2005,Rural regions,female,No,0.89830,2905,3277,0.88795,0.90865
2006,Urban regions,male,Yes,0.14541,882,5440,0.13604,0.15478
2006,Urban regions,male,No,0.85459,4558,5440,0.84522,0.86396
2006,Urban regions,female,Yes,0.16022,1165,6565,0.15135,0.16910
2006,Urban regions,female,No,0.83978,5400,6565,0.83090,0.84865
2006,Rural regions,male,Yes,0.11180,350,3020,0.10055,0.12304
2006,Rural regions,male,No,0.88820,2670,3020,0.87696,0.89945
2006,Rural regions,female,Yes,0.12714,469,3556,0.11619,0.13809
2006,Rural regions,female,No,0.87286,3087,3556,0.86191,0.88381
2007,Urban regions,male,Yes,0.15755,882,5036,0.14749,0.16761
2007,Urban regions,male,No,0.84245,4154,5036,0.83239,0.85251
2007,Urban regions,female,Yes,0.18408,1212,6133,0.17438,0.19378
2007,Urban regions,female,No,0.81592,4921,6133,0.80622,0.82562
2007,Rural regions,male,Yes,0.11458,346,2853,0.10289,0.12627
2007,Rural regions,male,No,0.88542,2507,2853,0.87373,0.89711
