year,pgisced97,sex,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Pre-primary Level,male,No,0.66232,118,118,0.57662,0.74801
1999,Pre-primary Level,female,No,0.76130,127,127,0.68687,0.83574
1999,Primary Level,male,No,0.98279,170,170,0.96318,1.00240
1999,Primary Level,female,No,0.97400,246,246,0.95407,0.99393
1999,Lower Secondary Level,male,No,0.91275,813,813,0.89334,0.93216
1999,Lower Secondary Level,female,Yes,0.05030,66,1496,0.03922,0.06138
1999,Lower Secondary Level,female,No,0.90385,1430,1496,0.88891,0.91879
1999,Upper Secondary Level,male,Yes,0.06996,213,3107,0.06099,0.07893
1999,Upper Secondary Level,male,No,0.81113,2894,3107,0.79737,0.82490
1999,Upper Secondary Level,female,Yes,0.09823,285,3243,0.08799,0.10848
1999,Upper Secondary Level,female,No,0.82694,2958,3243,0.81392,0.83997
1999,Post-secondary Non-tertiary Level,male,No,0.70763,183,183,0.64155,0.77371
1999,Post-secondary Non-tertiary Level,female,Yes,0.15772,34,250,0.11245,0.20299
1999,Post-secondary Non-tertiary Level,female,No,0.78139,216,250,0.73005,0.83272
1999,First Stage of Tertiary Education,male,Yes,0.05952,35,407,0.03651,0.08254
1999,First Stage of Tertiary Education,male,No,0.74147,372,407,0.69888,0.78405
1999,First Stage of Tertiary Education,female,Yes,0.11024,35,282,0.07362,0.14686
1999,First Stage of Tertiary Education,female,No,0.72781,247,282,0.67577,0.77985
1999,Second Stage of Tertiary Education,male,Yes,0.10985,97,783,0.08793,0.13177
1999,Second Stage of Tertiary Education,male,No,0.58201,686,783,0.54744,0.61658
1999,Second Stage of Tertiary Education,female,Yes,0.10988,75,731,0.08720,0.13257
1999,Second Stage of Tertiary Education,female,No,0.67103,656,731,0.63695,0.70512
2000,Pre-primary Level,male,No,0.74035,183,183,0.67665,0.80405
2000,Pre-primary Level,female,No,0.77602,201,201,0.71824,0.83380
2000,Primary Level,male,No,0.96671,162,162,0.93900,0.99442
2000,Primary Level,female,No,0.96936,229,229,0.94699,0.99173
2000,Lower Secondary Level,male,Yes,0.03544,37,1110,0.02456,0.04632
2000,Lower Secondary Level,male,No,0.92000,1073,1110,0.90403,0.93597
2000,Lower Secondary Level,female,Yes,0.04073,85,2311,0.03267,0.04879
