year,age_gr,regtyp,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,17-29 y.,Urban regions,Yes,0.07105,116,1754,0.05902,0.08307
1999,17-29 y.,Urban regions,No,0.82515,1638,1754,0.80737,0.84293
1999,17-29 y.,Rural regions,Yes,0.08102,70,978,0.06391,0.09814
1999,17-29 y.,Rural regions,No,0.84355,908,978,0.82077,0.86633
1999,30-45 y.,Urban regions,Yes,0.09860,275,2703,0.08736,0.10984
1999,30-45 y.,Urban regions,No,0.75208,2428,2703,0.73580,0.76837
1999,30-45 y.,Rural regions,Yes,0.07343,102,1470,0.06009,0.08677
1999,30-45 y.,Rural regions,No,0.82163,1368,1470,0.80205,0.84121
1999,46-65 y.,Urban regions,Yes,0.09516,195,2341,0.08327,0.10705
1999,46-65 y.,Urban regions,No,0.75850,2146,2341,0.74116,0.77584
1999,46-65 y.,Rural regions,Yes,0.06663,80,1384,0.05349,0.07977
1999,46-65 y.,Rural regions,No,0.82989,1304,1384,0.81008,0.84969
1999,66 and older,Urban regions,Yes,0.08154,85,1078,0.06519,0.09788
1999,66 and older,Urban regions,No,0.81237,993,1078,0.78905,0.83568
1999,66 and older,Rural regions,No,0.89781,558,558,0.87265,0.92296
2000,17-29 y.,Urban regions,Yes,0.07468,207,2616,0.06460,0.08475
2000,17-29 y.,Urban regions,No,0.81550,2409,2616,0.80063,0.83037
2000,17-29 y.,Rural regions,Yes,0.05573,83,1545,0.04429,0.06717
2000,17-29 y.,Rural regions,No,0.86860,1462,1545,0.85175,0.88545
2000,30-45 y.,Urban regions,Yes,0.09740,514,4678,0.08890,0.10589
2000,30-45 y.,Urban regions,No,0.75893,4164,4678,0.74667,0.77119
2000,30-45 y.,Rural regions,Yes,0.07143,178,2484,0.06130,0.08156
2000,30-45 y.,Rural regions,No,0.81888,2306,2484,0.80373,0.83403
2000,46-65 y.,Urban regions,Yes,0.10868,500,4335,0.09942,0.11795
2000,46-65 y.,Urban regions,No,0.74062,3835,4335,0.72757,0.75367
2000,46-65 y.,Rural regions,Yes,0.07383,165,2387,0.06333,0.08432
2000,46-65 y.,Rural regions,No,0.81223,2222,2387,0.79656,0.82790
2000,66 and older,Urban regions,Yes,0.08315,188,2111,0.07137,0.09493
2000,66 and older,Urban regions,No,0.81350,1923,2111,0.79688,0.83012
2000,66 and older,Rural regions,Yes,0.03081,35,1182,0.02095,0.04066
2000,66 and older,Rural regions,No,0.91171,1147,1182,0.89553,0.92789
2001,17-29 y.,Urban regions,Yes,0.07404,180,2355,0.06347,0.08462
2001,17-29 y.,Urban regions,No,0.81694,2175,2355,0.80131,0.83256
2001,17-29 y.,Rural regions,Yes,0.06958,91,1359,0.05605,0.08311
2001,17-29 y.,Rural regions,No,0.85479,1268,1359,0.83605,0.87353
2001,30-45 y.,Urban regions,Yes,0.11613,519,4218,0.10646,0.12580
2001,30-45 y.,Urban regions,No,0.74099,3699,4218,0.72777,0.75421
2001,30-45 y.,Rural regions,Yes,0.07953,174,2221,0.06827,0.09078
2001,30-45 y.,Rural regions,No,0.81476,2047,2221,0.79860,0.83092
2001,46-65 y.,Urban regions,Yes,0.09259,385,3914,0.08351,0.10168
2001,46-65 y.,Urban regions,No,0.74572,3529,3914,0.73207,0.75936
2001,46-65 y.,Rural regions,Yes,0.07327,166,2221,0.06243,0.08411
2001,46-65 y.,Rural regions,No,0.82214,2055,2221,0.80623,0.83805
2001,66 and older,Urban regions,Yes,0.08141,168,1981,0.06937,0.09346
2001,66 and older,Urban regions,No,0.80817,1813,1981,0.79082,0.82551
2001,66 and older,Rural regions,Yes,0.03297,36,1115,0.02249,0.04346
2001,66 and older,Rural regions,No,0.90446,1079,1115,0.88719,0.92172
2002,17-29 y.,Urban regions,Yes,0.07023,202,2358,0.05992,0.08055
2002,17-29 y.,Urban regions,No,0.82929,2156,2358,0.81410,0.84448
2002,17-29 y.,Rural regions,Yes,0.07859,112,1339,0.06417,0.09300
2002,17-29 y.,Rural regions,No,0.85364,1227,1339,0.83470,0.87258
2002,30-45 y.,Urban regions,Yes,0.10402,563,4175,0.09476,0.11328
2002,30-45 y.,Urban regions,No,0.76296,3612,4175,0.75005,0.77586
2002,30-45 y.,Rural regions,Yes,0.08448,206,2115,0.07262,0.09633
2002,30-45 y.,Rural regions,No,0.80894,1909,2115,0.79218,0.82570
2002,46-65 y.,Urban regions,Yes,0.11214,610,4101,0.10248,0.12179
2002,46-65 y.,Urban regions,No,0.72999,3491,4101,0.71640,0.74358
2002,46-65 y.,Rural regions,Yes,0.07986,209,2229,0.06860,0.09111
2002,46-65 y.,Rural regions,No,0.80764,2020,2229,0.79127,0.82401
2002,66 and older,Urban regions,Yes,0.10228,239,2093,0.08930,0.11527
2002,66 and older,Urban regions,No,0.80055,1854,2093,0.78343,0.81767
2002,66 and older,Rural regions,Yes,0.02911,51,1152,0.01939,0.03882
2002,66 and older,Rural regions,No,0.91784,1101,1152,0.90197,0.93370
2003,17-29 y.,Urban regions,Yes,0.07568,214,2310,0.06489,0.08647
2003,17-29 y.,Urban regions,No,0.82210,2096,2310,0.80650,0.83770
2003,17-29 y.,Rural regions,Yes,0.08308,119,1254,0.06779,0.09836
2003,17-29 y.,Rural regions,No,0.84308,1135,1254,0.82294,0.86322
2003,30-45 y.,Urban regions,Yes,0.11185,541,3920,0.10199,0.12172
2003,30-45 y.,Urban regions,No,0.75366,3379,3920,0.74017,0.76715
2003,30-45 y.,Rural regions,Yes,0.09485,202,1977,0.08193,0.10777
2003,30-45 y.,Rural regions,No,0.79480,1775,1977,0.77699,0.81260
2003,46-65 y.,Urban regions,Yes,0.10632,577,3948,0.09670,0.11594
2003,46-65 y.,Urban regions,No,0.73194,3371,3948,0.71813,0.74576
2003,46-65 y.,Rural regions,Yes,0.06990,188,2154,0.05913,0.08068
2003,46-65 y.,Rural regions,No,0.81477,1966,2154,0.79836,0.83118
2003,66 and older,Urban regions,Yes,0.09601,235,2110,0.08344,0.10858
2003,66 and older,Urban regions,No,0.79956,1875,2110,0.78247,0.81664
2003,66 and older,Rural regions,Yes,0.04298,64,1164,0.03133,0.05464
2003,66 and older,Rural regions,No,0.89924,1100,1164,0.88194,0.91654
2004,17-29 y.,Urban regions,Yes,0.08941,246,2249,0.07762,0.10121
2004,17-29 y.,Urban regions,No,0.80623,2003,2249,0.78989,0.82257
2004,17-29 y.,Rural regions,Yes,0.07423,109,1259,0.05974,0.08872
2004,17-29 y.,Rural regions,No,0.86825,1150,1259,0.84956,0.88694
2004,30-45 y.,Urban regions,Yes,0.11631,529,3720,0.10601,0.12662
2004,30-45 y.,Urban regions,No,0.74742,3191,3720,0.73345,0.76138
2004,30-45 y.,Rural regions,Yes,0.09863,197,1813,0.08490,0.11236
2004,30-45 y.,Rural regions,No,0.78273,1616,1813,0.76374,0.80172
2004,46-65 y.,Urban regions,Yes,0.11635,605,3803,0.10616,0.12654
2004,46-65 y.,Urban regions,No,0.72221,3198,3803,0.70798,0.73645
2004,46-65 y.,Rural regions,Yes,0.08402,220,2110,0.07218,0.09586
2004,46-65 y.,Rural regions,No,0.78267,1890,2110,0.76507,0.80028
2004,66 and older,Urban regions,Yes,0.10125,259,2170,0.08856,0.11395
2004,66 and older,Urban regions,No,0.80121,1911,2170,0.78441,0.81800
