year,quintil_oecd,sampreg,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,1st Quintile,West,Yes,0.03235,54,1732,0.02402,0.04069
1999,1st Quintile,West,No,0.68640,1678,1732,0.66454,0.70825
1999,1st Quintile,East,No,0.73853,768,768,0.70743,0.76963
1999,2nd Quintile,West,Yes,0.04063,79,1768,0.03143,0.04984
1999,2nd Quintile,West,No,0.70824,1689,1768,0.68705,0.72944
1999,2nd Quintile,East,No,0.80335,971,971,0.77834,0.82837
1999,3rd Quintile,West,Yes,0.05665,123,1731,0.04575,0.06754
1999,3rd Quintile,West,No,0.68130,1608,1731,0.65935,0.70326
1999,3rd Quintile,East,Yes,0.03459,41,888,0.02257,0.04662
1999,3rd Quintile,East,No,0.79772,847,888,0.77128,0.82415
1999,4th Quintile,West,Yes,0.08306,192,1855,0.07050,0.09562
1999,4th Quintile,West,No,0.65713,1663,1855,0.63552,0.67874
1999,4th Quintile,East,Yes,0.06163,41,584,0.04211,0.08115
1999,4th Quintile,East,No,0.75665,543,584,0.72182,0.79148
1999,5th Quintile,West,Yes,0.14658,340,1608,0.12928,0.16387
1999,5th Quintile,West,No,0.48077,1268,1608,0.45634,0.50520
1999,5th Quintile,East,No,0.69544,308,308,0.64396,0.74692
2000,1st Quintile,West,Yes,0.02960,50,1718,0.02158,0.03761
2000,1st Quintile,West,No,0.71020,1668,1718,0.68874,0.73165
2000,1st Quintile,East,No,0.75034,787,787,0.72008,0.78060
2000,2nd Quintile,West,Yes,0.04583,97,1718,0.03594,0.05572
2000,2nd Quintile,West,No,0.68283,1621,1718,0.66081,0.70484
2000,2nd Quintile,East,No,0.80237,887,887,0.77614,0.82859
2000,3rd Quintile,West,Yes,0.06417,131,1634,0.05228,0.07605
2000,3rd Quintile,West,No,0.67618,1503,1634,0.65348,0.69888
2000,3rd Quintile,East,Yes,0.03224,34,908,0.02075,0.04374
2000,3rd Quintile,East,No,0.80275,874,908,0.77686,0.82865
2000,4th Quintile,West,Yes,0.08058,184,1757,0.06785,0.09331
2000,4th Quintile,West,No,0.65307,1573,1757,0.63081,0.67534
2000,4th Quintile,East,Yes,0.05691,39,611,0.03853,0.07530
2000,4th Quintile,East,No,0.75840,572,611,0.72443,0.79237
2000,5th Quintile,West,Yes,0.14662,342,1580,0.12917,0.16407
2000,5th Quintile,West,No,0.47285,1238,1580,0.44823,0.49748
2000,5th Quintile,East,No,0.62367,266,266,0.56534,0.68200
2001,1st Quintile,West,Yes,0.02517,74,2601,0.01915,0.03120
2001,1st Quintile,West,No,0.69959,2527,2601,0.68197,0.71721
2001,1st Quintile,East,No,0.77395,1134,1134,0.74959,0.79831
2001,2nd Quintile,West,Yes,0.04310,144,2805,0.03559,0.05062
2001,2nd Quintile,West,No,0.68224,2661,2805,0.66501,0.69948
2001,2nd Quintile,East,Yes,0.03161,52,1355,0.02229,0.04092
2001,2nd Quintile,East,No,0.79864,1303,1355,0.77728,0.82000
2001,3rd Quintile,West,Yes,0.07505,288,2967,0.06557,0.08454
